,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,Fur-1,fur + Fe,194128,194158,4.44,KPN_00165,KPN_00165,KPN_00165,KPN_00165,-0.08963331824354911,194143.0
1,Fur-2,fur + Fe,495162,495192,5.43,KPN_00450,KPN_00450,KPN_00450,KPN_00450,-0.0316622691292876,495177.0
2,Fur-3,fur + Fe,502122,502151,30.51,KPN_00458,KPN_00458,KPN_00458,KPN_00458,-0.8671516079632465,502136.5
3,Fur-4,fur + Fe,577783,577800,2.54,KPN_00521,KPN_00521,KPN_00521,KPN_00521,-0.2186700767263427,577791.5
4,Fur-5,fur + Fe,597471,597495,97.15,KPN_00536,KPN_00536,KPN_00536,KPN_00536,-0.5786618444846293,597483.0
5,Fur-6,fur + Fe,681560,681579,10.48,KPN_00603,KPN_00603,KPN_00603,KPN_00603,-0.12391304347826088,681569.5
6,Fur-7,fur + Fe,689830,689862,5.94,KPN_00608,KPN_00608,KPN_00608,KPN_00608,-0.009910802775024777,689846.0
7,Fur-8,fur + Fe,692413,692443,5.38,KPN_00611,KPN_00611,KPN_00611,KPN_00611,-0.045029736618521665,692428.0
8,Fur-9,fur + Fe,855019,855051,6.58,KPN_00769,KPN_00769,KPN_00769,KPN_00769,-0.19811320754716982,855035.0
9,Fur-10,fur + Fe,1195145,1195175,4.25,KPN_01045,KPN_01045,KPN_01045,KPN_01045,-0.0829326923076923,1195160.0
10,Fur-11,fur + Fe,1258878,1258909,3.38,KPN_01108,KPN_01108,KPN_01108,KPN_01108,-0.027992717341829766,1258893.5
11,Fur-12,fur + Fe,1328919,1328949,18.86,KPN_01179,KPN_01179,KPN_01179,KPN_01179,-0.09760956175298804,1328934.0
12,Fur-13,fur + Fe,1397184,1397209,32.75,KPN_01244,KPN_01244,KPN_01244,KPN_01244,-0.014416475972540047,1397196.5
13,Fur-14,fur + Fe,1403238,1403265,34.68,KPN_01250,KPN_01250,KPN_01250,KPN_01250,-0.015085264538696982,1403251.5
14,Fur-15,fur + Fe,1404586,1404612,12.91,KPN_01252,KPN_01252,KPN_01252,KPN_01252,-2.2334710743801653,1404599.0
15,Fur-16,fur + Fe,2069316,2069346,5.3,KPN_01879,KPN_01879,KPN_01879,KPN_01879,-0.3312274368231047,2069331.0
16,Fur-17,fur + Fe,2103383,2103411,29.16,KPN_01908,KPN_01908,KPN_01908,KPN_01908,-0.07337723424270931,2103397.0
17,Fur-18,fur + Fe,2306271,2306294,37.58,KPN_02104,KPN_02104,KPN_02104,KPN_02104,-0.08201701093560146,2306282.5
18,Fur-19,fur + Fe,2354870,2354900,3.85,KPN_02149,KPN_02149,KPN_02149,KPN_02149,-0.08453608247422681,2354885.0
19,Fur-20,fur + Fe,2372582,2372608,50.3,KPN_02163,KPN_02163,KPN_02163,KPN_02163,0.10480349344978165,2372595.0
20,Fur-21,fur + Fe,2406248,2406273,8.59,KPN_02197,KPN_02197,KPN_02197,KPN_02197,-0.13233496332518338,2406260.5
21,Fur-22,fur + Fe,2524794,2524822,4.25,KPN_02304,KPN_02304,KPN_02304,KPN_02304,-0.044769085768143264,2524808.0
22,Fur-23,fur + Fe,2603924,2603945,6.09,KPN_02379,KPN_02379,KPN_02379,KPN_02379,0.5651685393258427,2603934.5
23,Fur-24,fur + Fe,2680014,2680036,4.0,KPN_02458,KPN_02458,KPN_02458,KPN_02458,-0.02498107494322483,2680025.0
24,Fur-25,fur + Fe,2846749,2846774,14.23,KPN_02593,KPN_02593,KPN_02593,KPN_02593,-0.11946902654867257,2846761.5
25,Fur-26,fur + Fe,2891813,2891840,5.67,KPN_02632,KPN_02632,KPN_02632,KPN_02632,-0.024620060790273558,2891826.5
26,Fur-27,fur + Fe,3302771,3302797,8.96,KPN_03004,KPN_03004,KPN_03004,KPN_03004,-0.08021390374331551,3302784.0
27,Fur-28,fur + Fe,3375396,3375423,23.66,KPN_03078,KPN_03078,KPN_03078,KPN_03078,-0.10282916213275299,3375409.5
28,Fur-29,fur + Fe,3383598,3383618,146.31,KPN_03087,KPN_03087,KPN_03087,KPN_03087,-0.04439746300211417,3383608.0
29,Fur-30,fur + Fe,3861175,3861200,7.32,KPN_03499,KPN_03499,KPN_03499,KPN_03499,-0.05205655526992288,3861187.5
30,Fur-31,fur + Fe,4069561,4069591,5.76,KPN_03723,KPN_03723,KPN_03723,KPN_03723,-0.10714285714285714,4069576.0
31,Fur-32,fur + Fe,4161933,4161963,127.6,KPN_03806,KPN_03806,KPN_03806,KPN_03806,-0.12244897959183673,4161948.0
32,Fur-33,fur + Fe,4579517,4579547,5.79,KPN_04179,KPN_04179,KPN_04179,KPN_04179,-0.0926027397260274,4579532.0
33,Fur-34,fur + Fe,4615127,4615150,4.85,KPN_04214,KPN_04214,KPN_04214,KPN_04214,-0.04116945107398568,4615138.5
34,Fur-35,fur + Fe,5281044,5281062,6.22,KPN_04821,KPN_04821,KPN_04821,KPN_04821,-0.008860759493670886,5281053.0
35,Fur-36,fur + Fe,5282326,5282344,8.4,KPN_04823,KPN_04823,KPN_04823,KPN_04823,-0.03943661971830986,5282335.0
