prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
meme.xml	2	MEME	meme.xml	1	MEME	0	0	.	.	.	3.51e-23	3	0	11	16	1.18e-27	1.06e-26
meme.xml	2	MEME	meme.xml	1	MEME	0	0	.	.	.	3.51e-23	3	4	11	16	2.39e-24	2.15e-23
meme.xml	2	MEME	meme.xml	1	MEME	0	0	.	.	.	3.51e-23	3	5	11	16	2.39e-24	2.15e-23
meme.xml	2	MEME	meme.xml	1	MEME	0	0	.	.	.	3.51e-23	3	8	11	16	4.80e-21	4.32e-20
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	31	5	13	39	1.27e-23	1.15e-22
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	31	0	11	39	1.05e-22	9.43e-22
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	31	8	13	39	9.56e-20	8.61e-19
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	31	4	11	39	2.05e-19	1.84e-18
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	30	5	8	39	1.64e-13	1.48e-12
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	30	3	6	39	1.12e-11	1.01e-10
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	30	8	8	39	3.80e-11	3.42e-10
meme.xml	2	MEME	meme.xml	4	MEME	0	0	.	.	.	4.33e-19	30	7	6	39	6.80e-10	6.12e-09
meme.xml	2	MEME	meme.xml	3	MEME	0	0	.	.	.	2.04e-11	0	2	6	9	6.87e-16	6.19e-15
meme.xml	2	MEME	meme.xml	3	MEME	0	0	.	.	.	2.04e-11	0	6	6	9	4.38e-14	3.94e-13
meme.xml	2	MEME	meme.xml	3	MEME	0	0	.	.	.	2.04e-11	0	7	6	9	4.38e-14	3.94e-13
meme.xml	2	MEME	meme.xml	3	MEME	0	0	.	.	.	2.04e-11	0	8	6	9	2.77e-12	2.49e-11
##
# Detailed descriptions of columns in this file:
#
# prim_db:	The name of the database (file name) that contains the primary motif.
# prim_id:	A name for the primary motif that is unique in the motif database file.
# prim_alt:	An alternate name of the primary motif that may be provided
#		in the motif database file.
# sec_db:	The name of the database (file name) that contains the secondary motif.
# sec_id:	A name for the motif that is unique in the motif database file.
# sec_alt:	An alternate name of the secondary motif that may be provided
#		in the motif database file.
# trim_left:	Number of positions trimmed from left of secondary motif
# trim_right:	Number of positions trimmed from right of secondary motif
# If the next three fields are not blank, the motif is redundant with a more significant ('parent') motif.
# red_db:	The database (file name) that contains the parent motif.
# red_id:	A name for the parent motif that is unique in the motif database file.
# red_alt:	An alternate name of the parent motif that may be provided
#		in the motif database file.
# E-value:	The expected number motifs that would have least one
#		spacing as enriched as the best spacing for this secondary.
#		The E-value is the best spacing p-value multiplied by the number of motifs in the
#		input database(s).
# gap:		The distance between the edge of the primary and the (trimmed) secondary motif.
# orient:	The (combination) of quadrants for which occurrences
#		of this spacing are combined.
# count:	The number of occurrences of the secondary motif with the
#		given spacing and orientation to the primary motif.
# total:	The total number of occurrences of the secondary motif within the
#		margins around the best primary motif occurrence.
# adj_p-value:	The p-value of the gap and orientation, adjusted for
#		nine combinations of quadrants times the number of gaps tested
#		(as controlled by the -range switch).
# p-value:	The p-value of the gap and orientation adjusted only for the number of gaps tested.
