regulator,regulator_id,gene_id,gene_name,Pputida,source
Zur,PP_0119,PP_0117,znuB,TRUE,RegPrecise
Zur,PP_0119,PP_0118,znuC,TRUE,RegPrecise
Zur,PP_0119,PP_0119,zur,TRUE,RegPrecise
Zur,PP_0119,PP_0120,znuA,TRUE,RegPrecise
Zur,PP_0119,PP_0506,PP_0506,TRUE,RegPrecise
Zur,PP_0119,PP_0507,PP_0507,TRUE,RegPrecise
Zur,PP_0119,PP_0508,PP_0508,TRUE,RegPrecise
Zur,PP_0119,PP_1446,PP_1446,TRUE,RegPrecise
Zur,PP_0119,PP_3320,PP_3320,TRUE,RegPrecise
Zur,PP_0119,PP_3321,PP_3321,TRUE,RegPrecise
Zur,PP_0119,PP_3322,hemBB,TRUE,RegPrecise
Zur,PP_0119,PP_3323,PP_3323,TRUE,RegPrecise
Zur,PP_0119,PP_3324,folEB,TRUE,RegPrecise
Zur,PP_0119,PP_5359,PP_5359,TRUE,RegPrecise
Zur,PP_0119,PP_5360,PP_5360,TRUE,RegPrecise
Zur,PP_0119,PP_5361,PP_5361,TRUE,RegPrecise
Zur,PP_0119,PP_5362,PP_5362,TRUE,RegPrecise
AlgR,PP_0185,PP_0005,trmE,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0010,dnaA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0036,PP_0036,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0074,aroE,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0141,PP_0141,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0185,algR,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0186,hemC,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0215,PP_0215,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0216,PP_0216,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0229,betT-II,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0313,PP_0313,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0321,ltaE,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0335,PP_0335,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0349,PP_0349,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0362,bioB,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0395,ycgB,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0423,PP_0423,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0429,PP_0429,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0434,anmK,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0443,rplK,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0460,rpsC,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0470,rplR,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0500,PP_0500,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0539,mtfA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0548,PP_0548,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0606,ispH,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0671,glyA-II,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0681,PP_0681,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0685,PP_0685,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0695,PP_0695,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0740,pplR1,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0744,hemH,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0761,rsmC,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0762,hprA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0794,fruK,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0805,PP_0805,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0812,cyoA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0837,ycfJ,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0858,PP_0858,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0871,PP_0871,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0872,prfC,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0881,dppB,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0891,PP_0891,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0903,PP_0903,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0905,PP_0905,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0939,PP_0939,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0943,PP_0943,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0947,PP_0947,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0973,PP_0973,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0976,rlmF,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_0982,PP_0982,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1016,gtsB,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1036,mltF,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1100,dcd,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1145,rapA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1181,PP_1181,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1182,PP_1182,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1220,tolR,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1258,prpA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1261,ghrB,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1264,PP_1264,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1288,algD,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1296,estB,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1352,PP_1352,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1370,PP_1370,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1384,ttgC,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1403,bglX,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1422,PP_1422,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1461,ffh,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1470,hom,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1497,PP_1497,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1506,adk,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1507,tsaB,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1517,PP_1517,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1522,cspA-I,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1600,PP_1600,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1606,dnaEA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1610,pyrG,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1625,fdxA,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1631,PP_1631,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1639,PP_1639,FALSE,doi:10.1038/s41467-019-10778-w
AlgR,PP_0185,PP_1640,yohC,FALSE,doi:10.1038/s41467-019-10778-w
