,start,stop,strand,gene_name,length,operon
b0001,190,255,+,thrL,65,thrL 
b0002,337,2799,+,thrA,2462,thrLABC
b0003,2801,3733,+,thrB,932,thrLABC
b0004,3734,5020,+,thrC,1286,thrLABC
b0005,5234,5530,+,yaaX,296,yaaX
b0006,5683,6459,-,yaaA,776,yaaA
b0007,6529,7959,-,yaaJ,1430,yaaJ
b0008,8238,9191,+,talB,953,talB
b0009,9306,9893,+,mog,587,mog
b0010,9928,10494,-,satP,566,satP
b0011,10643,11356,-,yaaW,713,yaaW
b0012,10830,11315,+,mbiA,485,htgA 
b0013,11382,11786,-,yaaI,404,yaaI
b0014,12163,14079,+,dnaK,1916,dnaKJ 
b0015,14168,15298,+,dnaJ,1130,dnaKJ 
b0016,15445,16557,+,insL1,1112,insL1
b0017,15869,16177,-,b0017,308,
b0018,16751,16960,-,mokC,209,mokC-hokC
b0019,17489,18655,+,nhaA,1166,nhaAR 
b0020,18715,19620,+,nhaR,905,nhaAR 
b0021,19811,20314,-,insB1,503,insA1B1AB1
b0022,20233,20508,-,insA1,275,insA1B1AB1
b0023,20815,21078,-,rpsT,263,rpsT 
b0024,21181,21399,+,yaaY,218,
b0025,21407,22348,+,ribF,941,ribF-ileS-lspA-fkpB-ispH
b0026,22391,25207,+,ileS,2816,ileS-lspA-fkpB-ispH 
b0027,25207,25701,+,lspA,494,ileS-lspA-fkpB-ispH 
b0028,25826,26275,+,fkpB,449,ileS-lspA-fkpB-ispH 
b0029,26277,27227,+,ispH,950,ileS-lspA-fkpB-ispH 
b0030,27293,28207,+,rihC,914,rihC
b0031,28374,29195,+,dapB,821,dapB 
b0032,29651,30799,+,carA,1148,carAB 
b0033,30817,34038,+,carB,3221,carB 
b0034,34300,34695,+,caiF,395,caiF
b0035,34781,35371,-,caiE,590,caiCDE 
b0036,35377,36162,-,caiD,785,caiCDE 
b0037,36271,37824,-,caiC,1553,caiCDE 
b0038,37898,39115,-,caiB,1217,caiTABCDE
b0039,39244,40386,-,caiA,1142,caiTABCDE
b0040,40417,41931,-,caiT,1514,caiTABCDE
b0041,42403,43173,+,fixA,770,fixABCX
b0042,43188,44129,+,fixB,941,fixABCX
b0043,44180,45466,+,fixC,1286,fixABCX
b0044,45463,45750,+,fixX,287,fixABCX
b0045,45807,47138,+,yaaU,1331,yaaU
b0046,47246,47776,+,kefF,530,kefFC
b0047,47769,49631,+,kefC,1862,kefFC
b0048,49823,50302,+,folA,479,folA
b0049,50380,51222,-,apaH,842,apaGH 
