,binding_width
1,31
2,40
3,43
4,35
5,45
6,43
7,46
8,41
9,45
10,41
11,41
12,41
13,46
14,40
15,41
16,41
17,44
18,41
19,41
20,41
21,41
22,41
23,43
24,39
25,46
26,46
27,41
28,41
29,36
30,38
31,41
32,41
33,31
34,36
35,39
36,39
37,39
38,48
39,41
40,45
41,52
42,44
43,50
44,41
45,41
46,51
47,39
48,41
49,43
50,40
51,31
52,34
53,35
54,44
55,43
56,40
57,46
58,47
59,47
60,45
61,44
62,40
63,43
64,40
65,45
66,42
67,31
68,45
69,44
70,41
71,37
72,41
73,47
74,42
75,47
76,38
77,44
78,46
79,43
80,50
81,49
82,52
83,44
84,43
85,41
86,45
87,47
88,44
89,32
90,31
91,41
92,43
93,40
94,46
95,37
96,42
97,45
98,31
99,50
100,31
101,42
102,48
103,44
104,36
105,31
106,34
107,43
108,31
109,43
110,31
111,41
112,50
113,31
