,locus_tag,left,right,mode,final_state,tf,strand
0,ECK120011181,612650,612668,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
1,ECK120011181,612650,612668,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
2,ECK120011184,4516744,4516762,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
3,ECK120011188,1619005,1619019,activator,Fis,Fis,
4,ECK120011197,3305958,3305975,activator,TyrR-tyrosine,TyrR,
5,ECK120011200,1386588,1386605,repressor,TyrR,TyrR,
6,ECK120011204,2344582,2344601,activator,ArgP,ArgP,
7,ECK120011206,2344555,2344574,activator,ArgP,ArgP,
8,ECK120011208,2344527,2344546,activator,ArgP,ArgP,
9,ECK120011212,180765,180783,activator,CpxR-Phosphorylated,CpxR,
10,ECK120011214,4042335,4042349,activator,CpxR-Phosphorylated,CpxR,
11,ECK120011216,180615,180629,activator,CpxR-Phosphorylated,CpxR,
12,ECK120011218,3492375,3492389,activator,CpxR-Phosphorylated,CpxR,
13,ECK120011226,940850,940862,repressor,IHF,IHF,
14,ECK120011231,816781,816794,activator,FNR,FNR,
15,ECK120011238,1157715,1157736,activator,CRP-cAMP,CRP,
16,ECK120011242,1157749,1157771,repressor,Mlc,Mlc,
17,ECK120011244,1157580,1157602,repressor,Mlc,Mlc,
18,ECK120011246,2716610,2716623,repressor,FNR,FNR,
19,ECK120011248,2716557,2716570,dual,FNR,FNR,
20,ECK120011248,2716557,2716570,dual,FNR,FNR,
21,ECK120011253,3493838,3493852,repressor,Fis,Fis,
22,ECK120011255,963666,963678,repressor,IHF,IHF,
23,ECK120011257,963586,963598,repressor,IHF,IHF,
24,ECK120011259,963536,963548,repressor,IHF,IHF,
25,ECK120011261,963439,963451,repressor,IHF,IHF,
26,ECK120011263,963423,963435,repressor,IHF,IHF,
27,ECK120011267,2062046,2062060,repressor,Nac,Nac,
28,ECK120011272,2062122,2062138,activator,NtrC-P<sup>asp</sup>,NtrC,
29,ECK120011274,1842325,1842339,repressor,Nac,Nac,
30,ECK120011276,1842276,1842290,repressor,Nac,Nac,
31,ECK120011278,1842220,1842234,repressor,Nac,Nac,
32,ECK120011280,1842345,1842359,repressor,Nac,Nac,
33,ECK120011282,3927031,3927045,repressor,Nac,Nac,
34,ECK120011284,3927088,3927102,repressor,Nac,Nac,
35,ECK120011286,3927009,3927023,repressor,Nac,Nac,
36,ECK120011288,4166289,4166303,activator,Fis,Fis,
37,ECK120011290,4166258,4166272,activator,Fis,Fis,
38,ECK120011292,4166217,4166231,activator,Fis,Fis,
39,ECK120011296,4166277,4166291,repressor,H-NS,H-NS,
40,ECK120011300,711573,711592,activator,SoxS,SoxS,
41,ECK120011304,710883,710899,activator,OxyR,OxyR,
42,ECK120011308,3059694,3059712,activator,PhoB-Phosphorylated,PhoB,
43,ECK120011310,4097608,4097629,activator,CRP-cAMP,CRP,
44,ECK120011316,2868052,2868073,repressor,CRP-cAMP,CRP,
45,ECK120011318,2868170,2868191,repressor,CRP-cAMP,CRP,
46,ECK120011322,1103859,1103873,repressor,CpxR-Phosphorylated,CpxR,
47,ECK120011326,103511,103524,activator,RcsB-P<sup>asp56</sup>,RcsB,
48,ECK120011334,2001849,2001865,activator,FlhDC,FlhDC,
49,ECK120011336,2019539,2019555,activator,FlhDC,FlhDC,
50,ECK120011343,3683569,3683590,activator,CRP-cAMP,CRP,
51,ECK120011350,4382508,4382524,activator,DcuR-P<sup>asp</sup>,DcuR,
52,ECK120011352,3683596,3683612,activator,DcuR-P<sup>asp</sup>,DcuR,
53,ECK120011356,1016509,1016526,repressor,FabR,FabR,
54,ECK120011358,2441653,2441670,repressor,FabR,FabR,
55,ECK120011366,656110,656123,activator,FNR,FNR,
56,ECK120011368,656140,656153,activator,FNR,FNR,
57,ECK120011370,656192,656205,activator,FNR,FNR,
58,ECK120011372,656416,656430,activator,ArcA-Phosphorylated,ArcA,
59,ECK120011374,1671288,1671306,activator,PhoB-Phosphorylated,PhoB,
60,ECK120011376,1339249,1339268,activator,SoxS,SoxS,
61,ECK120011381,1556546,1556563,activator,NhaR-Na<SUP>+</SUP>,NhaR,
62,ECK120011386,1556537,1556551,repressor,Lrp,Lrp,
63,ECK120011386,1556537,1556551,activator,Lrp,Lrp,
64,ECK120011392,2601033,2601050,activator,HyfR,HyfR,
65,ECK120011396,2601034,2601047,activator,FhlA-formate,FhlA,
66,ECK120011398,1367989,1368001,activator,IHF,IHF,
67,ECK120011402,1367931,1367947,activator,PspF,PspF,
68,ECK120011402,1367931,1367947,repressor,PspF,PspF,
69,ECK120011408,4466250,4466266,repressor,TreR,TreR,
70,ECK120011410,4466283,4466299,repressor,TreR,TreR,
71,ECK120011423,1011614,1011633,activator,MarA,MarA,
72,ECK120011427,485761,485780,activator,SoxS,SoxS,
73,ECK120011427,485761,485780,activator,MarA,MarA,
74,ECK120011432,2791121,2791135,activator,Nac,Nac,
75,ECK120011435,3128180,3128194,repressor,ArcA-Phosphorylated,ArcA,
76,ECK120011440,3128245,3128259,repressor,GlcC-glycolate,GlcC,
77,ECK120011440,3128245,3128259,activator,GlcC-glycolate,GlcC,
78,ECK120011443,3410172,3410193,dual,CRP-cAMP,CRP,
79,ECK120011443,3410172,3410193,dual,CRP-cAMP,CRP,
80,ECK120011446,4240264,4240285,repressor,CRP-cAMP,CRP,
81,ECK120011448,4240260,4240278,activator,PhoB-Phosphorylated,PhoB,
82,ECK120011450,4240238,4240256,activator,PhoB-Phosphorylated,PhoB,
83,ECK120011452,141284,141305,activator,CRP-cAMP,CRP,
84,ECK120011452,141284,141305,repressor,CRP-cAMP,CRP,
85,ECK120011455,141330,141342,repressor,IHF,IHF,
86,ECK120011455,141330,141342,activator,IHF,IHF,
87,ECK120011475,222724,222739,repressor,MetJ-adenosylmethionine,MetJ,
88,ECK120011477,222732,222747,repressor,MetJ-adenosylmethionine,MetJ,
89,ECK120011480,3058618,3058639,activator,CRP-cAMP,CRP,
90,ECK120011485,368454,368468,activator,MhpR-3HPP,MhpR,
91,ECK120011487,368413,368434,activator,CRP-cAMP,CRP,
92,ECK120011494,4467321,4467337,activator,PhoP-Phosphorylated,PhoP,
93,ECK120011494,4467321,4467337,repressor,PhoP-Phosphorylated,PhoP,
94,ECK120011494,4467321,4467337,repressor,PhoP-Phosphorylated,PhoP,
95,ECK120011498,1908817,1908833,activator,PhoP-Phosphorylated,PhoP,
96,ECK120011500,1190508,1190524,activator,PhoP-Phosphorylated,PhoP,
97,ECK120011500,1190508,1190524,repressor,PhoP-Phosphorylated,PhoP,
98,ECK120011512,3146413,3146427,repressor,ArcA-Phosphorylated,ArcA,
99,ECK120011514,3146406,3146421,repressor,NarL-Phosphorylated,NarL,
100,ECK120011516,3146431,3146446,repressor,NarL-Phosphorylated,NarL,
101,ECK120011519,3911546,3911558,activator,IHF,IHF,
102,ECK120011521,841638,841656,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
103,ECK120011523,841637,841655,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
104,ECK120011525,841645,841663,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
105,ECK120011527,841628,841646,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
106,ECK120011529,3152045,3152063,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
107,ECK120011531,3410156,3410170,repressor,Fis,Fis,
108,ECK120011533,3410264,3410278,repressor,Fis,Fis,
109,ECK120011535,3151427,3151445,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
110,ECK120011537,3410126,3410138,activator,IHF,IHF,
111,ECK120011539,1161624,1161642,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
112,ECK120011541,2339492,2339506,repressor,Fis,Fis,
113,ECK120011543,3880205,3880219,repressor,Fis,Fis,
114,ECK120011545,3880252,3880266,repressor,Fis,Fis,
115,ECK120011547,2071332,2071348,repressor,OxyR,OxyR,
116,ECK120011549,2405466,2405480,activator,Fis,Fis,
117,ECK120011551,2405526,2405540,activator,Fis,Fis,
118,ECK120011553,2405563,2405577,activator,Fis,Fis,
119,ECK120011555,2405230,2405242,repressor,IHF,IHF,
120,ECK120011557,2405222,2405234,repressor,IHF,IHF,
121,ECK120011559,2552254,2552266,repressor,IHF,IHF,
122,ECK120011561,2553206,2553218,repressor,IHF,IHF,
123,ECK120011565,1453875,1453913,repressor,PaaX,PaaX,
124,ECK120011567,1453796,1453817,activator,CRP-cAMP,CRP,
125,ECK120011567,1453796,1453817,activator,CRP-cAMP,CRP,
126,ECK120011570,1453744,1453756,activator,IHF,IHF,
127,ECK120011570,1453744,1453756,activator,IHF,IHF,
128,ECK120011573,1453657,1453697,repressor,PaaX,PaaX,
129,ECK120011581,454377,454396,repressor,OmpR-P,OmpR,
130,ECK120011583,2718610,2718626,activator,OxyR,OxyR,
131,ECK120011585,3653964,3653983,repressor,MarA,MarA,
132,ECK120011596,3039774,3039794,activator,SoxS,SoxS,
133,ECK120011598,3039763,3039782,activator,SoxS,SoxS,
134,ECK120011600,771162,771175,repressor,FNR,FNR,
135,ECK120011600,771162,771175,repressor,FNR,FNR,
136,ECK120011600,771162,771175,repressor,FNR,FNR,
137,ECK120011600,771162,771175,repressor,FNR,FNR,
138,ECK120011609,771110,771123,activator,FNR,FNR,
139,ECK120011609,771110,771123,repressor,FNR,FNR,
140,ECK120011609,771110,771123,repressor,FNR,FNR,
141,ECK120011609,771110,771123,repressor,FNR,FNR,
142,ECK120011616,3494002,3494016,repressor,Fis,Fis,
143,ECK120011618,3493893,3493905,repressor,IHF,IHF,
144,ECK120011621,1330911,1330925,activator,Fis,Fis,
145,ECK120011623,1330879,1330893,activator,Fis,Fis,
146,ECK120011625,1330844,1330858,activator,Fis,Fis,
147,ECK120011632,2313103,2313117,repressor,Lrp,Lrp,
148,ECK120011632,2313103,2313117,repressor,Lrp,Lrp,
149,ECK120011632,2313103,2313117,repressor,Lrp,Lrp,
150,ECK120011632,2313103,2313117,repressor,Lrp,Lrp,
151,ECK120011637,2313134,2313148,repressor,Lrp,Lrp,
152,ECK120011637,2313134,2313148,repressor,Lrp,Lrp,
153,ECK120011637,2313134,2313148,repressor,Lrp,Lrp,
154,ECK120011637,2313134,2313148,repressor,Lrp,Lrp,
155,ECK120011642,2313199,2313210,repressor,Lrp-leucine,Lrp,
156,ECK120011644,2312955,2312974,activator,SoxS,SoxS,
157,ECK120011646,2313036,2313055,activator,SoxS,SoxS,
158,ECK120011648,2313163,2313177,repressor,Lrp,Lrp,
159,ECK120011648,2313163,2313177,repressor,Lrp,Lrp,
160,ECK120011648,2313163,2313177,repressor,Lrp,Lrp,
161,ECK120011648,2313163,2313177,repressor,Lrp,Lrp,
162,ECK120011653,1735256,1735268,repressor,IHF,IHF,
163,ECK120011656,3219279,3219295,activator,NtrC-P<sup>asp</sup>,NtrC,
164,ECK120011658,3219257,3219273,activator,NtrC-P<sup>asp</sup>,NtrC,
165,ECK120011660,3219330,3219344,unknown,Fis,Fis,
166,ECK120011662,3219196,3219208,unknown,IHF,IHF,
167,ECK120011664,1832269,1832285,activator,NtrC-P<sup>asp</sup>,NtrC,
168,ECK120011666,1832289,1832305,activator,NtrC-P<sup>asp</sup>,NtrC,
169,ECK120011668,1832311,1832327,activator,NtrC-P<sup>asp</sup>,NtrC,
170,ECK120011673,1832083,1832100,activator,ArgR-L-arginine,ArgR,
171,ECK120011675,1832114,1832131,activator,ArgR-L-arginine,ArgR,
172,ECK120011677,1832135,1832152,activator,ArgR-L-arginine,ArgR,
173,ECK120011679,1832157,1832174,activator,ArgR-L-arginine,ArgR,
174,ECK120011682,4035161,4035175,activator,Fis,Fis,
175,ECK120011684,4035141,4035155,activator,Fis,Fis,
176,ECK120011686,4035121,4035135,activator,Fis,Fis,
177,ECK120011688,4035099,4035113,activator,Fis,Fis,
178,ECK120011690,3941439,3941453,activator,Fis,Fis,
179,ECK120011692,3941408,3941422,activator,Fis,Fis,
180,ECK120011694,3941388,3941402,activator,Fis,Fis,
181,ECK120011696,2800586,2800604,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
182,ECK120011696,2800586,2800604,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
183,ECK120011699,787618,787636,repressor,Fur-Fe<SUP>2+</SUP>,Fur,
