,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,gene,normalized_dist,binding_peak_center
0,YciT-1,ycit + M9,272520,272549,3.16,b0258,ykfC,ykfC,-0.28113718411552346,272534.5
1,YciT-2,ycit + M9,272524,272573,3.16,b0258,ykfC,ykfC,-0.2685018050541516,272548.5
2,YciT-3,ycit + M9,438198,438248,6.46,b0419,yajO,yajO,-0.09025641025641026,438223.0
3,YciT-4,ycit + M9,455130,455160,5.34,b0436,tig,tig,0.010007698229407237,455145.0
4,YciT-6,ycit + M9,845560,845591,2.66,b0808,ybiO,ybiO,-0.042902066486972146,845575.5
5,YciT-8,ycit + M9,859069,859100,209.27,b0821,ybiU,ybiU,-0.018562401263823063,859084.5
6,YciT-9,ycit + M9,860089,860119,81.72,b0822,ybiV,ybiV,-0.09313725490196079,860104.0
7,YciT-10,ycit + M9,863537,863567,395.92,"b0825,b0823,b0824","fsaA,ybiW,ybiY",fsaA,-0.13423831070889894,863552.0
8,YciT-10,ycit + M9,863537,863567,395.92,"b0825,b0823,b0824","fsaA,ybiW,ybiY",ybiW,-0.3888203863542951,863552.0
9,YciT-10,ycit + M9,863537,863567,395.92,"b0825,b0823,b0824","fsaA,ybiW,ybiY",ybiY,-0.04555555555555556,863552.0
10,YciT-11,ycit + M9,893734,893779,6.13,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potF,-0.023809523809523808,893756.5
11,YciT-11,ycit + M9,893734,893779,6.13,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potG,-1.087742504409171,893756.5
12,YciT-11,ycit + M9,893734,893779,6.13,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potH,-2.491090146750524,893756.5
13,YciT-11,ycit + M9,893734,893779,6.13,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potI,-3.932033096926714,893756.5
14,YciT-12,ycit + M9,893772,893786,4.79,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potF,-0.0035938903863432167,893779.0
15,YciT-12,ycit + M9,893772,893786,4.79,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potG,-1.0679012345679013,893779.0
16,YciT-12,ycit + M9,893772,893786,4.79,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potH,-2.4675052410901466,893779.0
17,YciT-12,ycit + M9,893772,893786,4.79,"b0854,b0855,b0856,b0857","potF,potG,potH,potI",potI,-3.9054373522458627,893779.0
18,YciT-13,ycit + M9,940809,940838,9.47,"b0894,b0895,b0896","dmsA,dmsB,dmsC",dmsA,-0.05501022494887525,940823.5
19,YciT-13,ycit + M9,940809,940838,9.47,"b0894,b0895,b0896","dmsA,dmsB,dmsC",dmsB,-4.190129449838188,940823.5
20,YciT-13,ycit + M9,940809,940838,9.47,"b0894,b0895,b0896","dmsA,dmsB,dmsC",dmsC,-3.7135416666666665,940823.5
21,YciT-14,ycit + M9,957355,957385,5.67,"b0907,b0908","serC,aroA",serC,-0.25895316804407714,957370.0
22,YciT-14,ycit + M9,957355,957385,5.67,"b0907,b0908","serC,aroA",aroA,-1.1222741433021808,957370.0
23,YciT-16,ycit + M9,1104409,1104441,4.65,"b1042,b1043","csgA,csgC",csgA,-0.046052631578947366,1104425.0
24,YciT-16,ycit + M9,1104409,1104441,4.65,"b1042,b1043","csgA,csgC",csgC,-1.6066066066066067,1104425.0
25,YciT-17,ycit + M9,1135297,1135348,3.28,"b1078,b1079,b1080,b1081","flgG,flgH,flgI,flgJ",flgG,0.7592592592592593,1135322.5
26,YciT-17,ycit + M9,1135297,1135348,3.28,"b1078,b1079,b1080,b1081","flgG,flgH,flgI,flgJ",flgH,-0.3440629470672389,1135322.5
27,YciT-17,ycit + M9,1135297,1135348,3.28,"b1078,b1079,b1080,b1081","flgG,flgH,flgI,flgJ",flgI,-0.8656648451730419,1135322.5
28,YciT-17,ycit + M9,1135297,1135348,3.28,"b1078,b1079,b1080,b1081","flgG,flgH,flgI,flgJ",flgJ,-2.1735668789808917,1135322.5
29,YciT-19,ycit + M9,1346767,1346798,9.73,"b4672,b1285","ymiB,gmr",ymiB,-0.11904761904761904,1346782.5
30,YciT-19,ycit + M9,1346767,1346798,9.73,"b4672,b1285","ymiB,gmr",gmr,-0.02039274924471299,1346782.5
31,YciT-21,ycit + M9,1610713,1610737,3.87,b1521,uxaB,uxaB,-0.030991735537190084,1610725.0
32,YciT-22,ycit + M9,1936252,1936282,8.35,"b1853,b1852","yebK,zwf",yebK,-0.4413793103448276,1936267.0
33,YciT-22,ycit + M9,1936252,1936282,8.35,"b1853,b1852","yebK,zwf",zwf,0.03184281842818428,1936267.0
34,YciT-24,ycit + M9,2137521,2137571,2.55,"b2063,b2058,b2059,b2060,b2061,b2062","yegH,wcaB,wcaA,wzc,wzb,wza",yegH,-0.22411616161616163,2137546.0
35,YciT-24,ycit + M9,2137521,2137571,2.55,"b2063,b2058,b2059,b2060,b2061,b2062","yegH,wcaB,wcaA,wzc,wzb,wza",wcaB,-10.206543967280163,2137546.0
36,YciT-24,ycit + M9,2137521,2137571,2.55,"b2063,b2058,b2059,b2060,b2061,b2062","yegH,wcaB,wcaA,wzc,wzb,wza",wcaA,-4.939285714285714,2137546.0
37,YciT-24,ycit + M9,2137521,2137571,2.55,"b2063,b2058,b2059,b2060,b2061,b2062","yegH,wcaB,wcaA,wzc,wzb,wza",wzc,-0.8756356911696718,2137546.0
38,YciT-24,ycit + M9,2137521,2137571,2.55,"b2063,b2058,b2059,b2060,b2061,b2062","yegH,wcaB,wcaA,wzc,wzb,wza",wzb,-3.2612612612612613,2137546.0
39,YciT-24,ycit + M9,2137521,2137571,2.55,"b2063,b2058,b2059,b2060,b2061,b2062","yegH,wcaB,wcaA,wzc,wzb,wza",wza,-0.2657894736842105,2137546.0
40,YciT-25,ycit + M9,2406723,2406752,10.45,b2289,lrhA,lrhA,-0.1027689030883919,2406737.5
41,YciT-27,ycit + M9,2456840,2456870,11.06,b2340,sixA,sixA,-0.08847736625514403,2456855.0
42,YciT-28,ycit + M9,2474631,2474680,9.99,"b2361,b2362,b2363","yfdR,yfdS,yfdT",yfdR,-0.6098696461824954,2474655.5
43,YciT-28,ycit + M9,2474631,2474680,9.99,"b2361,b2362,b2363","yfdR,yfdS,yfdT",yfdS,-2.3539944903581267,2474655.5
44,YciT-28,ycit + M9,2474631,2474680,9.99,"b2361,b2362,b2363","yfdR,yfdS,yfdT",yfdT,-3.9754901960784315,2474655.5
45,YciT-29,ycit + M9,2483722,2483771,4.34,"b2369,b2370,b2367,b2368","evgA,evgS,emrY,emrK",evgA,-0.012195121951219513,2483746.5
46,YciT-29,ycit + M9,2483722,2483771,4.34,"b2369,b2370,b2367,b2368","evgA,evgS,emrY,emrK",evgS,-0.1743183082915971,2483746.5
47,YciT-29,ycit + M9,2483722,2483771,4.34,"b2369,b2370,b2367,b2368","evgA,evgS,emrY,emrK",emrY,-1.0204678362573099,2483746.5
48,YciT-29,ycit + M9,2483722,2483771,4.34,"b2369,b2370,b2367,b2368","evgA,evgS,emrY,emrK",emrK,-0.35008591065292094,2483746.5
49,YciT-31,ycit + M9,2563379,2563424,11.89,"b2448,b2449","yffQ,yffR",yffQ,-0.5013227513227513,2563401.5
50,YciT-31,ycit + M9,2563379,2563424,11.89,"b2448,b2449","yffQ,yffR",yffR,-1.4694656488549618,2563401.5
51,YciT-32,ycit + M9,2564907,2564952,5.38,b2450,yffS,yffS,0.5030864197530864,2564929.5
52,YciT-34,ycit + M9,2629038,2629067,5.45,"b2504,b2503","yfgG,yfgF",yfgG,-1.2317708333333333,2629052.5
53,YciT-34,ycit + M9,2629038,2629067,5.45,"b2504,b2503","yfgG,yfgF",yfgF,-0.05102495543672014,2629052.5
54,YciT-35,ycit + M9,2825704,2825753,5.58,"b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2701","srlA,srlE,srlB,srlD,srlM,srlR,srlQ,mltB",srlA,-0.18173758865248227,2825728.5
55,YciT-35,ycit + M9,2825704,2825753,5.58,"b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2701","srlA,srlE,srlB,srlD,srlM,srlR,srlQ,mltB",srlE,-0.6901041666666666,2825728.5
56,YciT-35,ycit + M9,2825704,2825753,5.58,"b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2701","srlA,srlE,srlB,srlD,srlM,srlR,srlQ,mltB",srlB,-4.388440860215054,2825728.5
57,YciT-35,ycit + M9,2825704,2825753,5.58,"b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2701","srlA,srlE,srlB,srlD,srlM,srlR,srlQ,mltB",srlD,-2.573717948717949,2825728.5
58,YciT-35,ycit + M9,2825704,2825753,5.58,"b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2701","srlA,srlE,srlB,srlD,srlM,srlR,srlQ,mltB",srlM,-8.031944444444445,2825728.5
59,YciT-35,ycit + M9,2825704,2825753,5.58,"b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2701","srlA,srlE,srlB,srlD,srlM,srlR,srlQ,mltB",srlR,-4.286175710594315,2825728.5
60,YciT-35,ycit + M9,2825704,2825753,5.58,"b2702,b2703,b2704,b2705,b2706,b2707,b2708,b2701","srlA,srlE,srlB,srlD,srlM,srlR,srlQ,mltB",srlQ,-4.227225672877847,2825728.5
