,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,gene,normalized_dist,binding_peak_center
0,YddM-1,yddm + glc,152300,152327,5.26,"b0135,b0136,b0137,b0138","yadC,yadK,yadL,yadM",yadC,-1.0980629539951574,152313.5
1,YddM-1,yddm + glc,152300,152327,5.26,"b0135,b0136,b0137,b0138","yadC,yadK,yadL,yadM",yadK,-1.1968174204355109,152313.5
2,YddM-1,yddm + glc,152300,152327,5.26,"b0135,b0136,b0137,b0138","yadC,yadK,yadL,yadM",yadL,-0.13613861386138615,152313.5
3,YddM-1,yddm + glc,152300,152327,5.26,"b0135,b0136,b0137,b0138","yadC,yadK,yadL,yadM",yadM,0.874561403508772,152313.5
4,YddM-2,yddm + glc,671535,671567,9.66,"b0638,b0639,b0640","cobC,nadD,holA",cobC,-2.6862745098039214,671551.0
5,YddM-2,yddm + glc,671535,671567,9.66,"b0638,b0639,b0640","cobC,nadD,holA",nadD,-1.5249221183800623,671551.0
6,YddM-2,yddm + glc,671535,671567,9.66,"b0638,b0639,b0640","cobC,nadD,holA",holA,0.05232558139534884,671551.0
7,YddM-4,yddm + glc,1237203,1237232,12.37,"b1189,b1190,b1188","dadA,dadX,ycgB",dadA,-0.27136258660508084,1237217.5
8,YddM-4,yddm + glc,1237203,1237232,12.37,"b1189,b1190,b1188","dadA,dadX,ycgB",dadX,-1.550420168067227,1237217.5
9,YddM-4,yddm + glc,1237203,1237232,12.37,"b1189,b1190,b1188","dadA,dadX,ycgB",ycgB,0.01532941943900848,1237217.5
10,YddM-5,yddm + glc,1446151,1446185,13.79,b1383,ydbL,ydbL,0.8837920489296636,1446168.0
11,YddM-6,yddm + glc,1550751,1550782,39.04,"b1475,b1476","fdnH,fdnI",fdnH,0.3463276836158192,1550766.5
12,YddM-6,yddm + glc,1550751,1550782,39.04,"b1475,b1476","fdnH,fdnI",fdnI,-0.8723241590214067,1550766.5
13,YddM-13,yddm + glc,4144173,4144205,11.63,"b3951,b3952","pflD,pflC",pflD,0.08485639686684072,4144189.0
14,YddM-13,yddm + glc,4144173,4144205,11.63,"b3951,b3952","pflD,pflC",pflC,-2.3526734926052333,4144189.0
15,YddM-17,yddm + glc,4591211,4591246,16.4,"b4355,b4354","tsr,yjiY",tsr,-0.25815217391304346,4591228.5
16,YddM-17,yddm + glc,4591211,4591246,16.4,"b4355,b4354","tsr,yjiY",yjiY,0.023477452347745235,4591228.5
17,YddM-18,yddm + glc,4620599,4620631,9.4,"b4383,b4384","deoB,deoD",deoB,0.8276143790849673,4620615.0
18,YddM-18,yddm + glc,4620599,4620631,9.4,"b4383,b4384","deoB,deoD",deoD,-0.37083333333333335,4620615.0
