,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,gene,normalized_dist,binding_peak_center
0,BtsR-1,btsr + pyruvate,169892,169933,2.99,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuC,0.16979949874686717,169912.5
1,BtsR-1,btsr + pyruvate,169892,169933,2.99,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuD,-0.7424242424242424,169912.5
2,BtsR-1,btsr + pyruvate,169892,169933,2.99,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuB,-0.780887544125063,169912.5
3,BtsR-2,btsr + pyruvate,848067,848116,1.95,"b0809,b0810,b0811","glnQ,glnP,glnH",glnQ,-2.252420470262794,848091.5
4,BtsR-2,btsr + pyruvate,848067,848116,1.95,"b0809,b0810,b0811","glnQ,glnP,glnH",glnP,-1.4734848484848484,848091.5
5,BtsR-2,btsr + pyruvate,848067,848116,1.95,"b0809,b0810,b0811","glnQ,glnP,glnH",glnH,-0.11713520749665328,848091.5
6,BtsR-3,btsr + pyruvate,848160,848199,2.1,"b0809,b0810,b0811","glnQ,glnP,glnH",glnQ,-2.3741355463347165,848179.5
7,BtsR-3,btsr + pyruvate,848160,848199,2.1,"b0809,b0810,b0811","glnQ,glnP,glnH",glnP,-1.606818181818182,848179.5
8,BtsR-3,btsr + pyruvate,848160,848199,2.1,"b0809,b0810,b0811","glnQ,glnP,glnH",glnH,-0.23493975903614459,848179.5
9,BtsR-4,btsr + pyruvate,852705,852752,2.38,"b0817,b0818,b0815","mntR,ybiR,opgE",mntR,-0.969017094017094,852728.5
10,BtsR-4,btsr + pyruvate,852705,852752,2.38,"b0817,b0818,b0815","mntR,ybiR,opgE",ybiR,-0.819928507596068,852728.5
11,BtsR-4,btsr + pyruvate,852705,852752,2.38,"b0817,b0818,b0815","mntR,ybiR,opgE",opgE,-0.08301767676767677,852728.5
12,BtsR-5,btsr + pyruvate,852837,852879,3.48,"b0817,b0818,b0815","mntR,ybiR,opgE",mntR,-0.6923076923076923,852858.0
13,BtsR-5,btsr + pyruvate,852837,852879,3.48,"b0817,b0818,b0815","mntR,ybiR,opgE",ybiR,-0.7042001787310098,852858.0
14,BtsR-5,btsr + pyruvate,852837,852879,3.48,"b0817,b0818,b0815","mntR,ybiR,opgE",opgE,-0.16477272727272727,852858.0
15,BtsR-6,btsr + pyruvate,1019927,1019973,2.36,b0957,ompA,ompA,0.0989433237271854,1019950.0
16,BtsR-7,btsr + pyruvate,1020072,1020111,1.86,b0957,ompA,ompA,-0.036983669548511046,1020091.5
17,BtsR-8,btsr + pyruvate,1157426,1157472,2.62,b1101,ptsG,ptsG,-0.29218967921896793,1157449.0
18,BtsR-9,btsr + pyruvate,1157685,1157699,2.34,b1101,ptsG,ptsG,-0.12273361227336123,1157692.0
19,BtsR-10,btsr + pyruvate,1250945,1250985,7.29,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaR,-0.052083333333333336,1250965.0
20,BtsR-10,btsr + pyruvate,1250945,1250985,7.29,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaM,-1.3044397463002113,1250965.0
21,BtsR-10,btsr + pyruvate,1250945,1250985,7.29,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaL,-1.9083728278041074,1250965.0
22,BtsR-10,btsr + pyruvate,1250945,1250985,7.29,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaK,-0.11858076563958916,1250965.0
23,BtsR-11,btsr + pyruvate,1250971,1251008,7.88,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaR,-0.039322916666666666,1250989.5
24,BtsR-11,btsr + pyruvate,1250971,1251008,7.88,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaM,-1.321705426356589,1250989.5
25,BtsR-11,btsr + pyruvate,1250971,1251008,7.88,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaL,-1.9470774091627172,1250989.5
26,BtsR-11,btsr + pyruvate,1250971,1251008,7.88,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaK,-0.14145658263305322,1250989.5
27,BtsR-12,btsr + pyruvate,1490740,1490785,2.49,"b1418,b4493_2,b4493_1","cybB,gapC_2,gapC_1",cybB,-0.2608286252354049,1490762.5
28,BtsR-12,btsr + pyruvate,1490740,1490785,2.49,"b1418,b4493_2,b4493_1","cybB,gapC_2,gapC_1",gapC_2,-3.1686507936507935,1490762.5
29,BtsR-12,btsr + pyruvate,1490740,1490785,2.49,"b1418,b4493_2,b4493_1","cybB,gapC_2,gapC_1",gapC_1,-0.066,1490762.5
30,BtsR-13,btsr + pyruvate,1490759,1490802,2.16,"b1418,b4493_2,b4493_1","cybB,gapC_2,gapC_1",cybB,-0.22693032015065914,1490780.5
31,BtsR-13,btsr + pyruvate,1490759,1490802,2.16,"b1418,b4493_2,b4493_1","cybB,gapC_2,gapC_1",gapC_2,-3.240079365079365,1490780.5
32,BtsR-13,btsr + pyruvate,1490759,1490802,2.16,"b1418,b4493_2,b4493_1","cybB,gapC_2,gapC_1",gapC_1,-0.09,1490780.5
33,BtsR-14,btsr + pyruvate,1506100,1506145,2.78,"b1434,b1433","ydcN,ydcO",ydcN,-0.09031657355679702,1506122.5
34,BtsR-14,btsr + pyruvate,1506100,1506145,2.78,"b1434,b1433","ydcN,ydcO",ydcO,-0.036139455782312924,1506122.5
35,BtsR-15,btsr + pyruvate,1590732,1590777,1.59,"b1506_2,b1506_1","yneL_2,yneL_1",yneL_2,-3.532258064516129,1590754.5
36,BtsR-15,btsr + pyruvate,1590732,1590777,1.59,"b1506_2,b1506_1","yneL_2,yneL_1",yneL_1,-1.9684684684684686,1590754.5
37,BtsR-16,btsr + pyruvate,1610713,1610738,11.24,b1521,uxaB,uxaB,-0.03133608815426997,1610725.5
38,BtsR-17,btsr + pyruvate,1610854,1610878,11.48,b1521,uxaB,uxaB,-0.128099173553719,1610866.0
39,BtsR-18,btsr + pyruvate,1800165,1800210,1.74,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",ihfA,-15.451666666666666,1800187.5
40,BtsR-18,btsr + pyruvate,1800165,1800210,1.74,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",pheT,-0.9394891122278057,1800187.5
41,BtsR-18,btsr + pyruvate,1800165,1800210,1.74,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",pheS,-1.2657520325203253,1800187.5
42,BtsR-18,btsr + pyruvate,1800165,1800210,1.74,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",pheM,-20.38888888888889,1800187.5
43,BtsR-18,btsr + pyruvate,1800165,1800210,1.74,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",rplT,-1.2282913165266107,1800187.5
44,BtsR-18,btsr + pyruvate,1800165,1800210,1.74,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",rpmI,-0.952020202020202,1800187.5
45,BtsR-18,btsr + pyruvate,1800165,1800210,1.74,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",infC,0.8296500920810314,1800187.5
46,BtsR-19,btsr + pyruvate,1862703,1862749,1.81,"b1779,b1780,b1778","gapA,yeaD,msrB",gapA,-0.04417670682730924,1862726.0
47,BtsR-19,btsr + pyruvate,1862703,1862749,1.81,"b1779,b1780,b1778","gapA,yeaD,msrB",yeaD,-1.2689265536723164,1862726.0
48,BtsR-19,btsr + pyruvate,1862703,1862749,1.81,"b1779,b1780,b1778","gapA,yeaD,msrB",msrB,-0.717391304347826,1862726.0
49,BtsR-20,btsr + pyruvate,1907586,1907633,2.08,"b1823,b1824","cspC,yobF",cspC,-0.830952380952381,1907609.5
50,BtsR-20,btsr + pyruvate,1907586,1907633,2.08,"b1823,b1824","cspC,yobF",yobF,-0.1284722222222222,1907609.5
51,BtsR-21,btsr + pyruvate,1923045,1923093,2.24,b1838,pphA,pphA,-0.15220700152207,1923069.0
52,BtsR-22,btsr + pyruvate,2266141,2266183,4.06,b2172,yeiQ,yeiQ,-0.05589638718473074,2266162.0
53,BtsR-23,btsr + pyruvate,2512646,2512694,2.75,"b2393,b2392","nupC,mntH",nupC,-0.3083956774729842,2512670.0
54,BtsR-23,btsr + pyruvate,2512646,2512694,2.75,"b2393,b2392","nupC,mntH",mntH,0.029055690072639227,2512670.0
55,BtsR-24,btsr + pyruvate,2512724,2512764,1.97,"b2393,b2392","nupC,mntH",nupC,-0.24688279301745636,2512744.0
56,BtsR-24,btsr + pyruvate,2512724,2512764,1.97,"b2393,b2392","nupC,mntH",mntH,-0.03066989507667474,2512744.0
57,BtsR-25,btsr + pyruvate,2512935,2512976,2.29,"b2393,b2392","nupC,mntH",nupC,-0.07107231920199501,2512955.5
58,BtsR-25,btsr + pyruvate,2512935,2512976,2.29,"b2393,b2392","nupC,mntH",mntH,-0.20137207425343018,2512955.5
59,BtsR-26,btsr + pyruvate,2563378,2563427,7.37,"b2448,b2449","yffQ,yffR",yffQ,-0.49867724867724866,2563402.5
60,BtsR-26,btsr + pyruvate,2563378,2563427,7.37,"b2448,b2449","yffQ,yffR",yffR,-1.4669211195928753,2563402.5
61,BtsR-27,btsr + pyruvate,2564932,2564982,3.24,b2450,yffS,yffS,0.5370370370370371,2564957.0
62,BtsR-28,btsr + pyruvate,2691233,2691279,2.51,b2556,glrK,glrK,-0.11064425770308123,2691256.0
63,BtsR-29,btsr + pyruvate,2924200,2924248,6.8,"b2790,b2791,b2792","yqcA,truC,yqcC",yqcA,-2.7555555555555555,2924224.0
64,BtsR-29,btsr + pyruvate,2924200,2924248,6.8,"b2790,b2791,b2792","yqcA,truC,yqcC",truC,-0.561941251596424,2924224.0
65,BtsR-29,btsr + pyruvate,2924200,2924248,6.8,"b2790,b2791,b2792","yqcA,truC,yqcC",yqcC,-0.33636363636363636,2924224.0
66,BtsR-30,btsr + pyruvate,2924330,2924378,7.78,"b2790,b2791,b2792","yqcA,truC,yqcC",yqcA,-3.0444444444444443,2924354.0
67,BtsR-30,btsr + pyruvate,2924330,2924378,7.78,"b2790,b2791,b2792","yqcA,truC,yqcC",truC,-0.7279693486590039,2924354.0
68,BtsR-30,btsr + pyruvate,2924330,2924378,7.78,"b2790,b2791,b2792","yqcA,truC,yqcC",yqcC,-0.7303030303030303,2924354.0
69,BtsR-31,btsr + pyruvate,2924459,2924501,5.68,"b2790,b2791,b2792","yqcA,truC,yqcC",yqcA,-3.3244444444444445,2924480.0
70,BtsR-31,btsr + pyruvate,2924459,2924501,5.68,"b2790,b2791,b2792","yqcA,truC,yqcC",truC,-0.8888888888888888,2924480.0
71,BtsR-31,btsr + pyruvate,2924459,2924501,5.68,"b2790,b2791,b2792","yqcA,truC,yqcC",yqcC,-1.112121212121212,2924480.0
72,BtsR-32,btsr + pyruvate,3056060,3056109,1.9,b2912,fau,fau,-0.28324225865209474,3056084.5
73,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",tolC,-0.101889338731444,3177963.0
74,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",ygiB,-2.6488095238095237,3177963.0
75,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",ygiC,-2.116279069767442,3177963.0
76,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",parE,-1.3560486001056524,3177963.0
77,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",yqiA,-3.3625429553264605,3177963.0
78,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",cpdA,-1.3647342995169083,3177963.0
79,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",yqiB,-1.6146572104018913,3177963.0
80,BtsR-33,btsr + pyruvate,3177942,3177984,1.82,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",nudF,-0.08412698412698413,3177963.0
81,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",tolC,-0.022267206477732792,3178081.0
82,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",ygiB,-2.4732142857142856,3178081.0
83,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",ygiC,-2.0146425495262705,3178081.0
84,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",parE,-1.4183835182250397,3178081.0
85,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",yqiA,-3.5652920962199315,3178081.0
86,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",cpdA,-1.5072463768115942,3178081.0
87,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",yqiB,-1.8936170212765957,3178081.0
88,BtsR-34,btsr + pyruvate,3178058,3178104,1.65,"b3035,b3037,b3038,b3030,b3031,b3032,b3033,b3034","tolC,ygiB,ygiC,parE,yqiA,cpdA,yqiB,nudF",nudF,-0.2714285714285714,3178081.0
89,BtsR-35,btsr + pyruvate,3244768,3244815,7.39,"b3093,b3091,b3092","exuT,uxaA,uxaC",exuT,-0.3321785989222479,3244791.5
90,BtsR-35,btsr + pyruvate,3244768,3244815,7.39,"b3093,b3091,b3092","exuT,uxaA,uxaC",uxaA,-0.9929435483870968,3244791.5
91,BtsR-35,btsr + pyruvate,3244768,3244815,7.39,"b3093,b3091,b3092","exuT,uxaA,uxaC",uxaC,-0.03573956121726822,3244791.5
92,BtsR-36,btsr + pyruvate,3431730,3431779,5.95,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",yrdB,-6.711240310077519,3431754.5
93,BtsR-36,btsr + pyruvate,3431730,3431779,5.95,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",aroE,-1.119047619047619,3431754.5
94,BtsR-36,btsr + pyruvate,3431730,3431779,5.95,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",tsaC,-0.5924956369982548,3431754.5
95,BtsR-36,btsr + pyruvate,3431730,3431779,5.95,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",yrdD,0.3821362799263352,3431754.5
96,BtsR-37,btsr + pyruvate,3431971,3432015,1.81,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",yrdB,-7.635658914728682,3431993.0
97,BtsR-37,btsr + pyruvate,3431971,3432015,1.81,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",aroE,-1.4102564102564104,3431993.0
98,BtsR-37,btsr + pyruvate,3431971,3432015,1.81,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",tsaC,-1.0087260034904013,3431993.0
99,BtsR-37,btsr + pyruvate,3431971,3432015,1.81,"b3280,b3281,b3282,b3283","yrdB,aroE,tsaC,yrdD",yrdD,-0.0570902394106814,3431993.0
100,BtsR-38,btsr + pyruvate,3492461,3492475,2.59,"b3364,b3363","tsgA,ppiA",tsgA,-0.08375634517766498,3492468.0
