regulator,gene_id,gene_name,effect,source
FMN,STM3195,STM3195,-,RegulonDB
TPP,STM0106,STM0106,-,RegulonDB
TPP,STM0107,STM0107,-,RegulonDB
TPP,STM0108,STM0108,-,RegulonDB
TPP,STM2146,STM2146,-,RegulonDB
TPP,STM2147,STM2147,-,RegulonDB
TPP,STM4159,STM4159,-,RegulonDB
TPP,STM4160,STM4160,-,RegulonDB
TPP,STM4162,STM4162,-,RegulonDB
TPP,STM4163,STM4163,-,RegulonDB
TPP,STM4164,STM4164,-,RegulonDB
TPP,STM4161,STM4161,-,RegulonDB
acrR,STM0475,STM0475,-,RegulonDB
acrR,STM0476,STM0476,-,RegulonDB
acrR,STM0477,STM0477,-,RegulonDB
acrR,STM1520,STM1520,-,RegulonDB
acrR,STM1519,STM1519,-,RegulonDB
acrR,STM1518,STM1518,-,RegulonDB
acrR,STM1924,STM1924,-,RegulonDB
acrR,STM1925,STM1925,-,RegulonDB
acrR,STM4265,STM4265,-,RegulonDB
acrR,STM4266,STM4266,-,RegulonDB
ada,STM2124,STM2124,+,RegulonDB
ada,STM2264,STM2264,+-,RegulonDB
ada,STM2265,STM2265,+-,RegulonDB
ada,STM4377,STM4377,+,RegulonDB
adenosylcobalamin,STM4130,STM4130,-,RegulonDB
adenosylcobalamin,STM4131,STM4131,-,RegulonDB
adiY,STM3330,STM3330,+,RegulonDB
adiY,STM3331,STM3331,+,RegulonDB
adiY,STM4575,STM4575,+,RegulonDB
adiY,STM4296,STM4296,+,RegulonDB
aidB,STM4377,STM4377,-,RegulonDB
alaS,STM2827,STM2827,-,RegulonDB
allR,STM0514,STM0514,-,RegulonDB
allR,STM0515,STM0515,-,RegulonDB
allR,STM0517,STM0517,-,RegulonDB
allR,STM0518,STM0518,-,RegulonDB
allR,STM0519,STM0519,-,RegulonDB
allR,STM0522,STM0522,-,RegulonDB
allR,STM0523,STM0523,-,RegulonDB
allR,STM0524,STM0524,-,RegulonDB
allR,STM0525,STM0525,-,RegulonDB
allS,STM0526,STM0526,+,RegulonDB
allS,STM0527,STM0527,+,RegulonDB
allS,STM0528,STM0528,+,RegulonDB
appY,STM1786,STM1786,+,RegulonDB
appY,STM1787,STM1787,+,RegulonDB
appY,STM1788,STM1788,+,RegulonDB
