,locus_tag,strand,tss,sigma_factor,name,box_10_left,box_10_right,box_35_left,box_35_right
0,ECK120009842,1.0,2976569.0,Sigma70,galRp,2976557.0,2976562.0,2976534.0,2976539.0
1,ECK120009843,-1.0,1116709.0,,lpxLp,,,,
2,ECK120009844,1.0,1116772.0,,yceAp,,,,
3,ECK120009845,1.0,89596.0,Sigma70,mraZp,89588.0,89593.0,89563.0,89568.0
4,ECK120009846,1.0,1329284.0,"Sigma70, Sigma38",sohBp1,1329276.0,1329281.0,1329254.0,1329259.0
5,ECK120009846,1.0,1329284.0,"Sigma70, Sigma38",sohBp1,1329262.0,1329272.0,1329245.0,1329250.0
6,ECK120009847,1.0,1329301.0,Sigma70,sohBp2,1329290.0,1329295.0,1329263.0,1329268.0
7,ECK120009848,1.0,4455728.0,"Sigma38, Sigma70",mplp1,4455706.0,4455716.0,4455690.0,4455695.0
8,ECK120009848,1.0,4455728.0,"Sigma38, Sigma70",mplp1,4455711.0,4455716.0,4455685.0,4455690.0
9,ECK120009849,1.0,4455760.0,Sigma70,mplp2,4455749.0,4455754.0,4455726.0,4455731.0
10,ECK120009850,-1.0,4120406.0,Sigma70,menAp,4120415.0,4120420.0,4120439.0,4120444.0
11,ECK120009851,-1.0,1832013.0,Sigma70,astCp1,1832022.0,1832027.0,1832047.0,1832052.0
12,ECK120009852,-1.0,1832044.0,Sigma54,astCp2,1832054.0,1832058.0,1832065.0,1832070.0
13,ECK120009853,-1.0,1832039.0,Sigma38,astCp3,1832046.0,1832056.0,1832070.0,1832075.0
14,ECK120009854,1.0,191812.0,Sigma70,pyrHp,191800.0,191805.0,191774.0,191779.0
15,ECK120009855,1.0,2800656.0,Sigma70,nrdHp,2800644.0,2800649.0,2800621.0,2800626.0
16,ECK120009856,1.0,4042391.0,Sigma70,srkAp,4042378.0,4042383.0,4042353.0,4042358.0
17,ECK120009857,1.0,4043377.0,Sigma70,dsbAp,4043364.0,4043369.0,4043342.0,4043347.0
18,ECK120009858,1.0,940878.0,,dmsAp2,,,,
19,ECK120009859,1.0,816827.0,,moaAp1,,,,
20,ECK120009860,1.0,816914.0,,moaAp2,,,,
21,ECK120009861,1.0,1157766.0,,ptsGp1,,,,
22,ECK120009862,1.0,1157626.0,Sigma70,ptsGp2,1157615.0,1157620.0,,
23,ECK120009863,-1.0,2716523.0,Sigma70,grcAp1,2716529.0,2716534.0,,
24,ECK120009864,1.0,4035239.0,"Sigma32, Sigma70",rrsAp1,4035232.0,4035237.0,4035212.0,4035217.0
25,ECK120009864,1.0,4035239.0,"Sigma32, Sigma70",rrsAp1,4035225.0,4035230.0,4035203.0,4035208.0
26,ECK120009865,1.0,3941516.0,"Sigma32, Sigma70",rrsCp1,3941509.0,3941514.0,3941489.0,3941494.0
27,ECK120009865,1.0,3941516.0,"Sigma32, Sigma70",rrsCp1,3941502.0,3941507.0,3941480.0,3941485.0
28,ECK120009866,1.0,3941633.0,Sigma70,rrsCp2,3941621.0,3941626.0,3941599.0,3941604.0
29,ECK120009867,1.0,4207863.0,"Sigma32, Sigma70",rrsEp,4207846.0,4207851.0,4207827.0,4207832.0
30,ECK120009867,1.0,4207863.0,"Sigma32, Sigma70",rrsEp,4207849.0,4207854.0,4207827.0,4207832.0
31,ECK120009868,-1.0,2731448.0,"Sigma32, Sigma70",rrsGp1,2731450.0,2731455.0,2731470.0,2731475.0
32,ECK120009868,-1.0,2731448.0,"Sigma32, Sigma70",rrsGp1,2731457.0,2731462.0,2731479.0,2731484.0
33,ECK120009869,-1.0,2731332.0,Sigma70,rrsGp2,2731339.0,2731344.0,2731361.0,2731366.0
34,ECK120009870,1.0,223485.0,"Sigma32, Sigma70",rrsHp1,223471.0,223476.0,,
35,ECK120009870,1.0,223485.0,"Sigma32, Sigma70",rrsHp1,223471.0,223476.0,,
36,ECK120009871,1.0,223593.0,Sigma70,rrsHp2,223581.0,223586.0,,
37,ECK120009872,-1.0,3429047.0,"Sigma32, Sigma70",rrsDp1,3429059.0,3429064.0,3429076.0,3429081.0
38,ECK120009872,-1.0,3429047.0,"Sigma32, Sigma70",rrsDp1,3429056.0,3429061.0,3429078.0,3429083.0
39,ECK120009873,-1.0,3428940.0,Sigma70,rrsDp2,3428947.0,3428952.0,3428969.0,3428974.0
40,ECK120009874,-1.0,3639848.0,Sigma38,uspBp,3639853.0,3639863.0,3639878.0,3639883.0
41,ECK120009875,1.0,4375567.0,Sigma70,efpp,4375553.0,4375558.0,4375531.0,4375536.0
42,ECK120009876,1.0,4376794.0,,sugEp,,,,
43,ECK120009877,1.0,4448402.0,Sigma70,chpSp1,4448391.0,4448396.0,4448367.0,4448372.0
44,ECK120009878,1.0,4448428.0,Sigma70,chpSp2,4448418.0,4448423.0,4448397.0,4448402.0
45,ECK120009879,-1.0,710829.0,,uofp,,,,
46,ECK120009880,-1.0,711521.0,,fldAp,,,,
47,ECK120009881,1.0,3059730.0,,argPp,,,,
48,ECK120009882,-1.0,4046652.0,Sigma38,yihGp,4046660.0,4046670.0,4046685.0,4046690.0
49,ECK120009883,1.0,1616955.0,,ydeAp,,,,
50,ECK120009884,1.0,103561.0,Sigma70,ftsAp1,103548.0,103553.0,103525.0,103530.0
51,ECK120009885,-1.0,3683498.0,Sigma70,dctAp,3683505.0,3683510.0,3683528.0,3683533.0
52,ECK120009886,1.0,1646388.0,Sigma28,flxAp,1646374.0,1646381.0,1646355.0,1646359.0
53,ECK120009887,-1.0,2003676.0,Sigma28,fliCp,2003683.0,2003690.0,2003705.0,2003709.0
54,ECK120009888,-1.0,1977302.0,Sigma28,motAp,1977309.0,1977316.0,1977331.0,1977335.0
55,ECK120009889,1.0,4591633.0,Sigma28,tsrp,4591619.0,4591626.0,4591600.0,4591604.0
56,ECK120009891,-1.0,1130165.0,Sigma28,flgMp,1130172.0,1130179.0,1130194.0,1130198.0
57,ECK120009892,1.0,1138351.0,Sigma28,flgKp,1138337.0,1138344.0,1138318.0,1138322.0
58,ECK120009893,-1.0,3219120.0,Sigma28,aerp,3219126.0,3219133.0,3219148.0,3219152.0
59,ECK120009894,-1.0,1972716.0,Sigma28,tarp,1972723.0,1972730.0,1972745.0,1972749.0
60,ECK120009895,-1.0,1244556.0,Sigma28,ycgRp,1244563.0,1244570.0,1244585.0,1244589.0
61,ECK120009896,-1.0,3679229.0,Sigma28,yhjHp,3679236.0,3679243.0,3679258.0,3679262.0
62,ECK120009897,-1.0,3373620.0,Sigma70,nanAp,3373627.0,3373632.0,3373652.0,3373657.0
63,ECK120009898,-1.0,656083.0,,dcuCp,,,,
64,ECK120009899,1.0,1671327.0,"Sigma38, Sigma70",asrp,1671316.0,1671326.0,1671299.0,1671304.0
65,ECK120009899,1.0,1671327.0,"Sigma38, Sigma70",asrp,1671315.0,1671320.0,1671288.0,1671293.0
66,ECK120009900,1.0,4368603.0,Sigma32,fxsAp,4368587.0,4368592.0,4368569.0,4368574.0
67,ECK120009901,-1.0,1258542.0,Sigma70,pthp,1258550.0,1258555.0,1258573.0,1258578.0
68,ECK120009902,-1.0,1257882.0,Sigma70,ychFp,1257889.0,1257894.0,1257915.0,1257920.0
69,ECK120009903,1.0,3086577.0,"Sigma38, Sigma70",metKp,3086570.0,3086575.0,3086549.0,3086554.0
70,ECK120009904,1.0,1368038.0,Sigma54,pspAp,1368024.0,1368028.0,1368012.0,1368017.0
71,ECK120009905,-1.0,1367945.0,Sigma70,pspFp1,1367951.0,1367956.0,1367974.0,1367979.0
72,ECK120009906,-1.0,1367929.0,Sigma70,pspFp2,1367933.0,1367938.0,1367955.0,1367960.0
73,ECK120009907,-1.0,1368040.0,Sigma70,pspFp3,1368044.0,1368049.0,1368069.0,1368074.0
74,ECK120009908,1.0,595573.0,Sigma70,cusCp,595561.0,595566.0,595534.0,595539.0
75,ECK120009909,-1.0,595462.0,Sigma70,cusRp,595469.0,595474.0,595491.0,595496.0
