,start,stop,strand,gene_name,length,,gene_product,evidence,PMID_list,confidence,all_bnumber,regulonDB_geneID
b0001,190,255,+,thrL,65,, operon leader peptide,"[IDA|S|Inferred from direct assay],[IMP|W|Inferred from mutant phenotype]","3112412,318654,6811557,",Strong,b0001,ECK120001251
b0002,337,2799,+,thrA,2462,,fused aspartate kinase/homoserine dehydrogenase 1,,,,b0002,ECK120000987
b0003,2801,3733,+,thrB,932,,homoserine kinase,,,,b0003,ECK120000988
b0004,3734,5020,+,thrC,1286,,threonine synthase,,,,b0004,ECK120000989
b0005,5234,5530,+,yaaX,296,,DUF2502 domain-containing protein YaaX,,"24391520,",,b0005,ECK120002701
b0006,5683,6459,-,yaaA,776,,DNA binding and peroxide stress response protein YaaA,[IMP|W|Inferred from mutant phenotype],"21378183,24952731,",Weak,b0006,ECK120000009
b0007,6529,7959,-,yaaJ,1430,,putative transporter YaaJ,[AIFS|W|Automated inference of function from sequence],"16397293,31438868,32518189,",Weak,b0007,ECK120001508
b0008,8238,9191,+,talB,953,,transaldolase B,,"18175070,21290439,",,b0008,ECK120001509
b0009,9306,9893,+,mog,587,,molybdopterin adenylyltransferase,,,,b0009,ECK120001467
b0010,9928,10494,-,satP,566,,acetate/succinate:H symporter,,,,b0010,ECK120001468
b0011,10643,11356,-,yaaW,713,,putative enzyme-specific chaperone YaaW,,"17636861,",,b0011,ECK120002702
b0012,10830,11315,+,mbiA,485,,uncharacterized protein MbiA,,,,b0012,ECK120001465
b0013,11382,11786,-,yaaI,404,,DUF2541 domain-containing protein YaaI,,"24391520,",,b0013,ECK120004453
b0014,12163,14079,+,dnaK,1916,,chaperone protein DnaK,"[IGI|W|Inferred from genetic interaction],[IMP|W|Inferred from mutant phenotype],[APPH|S|Assay of protein purified  to homogeneity],[AUP|W|Assay of unpurified protein ]","10024459,10380927,10458167,10570141,11544208,12741845,1386674,19439666,21221969,21474779,2203539,2249663,24280225,25451597,26836408,27075190,27189986,28577028,2905317,29643454,29669923,29812913,30271935,30442809,31524873,328896,360041,384143,7037741,7900997,7932696,7937953,8530409,8626401,9822822,",Strong,b0014,ECK120000235
,14080,14167,+,tpke11,87,,,,,,,ECK120002604
b0015,14168,15298,+,dnaJ,1130,,chaperone protein DnaJ,,"3003084,360036,360041,",,b0015,ECK120000234
b0016,15445,16557,+,insL1,1112,,IS186/IS421 transposase,,,,b0016,ECK120002703
b0017,15869,16177,-,Phantom Gene,308,,,,,,b0017,ECK120002704
b4412,16751,16903,-,hokC,152,,protein HokC,,,,b4412,ECK120002652
