,TRANSCRIPTION_UNIT_ID,PROMOTER_ID,TRANSCRIPTION_UNIT_NAME,OPERON_ID,TU_POSLEFT,TU_POSRIGHT,TU_STRAND,POS_1
0,ECK120008913,ECK120009851,astCADBE,ECK120014360,1825955,1832013,reverse,1832013.0
1,ECK120008914,ECK120009852,astCADBE,ECK120014360,1825955,1832327,reverse,1832044.0
2,ECK120008915,ECK120009853,astCADBE,ECK120014360,1825955,1832039,reverse,1832039.0
3,ECK120008916,ECK120009855,nrdHIEF,ECK120014362,2800586,2804461,forward,2800656.0
4,ECK120008917,ECK120010879,cpxPQ,ECK125242769,4105726,4106387,forward,4105785.0
5,ECK120008918,ECK120009856,srkA-dsbA,ECK125272742,4042335,4044044,forward,4042391.0
6,ECK120008919,ECK120009857,dsbA,ECK125272742,4043377,4044044,forward,4043377.0
7,ECK120008920,,aqpZ,ECK120014366,915352,916047,reverse,
8,ECK120008921,ECK120009858,dmsABC,ECK120014367,940850,944896,forward,940878.0
9,ECK120008922,ECK120009860,moaABCDE,ECK120014368,816845,819747,forward,816914.0
10,ECK120008923,ECK120009861,ptsG,ECK120014369,1157614,1159302,forward,1157766.0
11,ECK120008924,ECK120009862,ptsG,ECK120014369,1157580,1159302,forward,1157626.0
12,ECK120008925,ECK120009863,grcA,ECK125147434,2716066,2716689,reverse,2716523.0
13,ECK120008926,ECK120010880,ldcC,ECK120014371,209679,211820,forward,
14,ECK120008927,ECK120009864,rrsA-ileT-alaT-rrlA-rrfA,ECK120023948,4035099,4040636,forward,4035239.0
15,ECK120008928,ECK120010458,rrsB-gltT-rrlB-rrfB,ECK120023947,4166217,4171962,forward,4166367.0
16,ECK120008929,ECK120009865,rrsC-gltU-rrlC-rrfC,ECK120023946,3941388,3947067,forward,3941516.0
17,ECK120008930,ECK120009866,rrsC-gltU-rrlC-rrfC,ECK120023946,3941633,3947067,forward,3941633.0
18,ECK120008931,ECK120009867,rrsE-gltV-rrlE-rrfE,ECK120023945,4207686,4213159,forward,4207863.0
19,ECK120008932,ECK120009868,rrsG-gltW-rrlG-rrfG,ECK120023957,2726069,2731567,reverse,2731448.0
20,ECK120008933,ECK120009869,rrsG-gltW-rrlG-rrfG,ECK120023957,2726069,2731332,reverse,2731332.0
21,ECK120008934,ECK120009870,rrsH-ileV-alaV-rrlH-rrfH,ECK120023956,223297,228875,forward,223485.0
22,ECK120008935,ECK120009871,rrsH-ileV-alaV-rrlH-rrfH,ECK120023956,223593,228875,forward,223593.0
23,ECK120008936,ECK120009872,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,ECK120023955,3423423,3429228,reverse,3429047.0
24,ECK120008937,ECK120009873,rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF,ECK120023955,3423423,3428940,reverse,3428940.0
25,ECK120008938,ECK120010409,dnaN-recF,ECK120014379,3880148,3882733,reverse,3882733.0
26,ECK120008939,ECK120010408,dnaN-recF,ECK120014379,3880148,3882590,reverse,3882590.0
27,ECK120008940,ECK120010407,dnaN-recF,ECK120014379,3880148,3882562,reverse,3882562.0
28,ECK120008941,ECK120010406,dnaN-recF,ECK120014379,3880148,3882348,reverse,3882348.0
29,ECK120008942,ECK120010334,gdhA,ECK120014381,1842219,1843714,forward,1842308.0
30,ECK120008943,ECK120009876,sugE,ECK120014383,4376794,4377192,forward,4376794.0
31,ECK120008944,ECK120009878,chpSB,ECK120014384,4448428,4449042,forward,4448428.0
32,ECK120008945,ECK120009879,uof-fur,ECK120029993,710118,710900,reverse,710829.0
33,ECK120008946,ECK120009880,fldA-uof-fur,ECK120029993,710118,711592,reverse,711521.0
