regulator,TF_id,gene_name,source
Fur,KPN_02199,adhE,RegPrecise
Fur,KPN_02402,ftnA,RegPrecise
Fur,KPN_01250,fiu,RegPrecise
Fur,KPN_01249,ybiX,RegPrecise
Fur,KPN_03806,yhhY,RegPrecise
Fur,KPN_02149,eitA,RegPrecise
Fur,KPN_02150,eitB,RegPrecise
Fur,KPN_02151,eitC,RegPrecise
Fur,KPN_02414,sdiA,RegPrecise
Fur,KPN_00520,yiuA,RegPrecise
Fur,KPN_00519,yiuB,RegPrecise
Fur,KPN_00518,yiuC,RegPrecise
Fur,KPN_01908,yncE,RegPrecise
Fur,KPN_03778,feoA,RegPrecise
Fur,KPN_03779,feoB,RegPrecise
Fur,KPN_03780,yhgG,RegPrecise
Fur,KPN_00610,fepB,RegPrecise
Fur,KPN_00608,fepD,RegPrecise
Fur,KPN_00607,fepG,RegPrecise
Fur,KPN_00606,fepC,RegPrecise
Fur,KPN_00165,fhuA,RegPrecise
Fur,KPN_00166,fhuC,RegPrecise
Fur,KPN_00167,fhuD,RegPrecise
Fur,KPN_00168,fhuB,RegPrecise
Fur,KPN_00609,ybdA,RegPrecise
Fur,KPN_04821,fhuF,RegPrecise
Fur,KPN_03078,sitA,RegPrecise
Fur,KPN_03079,sitB,RegPrecise
Fur,KPN_03080,sitC,RegPrecise
Fur,KPN_03081,sitD,RegPrecise
Fur,KPN_03087,hmuR,RegPrecise
Fur,KPN_03088,hemS,RegPrecise
Fur,KPN_03089,hemT,RegPrecise
Fur,KPN_03090,hemU,RegPrecise
Fur,KPN_03091,hemV,RegPrecise
Fur,KPN_00768,gpmA,RegPrecise
Fur,KPN_02163,hemP,RegPrecise
Fur,KPN_02141,sufA,RegPrecise
Fur,KPN_02140,sufB,RegPrecise
Fur,KPN_02139,sufC,RegPrecise
Fur,KPN_02138,sufD,RegPrecise
Fur,KPN_02137,sufS,RegPrecise
Fur,KPN_02136,sufE,RegPrecise
Fur,KPN_03723,bfd,RegPrecise
Fur,KPN_03722,bfr,RegPrecise
Fur,KPN_01909,yncD,RegPrecise
Fur,KPN_02304,foxR,RegPrecise
Fur,KPN_02197,oppA,RegPrecise
Fur,KPN_02196,oppB,RegPrecise
Fur,KPN_02195,oppC,RegPrecise
Fur,KPN_02194,oppD,RegPrecise
Fur,KPN_02193,oppF,RegPrecise
Fur,KPN_01045,yijD,RegPrecise
Fur,KPN_01046,ycdO,RegPrecise
Fur,KPN_01047,ycdB,RegPrecise
Fur,KPN_00611,entC,RegPrecise
Fur,KPN_00612,entE,RegPrecise
Fur,KPN_00613,entB,RegPrecise
Fur,KPN_00614,entA,RegPrecise
Fur,KPN_00615,ybdB,RegPrecise
Fur,KPN_02743,mntH,RegPrecise
Fur,KPN_04217,sodA,RegPrecise
Fur,KPN_00602,fepA,RegPrecise
Fur,KPN_00601,entD,RegPrecise
Fur,KPN_03499,yqjH,RegPrecise
Fur,KPN_02593,cirA,RegPrecise
Fur,KPN_03426,exbB,RegPrecise
Fur,KPN_03425,exbD,RegPrecise
Fur,KPN_01678,null,RegPrecise
Fur,KPN_02105,null,RegPrecise
Fur,KPN_01244,iroN,RegPrecise
