,binding_width
1,45
2,44
3,34
4,39
5,43
6,38
7,41
8,40
9,46
10,37
11,42
12,50
13,40
14,43
15,41
16,42
17,17
18,45
19,47
20,47
21,38
22,42
23,39
24,46
25,48
26,36
27,42
28,40
29,43
30,38
31,43
32,38
33,38
34,48
35,49
36,44
37,38
38,50
39,45
40,40
41,41
42,42
43,48
44,42
45,49
46,42
47,39
48,47
49,44
50,48
51,45
52,42
53,24
54,45
55,48
56,40
57,42
58,48
59,42
60,5
61,46
62,45
63,52
64,46
65,38
66,31
67,44
68,37
69,42
70,47
71,38
72,42
73,45
74,45
75,41
76,49
77,37
78,33
79,43
80,48
81,36
82,43
83,46
84,38
85,44
86,45
87,38
88,43
89,47
90,47
91,49
92,38
93,41
94,35
95,45
96,50
97,44
98,42
99,40
100,35
101,35
102,39
103,39
104,39
105,38
106,35
107,48
108,48
109,50
110,43
111,42
112,12
113,40
114,34
115,39
116,48
117,51
118,45
119,5
120,46
121,37
122,41
123,31
124,34
125,50
126,46
127,51
128,34
129,45
130,47
131,40
132,39
133,41
134,44
135,43
136,35
137,42
138,34
139,48
140,45
141,42
142,34
143,37
144,46
145,43
146,39
147,34
148,45
149,33
150,45
151,29
152,43
153,39
154,49
155,24
156,5
157,38
158,31
159,36
160,37
161,51
162,50
163,37
164,40
165,47
166,50
167,35
168,43
169,47
170,25
171,42
172,40
173,42
174,48
175,30
176,51
177,47
178,41
179,36
180,41
181,42
182,41
183,42
184,50
185,46
186,44
187,45
188,42
189,34
190,49
191,44
192,11
193,44
194,45
195,45
196,45
197,22
198,18
199,43
200,39
201,40
202,45
203,50
204,45
205,10
206,45
207,44
208,40
209,52
210,47
211,37
212,44
213,44
214,47
215,13
216,51
217,44
218,40
219,43
220,48
221,43
222,34
223,38
224,27
225,38
226,46
227,37
228,46
229,36
230,33
231,42
232,42
233,32
234,43
235,37
236,50
237,35
238,43
239,41
240,37
241,3
242,41
243,39
244,50
245,47
246,33
247,16
248,51
249,36
250,39
251,41
252,42
253,39
254,51
255,32
256,37
257,36
258,42
259,35
260,51
261,45
262,47
263,35
264,33
265,49
266,50
267,41
268,31
269,39
270,37
271,45
272,40
273,32
274,33
275,36
276,11
277,39
278,38
279,43
280,41
281,35
282,44
283,40
284,38
285,34
286,40
287,40
288,41
289,45
290,35
291,34
292,44
293,39
294,47
295,42
296,47
297,45
298,50
299,44
300,46
301,34
302,47
303,37
304,45
305,47
306,42
307,45
308,41
309,41
310,40
311,45
312,36
313,47
314,35
315,41
316,49
317,44
318,48
319,42
320,36
321,34
322,49
323,10
324,52
325,42
326,46
327,42
328,39
329,43
330,30
331,44
332,47
333,52
334,42
335,37
336,44
337,41
338,44
339,14
340,44
341,40
342,43
343,48
344,51
345,44
346,50
347,5
348,39
349,50
350,39
351,51
352,40
353,38
354,48
355,44
356,43
357,44
358,35
359,44
360,35
361,45
362,43
363,47
364,49
365,44
366,34
367,40
368,50
369,38
370,47
371,50
372,41
373,39
374,38
375,47
376,5
377,42
378,48
379,42
380,41
381,50
382,39
383,43
384,46
385,39
386,43
387,47
388,42
389,33
390,45
391,47
392,51
393,50
394,44
395,5
396,41
397,34
398,43
399,43
400,39
401,43
402,46
403,40
404,42
405,38
406,52
407,45
408,36
409,50
410,52
411,46
412,36
413,51
414,43
415,36
416,45
417,46
418,40
419,46
420,41
421,42
422,23
423,47
424,39
425,49
426,45
427,34
428,41
429,49
430,39
431,42
432,44
433,37
434,12
435,40
436,33
437,47
438,47
439,47
440,39
441,38
442,45
443,36
444,52
445,40
446,42
447,46
448,40
449,46
450,26
451,46
452,48
453,45
454,43
455,8
456,30
457,42
458,47
459,46
460,36
461,33
462,42
463,47
464,45
465,49
466,38
467,39
468,45
469,44
470,46
471,50
472,47
473,49
474,50
475,41
476,50
477,40
478,48
479,46
480,51
481,42
482,37
483,35
484,35
485,41
486,38
487,36
488,47
489,38
490,51
491,40
492,42
493,40
494,51
495,40
496,40
497,41
498,51
499,34
500,39
501,42
502,47
503,43
504,43
505,39
506,47
507,40
508,48
509,46
510,47
511,41
512,41
513,32
514,43
515,58
516,48
517,38
518,40
519,17
520,46
521,44
522,48
523,44
524,33
525,31
526,48
527,36
528,32
529,47
530,41
531,42
532,38
533,46
534,51
535,44
536,45
537,49
538,34
539,46
540,36
541,38
542,46
543,43
544,34
545,41
546,41
547,45
548,5
549,45
550,36
551,38
552,36
553,43
554,49
555,52
556,43
557,39
558,50
559,46
560,44
561,43
562,44
563,44
564,42
565,42
566,42
567,37
568,43
569,51
570,44
571,35
572,39
573,40
574,44
575,47
576,52
577,51
578,38
579,38
580,50
581,47
582,49
583,44
584,41
585,49
586,37
587,46
588,44
589,41
590,40
591,48
592,42
593,48
594,44
595,49
596,25
597,38
598,43
599,38
600,38
601,37
602,36
603,30
604,45
605,34
606,43
607,42
608,35
609,36
610,49
611,37
612,41
613,31
614,5
615,46
616,49
617,44
618,41
619,36
620,31
621,48
622,42
623,46
624,38
625,43
626,37
627,47
628,34
629,30
630,44
631,45
632,37
633,31
634,17
635,43
636,38
637,39
638,42
639,47
640,45
641,29
642,40
643,49
644,42
645,44
646,37
647,35
648,12
649,41
650,44
651,48
652,50
653,47
654,49
655,46
656,41
657,5
658,44
659,40
660,38
661,51
662,47
663,36
664,43
665,41
666,41
667,33
668,44
669,37
670,52
671,49
672,8
673,44
674,42
675,40
676,46
677,51
678,51
679,39
680,36
681,46
682,36
683,35
684,46
685,45
686,48
687,42
688,49
689,5
690,44
691,45
692,23
693,33
694,43
695,52
696,45
697,36
698,38
699,41
700,36
701,37
702,52
703,38
704,49
705,45
706,47
707,50
708,43
709,48
710,39
711,38
712,50
713,30
714,37
715,32
716,36
717,36
718,38
719,52
720,18
721,37
722,46
723,37
724,43
725,40
726,36
727,43
728,46
729,38
730,48
731,48
732,46
733,42
734,43
735,40
736,43
737,35
738,9
739,50
740,46
741,52
742,44
743,39
744,42
745,39
746,43
747,26
748,37
749,42
750,44
751,33
752,43
753,42
754,51
755,52
756,47
757,42
758,50
759,38
760,48
761,38
762,38
763,43
764,42
765,49
766,27
767,45
768,40
769,50
770,41
771,39
772,29
773,47
774,52
775,45
776,47
777,50
778,26
779,3
780,43
781,35
782,48
783,36
784,43
785,38
786,40
787,33
788,45
789,42
790,47
791,44
792,42
793,37
794,37
795,37
796,36
797,39
798,51
799,38
800,44
801,38
802,47
803,49
804,39
805,50
806,38
807,32
808,36
809,47
810,43
811,41
812,33
813,48
814,5
815,13
816,35
817,49
818,46
819,37
820,38
821,44
822,46
823,38
824,47
825,44
826,48
827,44
828,43
829,51
830,34
831,50
832,39
833,37
834,30
835,33
836,47
837,42
838,42
839,49
840,42
841,47
842,52
843,36
844,44
845,34
846,35
847,39
848,17
849,30
850,44
851,41
852,39
853,40
854,48
855,38
856,45
857,32
858,50
859,22
860,42
861,38
862,41
863,25
864,37
865,39
866,42
867,44
868,35
869,44
870,51
871,51
872,31
873,47
874,28
875,44
876,38
877,18
878,42
879,34
880,45
881,48
