index,TF,Organism,Strain,BW_1_name,BW_1,BW_2_name,BW_2,BW_3_name,BW_3
0,YbaO,Escherichia coli,K-12 MG1655,R1,ybao_2_R1.cram,,,,
1,YbaQ,Escherichia coli,K-12 MG1655,R1,ybaq_2_R1.cram,,,,
2,YchA,Escherichia coli,K-12 MG1655,R1,ycha_2_R1.cram,,,,
3,YdcI_pH5,Escherichia coli,K-12 MG1655,R1,ydcI_ph5_1.cram,R2,ydcI_ph5_2.cram,,
4,YdcI_pH7,Escherichia coli,K-12 MG1655,R1,ydcI_ph7_1.cram,R2,ydcI_ph7_2.cram,R3,ydcI_ph7_3.cram
5,YdcI_pH8,Escherichia coli,K-12 MG1655,R1,ydcI_ph8_1.cram,R2,ydcI_ph8_2.cram,,
6,YddM,Escherichia coli,K-12 MG1655,R1,yddm_glc_2.cram,,,,
7,YeiE_DPD,Escherichia coli,K-12 MG1655,R1,yeiE_DPD_1.cram,R2,yeiE_DPD_2.cram,,
8,YeiE_Fe,Escherichia coli,K-12 MG1655,R1,yeiE_Fe_1.cram,R2,yeiE_Fe_2.cram,,
9,YheO,Escherichia coli,K-12 MG1655,R1,yheo_glc_2.cram,,,,
10,YiaG,Escherichia coli,K-12 MG1655,R1,yiag_glc_1.cram,R2,yiag_glc_2.cram,,
11,YieP,Escherichia coli,K-12 MG1655,R1,yiep_glc_2.cram,,,,
12,YjdC,Escherichia coli,K-12 MG1655,R1,yjdc_glc_1.cram,R2,yjdc_glc_2.cram,,
