index,TF,Organism,Strain,Media,Supplement,genome_id,organism_id,num_binding_sites,num_samples,num_cond,project,binding tables,curated information,accession,doi,peak_intensity_measure,Method,TF Category,PMID,Media_new,Supplement_new,Contents,Additional_Info,Motif_Available?,Motif_Parameters,Note,BWcond1_1_name,BWcond1_1,BWcond1_2_name,BWcond1_2,BWcond2_1_name,BWcond2_1,BWcond2_2_name,BWcond2_2,BWcond3_1_name,BWcond3_1,BWcond3_2_name,BWcond3_2,BWcond4_1_name,BWcond4_1,BWcond4_2_name,BWcond4_2
0,BaeR,Escherichia coli,K-12 MG1655,LB,5% EtOH,NC_000913.3,e_coli,,4,1,TCS,EtOH|baer_EtOH_binding_table.json,True,GSE143856,https://doi.org/10.1128/mSystems.00980-20,MACE S/N,ChIP-exo,1 – Single TF,33172971.0,LB (Luria-Bertani) broth,5% EtOH,"{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}}",--,True,,,bio-rep1 – R1,BaeR_R1_S31_R1.bw,bio-rep1 – R2,BaeR_R1_S31_R2.bw,bio-rep2 – R1,BaerR_R2_S32_R1.bw,bio-rep2 – R2,BaerR_R2_S32_R2.bw,,,,,,,,
1,CpxR,Escherichia coli,K-12 MG1655,LB,5% EtOH,NC_000913.3,e_coli,,2,1,TCS,EtOH|cpxr_EtOH_binding_table.json,True,GSE143856,https://doi.org/10.1128/mSystems.00980-20,MACE S/N,ChIP-exo,1 – Single TF,33172971.0,LB (Luria-Bertani) broth,5% EtOH,"{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}}",--,True,,,R1,CpxRR1_S1_R1.bw,R2,CpxRR2_S2_R2.bw,,,,,,,,,,,,
2,Cra,Escherichia coli,K-12 MG1655,M9,"0.2% Fructose, Galactose, Acetate, or Glucose",NC_000913.3,e_coli,,8,4,known_TF,M9|cra_M9_binding_table.json;acetate|cra_acetate_binding_table.json;fructose|cra_fructose_binding_table.json;galactose|cra_galactose_binding_table.json,True,GSE65643,https://doi.org/10.1093/nar/gky069,MACE S/N,ChIP-exo,1 – Single TF,29394395.0,M9,"{Carbon Source: {0.2% Fructose, Galactose, Acetate, or Glucose}, 1mL trace element solution (100x): {1 g EDTA, 29 mg ZnSO4·7H2O, 198 mg MnCl2·4H2O, 254 mg CoCl2·6H2O, 13.4 mg CuCl2, 147 mg CaCl2}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,Glu – R1,cra_glu_1.bw,Glu – R2,cra_glu_2.bw,Fru – R1,cra_fru_1.bw,Fru – R2,cra_fru_2.bw,Gal – R1,cra_gal_1.bw,Gal – R2,cra_gal_2.bw,Ace – R1,cra_ace_1.bw,Ace – R2,cra_ace_2.bw
3,Fur,Escherichia coli,K-12 MG1655,M9,"0.1 mM FeCl2 or 0.2 mM 2,2-dipyridyl (DPD)",NC_000913.3,e_coli,,4,2,known_TF,dpd|fur_dpd_binding_table.json;fe|fur_fe_binding_table.json,True,GSE54901,https://doi.org/10.1038/ncomms5910,MACE S/N,ChIP-exo,1 – Single TF,25222563.0,M9,"{Carbon Source: {0.2% Glucose}, Iron-replete conditions: {0,1mL FeCl2}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,Fe – R1,fur_fe_1.bw,Fe – R2,fur_fe_2.bw,DPD – R1,fur_dpd_1.bw,DPD – R2,fur_dpd_2.bw,,,,,,,,
4,GadE,Escherichia coli,K-12 MG1655,M9,pH 5.5 (adjusted with HCl),NC_000913.3,e_coli,,2,1,known_TF,M9|gade_M9_binding_table.json,True,GSE66482,https://doi.org/10.1038/ncomms8970,MACE S/N,ChIP-exo,1 – Single TF,26258987.0,M9,"{Carbon Source: {0.2% Glucose}, Acidic stress conditions: {M9 media adjusted to pH 5.5  with HCl}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,gade_1.bw,R2,gade_2.bw,,,,,,,,,,,,
5,GadW,Escherichia coli,K-12 MG1655,M9,pH 5.5 (adjusted with HCl),NC_000913.3,e_coli,,2,1,known_TF,M9|gadw_M9_binding_table.json,True,GSE66482,https://doi.org/10.1038/ncomms8970,MACE S/N,ChIP-exo,1 – Single TF,26258987.0,M9,"{Carbon Source: {0.2% Glucose}, Acidic stress conditions: {M9 media adjusted to pH 5.5  with HCl}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,gadw_1.bw,R2,gadw_2.bw,,,,,,,,,,,,
6,GadX,Escherichia coli,K-12 MG1655,M9,pH 5.5 (adjusted with HCl),NC_000913.3,e_coli,,2,1,known_TF,M9|gadx_M9_binding_table.json,True,GSE66482,https://doi.org/10.1038/ncomms8970,MACE S/N,ChIP-exo,1 – Single TF,26258987.0,M9,"{Carbon Source: {0.2% Glucose}, Acidic stress conditions: {M9 media adjusted to pH 5.5  with HCl}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,R1,gadx_1.bw,R2,gadx_2.bw,,,,,,,,,,,,
7,KdpE,Escherichia coli,K-12 MG1655,Tris-maleic acid (TMA),0.1 mM KCl,NC_000913.3,e_coli,,2,1,TCS,KCl|kdpe_KCl_binding_table.json,True,GSE143856,https://doi.org/10.1128/mSystems.00980-20,MACE S/N,ChIP-exo,1 – Single TF,33172971.0,TMA (Tris-maleic acid minimal medium),"{unstimulated: {115mM KCl}, stimulated: {0.1mM KCl}}","{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}}",--,True,,,R1,KdpeE_R2_S34_R1.bw,R2,KdpeE_R2_S34_R2.bw,,,,,,,,,,,,
8,PhoB,Escherichia coli,K-12 MG1655,M9P,Low phosphate concentration (10% of the M9 medium),NC_000913.3,e_coli,,4,1,TCS,M9P|phob_M9P_binding_table.json,True,GSE143856,https://doi.org/10.1128/mSystems.00980-20,MACE S/N,ChIP-exo,1 – Single TF,33172971.0,M9-P (M9 minimal medium with 10% of normal phosphate levels),,"{LB: {1% NaCl, 1% tryptone, 0.5% yeast extract}}",--,True,,,bio-rep1 – R1,PhoB_1_S16_R1.bw,bio-rep1 – R2,PhoB_1_S16_R2.bw,bio-rep2 – R1,PhoB_2_S6_R1.bw,bio-rep2 – R2,PhoB_2_S6_R2.bw,,,,,,,,
9,RpoB,Escherichia coli,K-12 MG1655,M9,"0.1 mM FeCl2 or 0.2 mM 2,2-dipyridyl (DPD)",NC_000913.3,e_coli,,4,2,known_TF,dpd|rpob_dpd_binding_table.json;fe|rpob_fe_binding_table.json,True,GSE54901,https://doi.org/10.1038/ncomms5910,MACE S/N,ChIP-exo,1 – Single TF,25222563.0,M9,"{Carbon Source: {0.2% Glucose}, Iron-replete conditions: {0,1mL FeCl2}}","{M9: {M9 salts (5X) 20 mL/100 mL, glucose (20%) 2 mL/100mL, MgSO4 (1 Molar) 200 uL/100 mL, H2O 78 mL/100 mL}}",--,True,,,Fe – R1,rpob_fe1.bw,Fe – R2,rpob_fe2.bw,DPD – R1,rpob_dpd1.bw,DPD – R2,rpob_dpd2.bw,,,,,,,,
