,binding_width
1,28
2,32
3,31
4,40
5,34
6,26
7,29
8,31
9,32
10,14
11,40
12,37
13,42
14,35
15,40
16,29
17,22
18,29
19,35
20,27
21,31
22,28
23,26
24,35
25,44
26,47
27,3
28,29
29,46
30,37
31,47
32,25
33,16
34,33
35,35
36,29
37,39
38,29
39,33
40,40
41,18
42,33
43,27
44,29
45,27
46,29
47,29
48,38
49,21
50,23
51,45
52,45
53,32
54,40
55,36
56,30
57,32
58,27
59,28
60,28
61,30
62,29
63,36
64,31
65,39
66,33
67,13
68,31
69,35
70,17
71,33
72,33
73,42
74,41
75,34
76,27
77,18
78,38
79,36
80,23
81,41
82,44
83,40
84,26
85,40
86,32
87,33
88,38
89,33
90,20
91,34
92,26
93,32
94,30
95,27
96,14
97,37
98,38
99,31
100,29
101,28
102,27
103,37
104,42
105,23
106,28
107,35
108,31
109,50
110,40
111,29
112,43
113,25
114,31
115,41
116,38
117,29
118,37
119,39
120,23
121,38
122,12
123,6
124,29
125,34
126,29
127,29
128,35
129,27
130,18
131,33
132,27
133,26
134,31
135,28
136,28
137,34
138,52
139,28
140,22
141,32
142,38
143,31
144,35
145,40
146,36
147,19
148,29
149,4
150,30
151,27
152,47
153,16
154,21
155,37
156,33
157,32
158,24
159,15
160,32
161,28
162,9
163,39
164,44
165,30
166,23
167,39
168,35
169,36
170,30
171,26
172,28
173,27
174,24
175,37
176,50
177,42
178,3
179,31
180,42
181,22
182,44
183,22
184,32
185,47
186,9
187,33
188,38
189,27
190,16
191,26
192,30
193,24
194,35
195,36
196,26
197,32
198,35
199,26
200,33
201,44
202,34
203,34
204,28
205,27
206,19
207,32
208,33
209,11
210,30
211,23
212,33
213,42
214,24
215,15
216,5
217,3
218,31
219,31
220,32
221,31
222,45
223,32
224,36
225,33
226,32
227,30
228,41
229,38
230,29
231,33
232,39
233,32
234,39
235,34
236,40
237,31
238,35
239,26
240,16
241,23
242,46
243,46
244,45
245,16
246,43
247,39
248,34
249,25
250,27
251,52
252,2
253,40
254,26
255,42
256,24
257,31
258,33
259,25
260,35
261,24
262,29
263,23
264,28
265,34
266,28
267,10
268,23
269,40
270,23
271,35
272,34
273,32
274,28
275,36
276,38
277,32
278,30
279,34
280,30
281,34
282,8
283,34
284,32
285,34
286,30
287,34
288,27
289,13
290,30
291,30
292,11
293,42
294,28
295,45
296,28
297,35
298,32
299,32
300,29
301,32
302,16
303,31
304,35
305,39
306,23
307,26
308,25
309,35
310,24
311,26
312,30
313,22
314,43
315,29
316,36
317,30
318,36
319,31
320,38
321,37
322,34
323,32
324,30
325,32
326,31
327,11
328,22
329,42
330,38
331,40
332,36
333,29
334,41
335,28
336,50
337,30
338,26
339,44
340,38
341,33
342,32
343,30
344,27
345,31
346,30
347,26
348,6
349,27
350,33
351,32
352,24
353,42
354,36
355,47
356,35
357,9
358,34
359,28
360,32
361,20
362,23
363,31
364,32
365,32
366,40
367,29
368,37
369,24
370,34
371,46
372,29
373,30
374,20
375,32
376,24
377,5
378,32
379,31
380,33
381,5
382,14
383,41
384,18
385,35
386,17
387,20
388,35
389,34
390,27
391,40
392,25
393,33
394,16
395,38
396,32
397,31
398,39
399,26
400,30
401,29
402,41
403,39
404,29
405,36
406,32
407,36
408,31
409,33
410,23
411,33
412,33
413,29
414,37
415,36
416,31
417,23
418,33
419,35
420,29
421,37
422,30
423,35
424,28
425,38
426,30
427,40
428,39
429,32
430,33
431,20
432,35
433,40
434,31
435,21
436,33
437,5
438,36
439,27
440,18
441,28
442,21
443,37
444,19
445,29
446,35
447,8
448,32
449,36
450,3
451,35
452,36
453,19
454,35
455,10
456,13
457,30
458,23
459,31
460,22
461,27
462,15
463,19
464,31
465,28
466,45
467,12
468,36
469,32
470,20
471,22
472,28
473,20
474,30
475,33
476,41
477,44
478,32
479,30
480,34
481,34
482,10
483,51
484,42
485,14
486,22
487,30
488,28
489,32
490,36
491,21
492,35
493,39
494,8
495,49
496,20
497,30
498,38
499,32
500,33
501,28
502,3
503,39
504,19
505,33
506,40
507,37
508,26
509,29
510,32
511,8
512,43
513,36
514,42
515,14
516,33
517,26
518,39
519,9
520,33
521,26
522,45
523,32
524,9
525,23
526,29
527,26
528,34
529,27
530,34
531,29
532,38
533,28
534,30
535,3
536,34
537,32
538,38
539,32
540,28
541,29
542,31
543,36
544,27
545,38
546,34
547,15
548,22
549,30
550,27
551,35
552,27
553,27
554,43
555,29
556,29
557,30
558,40
559,22
560,28
561,15
562,21
563,30
564,29
565,31
566,30
567,29
568,32
569,34
570,34
571,24
572,38
573,8
574,42
575,36
576,28
577,36
578,38
579,21
580,31
581,50
582,27
583,28
584,29
585,36
586,33
587,27
588,22
589,34
590,30
591,32
592,34
593,29
594,32
595,27
596,35
597,26
598,28
599,34
600,32
601,38
602,35
603,50
604,32
605,38
606,47
607,17
608,30
609,34
610,30
611,24
612,5
613,16
614,50
615,27
616,28
617,29
618,41
619,33
620,31
621,34
622,32
623,32
624,29
625,26
626,13
627,34
628,31
629,37
630,28
631,38
632,27
633,9
634,32
635,39
636,25
637,3
638,31
639,33
640,39
641,27
642,28
643,31
644,35
645,27
646,34
647,30
648,34
649,32
650,30
651,32
652,41
653,29
654,31
655,23
656,19
657,32
658,28
659,34
660,32
661,35
662,21
663,36
664,28
665,31
666,33
667,35
668,43
669,25
670,29
671,38
672,25
673,29
674,21
675,32
676,38
677,28
678,17
679,42
680,46
681,44
682,3
683,38
684,41
685,28
686,31
687,46
688,32
689,27
690,33
691,30
692,13
693,32
694,33
695,26
696,13
697,26
698,21
699,30
700,31
701,31
702,23
703,35
704,27
705,37
706,31
707,31
708,12
709,32
710,19
711,26
712,31
713,31
