,binding_width
1,45
2,44
3,24
4,55
5,46
6,51
7,45
8,16
9,43
10,50
11,45
12,42
13,19
14,30
15,41
16,15
17,44
18,24
19,36
20,31
21,45
22,39
23,45
24,32
25,29
26,22
27,44
28,50
29,32
30,54
31,25
32,37
33,26
34,41
35,51
36,49
37,10
38,70
39,29
40,47
41,41
42,43
43,50
44,16
45,49
46,44
47,46
48,42
49,36
50,43
51,42
52,35
53,52
54,33
55,49
56,41
57,33
58,63
59,49
60,45
61,38
62,49
63,13
64,15
65,39
66,49
67,45
68,34
69,30
70,4
71,51
72,51
73,32
74,51
75,51
76,32
77,2
78,37
79,44
80,39
81,44
82,31
83,34
84,39
85,20
86,40
87,53
88,52
89,22
90,46
91,42
92,28
93,50
94,41
95,45
96,47
97,41
98,4
99,30
100,49
101,43
102,30
103,49
104,41
105,43
106,45
107,40
108,50
109,43
110,45
111,26
112,19
113,41
