,binding_width
1,47
2,32
3,46
4,47
5,45
6,8
7,45
8,50
9,13
10,34
11,21
12,30
13,27
14,33
15,28
16,31
17,33
18,51
19,40
20,51
21,9
22,7
23,30
24,34
25,32
26,18
27,30
28,30
29,36
30,27
31,31
32,31
33,29
34,9
35,32
36,25
37,26
38,9
39,31
40,28
41,30
42,32
43,29
44,41
45,31
46,28
47,31
48,13
49,39
50,39
51,33
52,29
53,28
54,32
55,29
56,41
57,46
58,45
59,11
60,10
61,35
62,35
63,20
64,46
65,34
66,40
67,25
68,20
69,29
70,30
71,50
72,37
73,30
74,30
75,35
76,27
77,42
78,20
79,13
80,27
81,34
82,27
83,26
84,48
85,33
86,31
87,19
88,9
89,30
