,binding_width
1,40
2,13
3,42
4,25
5,38
6,44
7,51
8,42
9,27
10,47
11,35
12,42
13,38
14,32
15,42
16,43
17,34
18,42
19,48
20,45
21,40
22,13
23,14
24,34
25,42
26,35
27,39
28,41
29,42
30,38
31,43
32,37
33,43
34,28
35,46
36,45
37,34
38,42
39,42
40,43
41,36
42,41
43,39
44,38
45,42
46,34
47,28
48,47
49,34
50,16
51,32
52,45
53,45
54,48
55,34
56,43
57,48
58,36
59,7
60,47
61,41
62,12
63,48
64,40
65,31
66,39
67,33
68,41
69,36
70,40
71,42
72,31
73,40
74,3
75,26
76,45
77,41
78,39
79,45
80,52
81,41
82,45
83,46
84,49
85,10
86,33
87,45
88,15
89,47
90,28
91,19
92,39
93,52
94,45
95,10
96,34
97,36
98,43
99,36
100,15
101,48
102,28
103,33
104,42
105,29
106,34
107,48
108,42
109,49
110,43
111,30
112,37
113,35
114,47
115,47
116,49
117,51
118,48
119,38
120,34
121,44
122,42
123,36
124,26
125,45
126,42
127,38
128,44
129,34
130,38
131,43
132,46
133,33
134,45
135,37
136,56
137,32
138,48
139,24
140,45
141,37
142,47
143,10
144,18
145,43
146,36
147,46
148,46
149,46
150,45
151,34
152,18
153,35
154,41
155,43
156,31
157,39
158,35
159,41
160,43
161,40
162,3
163,34
164,41
165,35
166,39
167,42
168,41
169,34
170,44
171,41
172,37
173,44
174,42
175,41
176,45
177,50
178,46
179,32
180,46
181,46
182,45
183,28
184,46
185,49
186,46
187,31
188,41
189,5
190,34
191,38
192,46
193,44
194,42
195,38
196,44
197,51
198,29
199,41
200,10
201,39
202,48
203,38
204,19
205,46
206,47
207,39
208,50
209,38
210,44
211,38
212,49
213,40
214,48
215,38
216,38
217,38
218,52
219,44
220,47
221,33
222,48
223,9
224,41
225,37
226,43
227,42
228,45
229,36
230,39
231,32
232,44
233,15
234,39
235,7
236,47
237,36
238,34
239,38
240,43
241,35
242,43
243,51
244,37
245,48
246,38
247,43
248,43
249,39
250,47
251,24
252,43
253,50
254,46
255,48
256,46
257,21
258,47
259,31
260,44
261,44
262,40
263,34
264,42
265,44
266,42
267,44
268,33
269,48
270,41
271,37
272,43
273,49
274,44
275,14
276,35
277,30
278,34
279,10
280,47
281,30
282,27
283,43
284,36
285,5
286,47
287,30
288,15
289,43
290,47
291,39
292,41
293,22
294,39
295,40
296,46
297,33
298,44
299,45
300,48
301,43
302,46
303,21
304,39
305,51
306,37
307,33
308,36
309,42
310,32
311,44
312,42
313,36
314,37
315,42
316,5
317,52
318,46
319,38
320,35
321,40
322,37
323,44
324,38
325,29
326,41
327,45
328,45
329,45
330,33
331,45
332,36
333,46
334,43
335,13
336,39
337,36
338,50
339,49
340,46
341,42
342,36
343,37
344,36
345,41
346,47
347,36
348,31
349,32
350,18
351,34
352,49
353,52
354,36
355,32
356,40
357,3
358,30
359,38
360,39
361,36
362,51
363,10
364,32
365,38
366,48
367,37
368,10
369,45
370,38
371,40
372,43
373,34
374,27
375,25
376,33
377,17
378,45
379,38
380,38
381,39
382,36
383,41
384,5
385,39
386,42
387,40
388,38
389,41
390,64
391,8
392,37
393,39
394,34
395,48
396,37
397,64
398,49
399,43
400,47
401,29
402,21
403,45
404,10
405,39
406,40
407,49
408,42
409,35
410,41
411,12
412,33
413,40
414,39
415,43
416,17
417,39
418,37
419,29
420,48
421,43
422,40
423,47
424,43
425,45
426,46
427,42
428,38
429,35
430,36
431,39
432,44
433,40
434,13
435,41
436,44
437,45
438,41
439,40
440,42
441,45
442,43
443,49
444,48
445,3
446,45
447,47
448,44
449,44
450,39
451,38
452,40
453,56
454,44
455,26
456,38
457,19
458,29
459,38
460,35
461,31
462,39
463,38
464,43
465,50
466,43
467,40
468,38
469,40
470,20
471,42
472,35
473,31
474,49
475,50
476,38
477,37
478,44
479,50
480,42
481,37
482,41
483,41
484,46
485,37
486,38
487,38
488,37
489,39
490,46
491,40
492,46
493,41
494,29
495,37
496,52
497,45
498,21
499,24
500,43
501,24
502,31
503,39
504,42
505,36
506,47
507,47
508,46
509,40
510,42
511,36
512,38
513,41
514,13
515,43
516,46
517,43
518,41
519,34
520,38
521,44
522,48
523,40
524,36
525,32
526,42
527,9
528,37
529,34
530,36
531,32
532,22
533,38
534,49
535,33
536,37
537,48
538,34
539,40
540,37
541,44
542,6
543,19
544,41
545,40
546,39
547,43
548,40
549,46
550,42
551,44
552,42
553,45
554,31
555,41
556,46
557,38
558,22
559,40
560,37
561,13
562,51
563,36
564,38
565,42
566,43
567,15
568,40
569,36
570,48
571,36
572,39
573,32
574,39
575,29
576,43
577,41
578,30
579,10
580,46
581,42
582,26
583,48
584,47
585,35
586,42
587,48
588,33
589,50
590,36
591,42
592,38
593,49
594,49
595,35
596,43
597,42
598,43
599,42
600,42
601,43
602,37
603,33
604,38
605,10
