,binding_width
1,30
2,40
3,27
4,31
5,17
6,40
7,10
8,31
9,30
10,43
11,30
12,32
13,40
14,40
15,41
16,16
17,32
18,41
19,37
20,42
21,39
22,40
23,38
24,34
25,31
26,39
27,35
28,29
29,39
30,43
31,31
32,33
33,34
34,40
35,37
36,33
37,36
38,33
39,32
40,32
41,34
42,41
43,41
44,44
45,42
46,30
47,19
48,28
49,40
50,38
51,38
52,38
53,36
54,33
55,38
56,36
57,38
58,42
59,39
60,40
61,40
62,35
63,40
64,39
65,35
66,34
67,38
68,41
69,36
70,30
71,36
72,40
73,29
74,39
75,37
76,30
77,36
78,34
79,8
80,38
81,38
82,36
83,37
84,35
85,9
86,44
87,44
88,34
89,33
90,38
91,34
92,34
93,32
94,41
95,39
96,40
97,37
98,38
99,41
100,41
101,39
102,35
103,32
104,31
105,41
106,32
107,35
108,36
109,34
110,35
111,42
112,41
113,44
114,10
115,40
116,35
117,36
118,40
119,35
120,33
121,13
122,36
123,36
124,42
125,28
126,40
127,39
128,20
129,40
130,36
131,33
132,23
133,35
134,40
135,40
136,41
137,37
138,44
139,31
140,42
141,35
142,38
143,36
144,33
145,39
146,33
147,37
148,41
149,42
150,39
151,34
152,42
153,27
154,33
155,34
156,40
157,41
158,35
159,8
160,28
161,43
162,38
163,31
164,35
165,35
166,18
167,39
168,31
169,35
170,35
171,34
172,37
173,34
174,40
175,35
176,39
177,36
178,36
179,38
180,40
181,32
182,35
183,36
184,35
185,37
186,25
187,38
188,37
189,30
190,43
191,37
192,44
193,37
194,27
195,26
196,29
197,34
198,29
199,28
200,29
201,30
202,31
203,21
204,24
205,25
206,33
207,24
208,26
209,29
210,30
211,29
212,26
213,30
214,27
215,46
216,27
217,29
218,29
219,13
220,30
221,30
222,29
223,34
224,25
225,35
226,8
227,10
228,31
229,29
230,32
231,23
232,28
233,26
234,32
235,5
236,26
237,26
238,37
239,35
240,33
241,41
242,29
243,32
244,35
245,28
246,27
247,27
248,32
249,32
250,31
251,32
252,31
253,42
254,36
255,29
256,29
257,32
258,30
259,17
260,30
261,28
262,35
263,44
264,33
265,33
266,16
267,29
268,16
269,38
270,28
271,33
272,30
273,29
274,30
275,36
276,31
277,37
278,30
279,28
280,33
281,38
282,13
283,16
284,24
285,30
286,28
287,30
288,29
289,31
290,18
291,30
292,30
293,21
294,35
295,29
296,28
297,33
298,36
299,28
300,26
301,27
302,19
303,32
304,8
305,35
306,35
307,34
308,33
309,17
310,26
311,23
312,30
313,15
314,25
315,37
316,37
317,22
318,29
319,48
320,32
321,29
322,29
323,28
324,30
325,40
326,19
327,28
328,27
329,32
330,21
331,31
332,16
333,30
334,37
335,28
336,26
337,29
338,31
339,24
340,30
341,16
342,41
343,40
344,35
345,27
346,24
347,27
348,33
349,12
350,27
351,43
352,29
353,28
354,30
355,28
356,32
357,26
358,15
359,28
360,30
361,29
362,14
363,29
364,106
365,43
366,29
367,34
368,24
369,34
370,42
371,35
372,36
373,29
374,27
375,32
376,31
377,36
378,29
379,30
380,30
381,20
382,31
383,34
384,28
385,36
386,49
387,28
388,37
389,29
390,42
391,31
392,36
393,28
394,31
395,16
396,30
397,32
398,29
399,31
400,33
401,31
402,31
403,20
404,29
405,28
406,29
407,20
408,37
409,29
410,29
411,26
412,27
413,29
414,45
415,14
416,34
417,44
418,29
419,23
420,16
421,33
422,29
423,22
424,27
425,13
426,20
427,25
428,32
429,10
430,51
431,26
432,17
433,15
434,38
435,35
436,29
437,24
438,22
439,31
440,35
441,29
442,28
443,28
444,35
445,28
446,25
447,23
448,34
449,28
450,29
451,28
452,18
453,25
454,35
455,32
456,31
457,32
458,30
459,22
460,30
461,32
462,34
463,29
464,37
465,42
466,28
467,33
468,34
469,17
470,35
471,28
472,34
473,26
474,26
475,20
476,29
477,31
478,30
479,35
480,18
481,25
482,32
483,34
484,30
485,31
486,30
487,26
488,28
489,19
490,34
491,33
492,28
493,32
494,14
495,15
496,46
497,13
498,38
499,28
500,24
501,40
502,16
503,28
504,30
505,31
506,30
507,39
508,27
509,31
510,29
511,31
512,28
513,26
514,31
515,28
516,13
517,31
518,12
519,37
520,28
521,27
522,30
523,24
524,27
525,26
526,28
527,32
528,33
529,17
530,3
531,39
532,33
533,30
534,32
535,29
536,34
537,16
538,23
539,31
540,27
541,32
542,29
543,39
544,30
545,24
546,28
547,27
548,27
549,27
550,17
551,28
552,24
553,34
554,28
555,22
556,35
557,29
558,29
559,28
560,32
561,28
562,25
563,32
564,26
565,29
566,26
567,29
568,30
569,28
570,29
571,31
572,29
573,31
574,30
575,27
576,33
577,28
578,31
579,45
580,27
581,30
582,34
583,31
584,27
585,17
586,31
587,32
588,34
589,36
590,34
591,44
592,26
593,31
594,30
595,32
596,33
597,30
598,36
599,29
600,34
601,25
602,51
603,14
604,29
605,31
606,27
607,42
608,23
609,33
610,33
611,33
612,29
613,30
614,17
615,36
616,28
617,14
618,36
619,24
620,34
621,27
622,25
623,29
624,32
625,31
626,29
627,28
628,28
629,29
630,33
631,33
632,30
633,33
634,35
635,57
636,28
637,30
638,30
639,30
640,24
641,27
642,30
643,35
644,31
645,30
646,26
647,35
648,29
649,29
650,18
651,33
652,30
653,28
654,32
655,36
656,29
657,30
658,32
659,26
660,39
661,28
662,27
663,30
664,29
665,28
666,3
667,33
668,13
669,17
670,33
671,32
672,25
673,29
674,28
675,35
676,25
677,28
678,32
679,33
680,22
681,31
682,30
683,30
684,23
685,32
686,26
687,24
688,31
689,31
690,29
691,30
692,29
693,26
694,30
695,31
696,36
697,23
698,36
699,48
700,29
701,35
702,28
703,43
704,34
705,31
706,34
707,27
708,32
709,19
710,28
711,9
712,24
713,35
714,23
715,24
716,26
717,32
718,19
719,32
720,31
721,34
722,44
723,29
724,29
725,30
726,37
727,30
728,25
729,18
730,29
731,29
732,31
733,23
734,32
735,38
736,19
737,18
738,32
739,29
740,26
741,32
742,18
743,26
744,32
745,29
746,27
747,13
748,40
749,43
750,24
751,27
752,46
753,26
754,31
755,26
756,28
757,24
758,22
759,32
760,30
761,32
762,27
763,26
764,35
765,31
766,30
767,29
768,33
769,25
770,35
771,33
772,19
773,24
774,33
775,32
776,33
777,30
778,31
779,29
780,33
781,38
782,26
783,33
784,30
785,32
786,5
787,28
788,35
789,29
790,29
791,34
792,22
793,28
794,23
795,30
796,32
797,15
798,31
799,30
800,30
801,30
802,27
803,39
804,30
805,28
806,25
807,22
808,30
809,41
810,32
811,23
812,26
813,26
814,28
815,28
816,30
817,30
818,24
819,22
820,27
821,31
822,32
823,32
824,30
825,40
826,19
827,19
828,32
829,34
830,18
831,29
832,32
833,31
834,26
835,30
836,34
837,33
838,20
839,16
840,13
841,30
842,28
843,33
844,32
845,29
846,13
847,32
848,35
849,31
850,29
851,30
852,31
853,34
854,29
855,29
856,32
857,32
858,30
859,33
860,28
861,32
862,26
863,28
864,34
865,30
866,27
867,33
868,26
869,30
870,48
871,37
872,32
873,18
874,29
875,31
876,25
877,28
878,29
879,30
880,32
881,28
882,26
883,34
884,28
885,19
886,32
887,28
888,29
889,27
890,46
891,27
892,31
893,23
894,26
895,27
896,31
897,29
898,31
899,19
900,29
901,23
902,30
903,29
904,36
905,38
906,31
907,32
908,30
909,22
910,30
911,32
912,25
913,34
914,28
915,28
916,18
917,33
918,29
919,34
920,25
921,27
922,36
923,30
924,28
925,30
926,31
927,24
928,35
929,29
930,30
931,33
932,28
933,21
934,25
935,20
936,29
937,19
938,30
939,25
940,27
941,15
942,29
943,28
944,31
945,10
946,32
947,27
948,30
949,41
950,35
951,28
952,23
953,29
954,37
955,30
956,28
957,37
958,30
959,32
960,30
961,29
962,29
963,27
964,33
965,13
966,26
967,31
968,30
969,27
970,18
971,9
972,35
973,32
974,28
975,28
976,14
977,28
978,28
979,35
980,33
981,37
982,20
983,26
984,28
985,28
986,32
987,32
988,30
989,33
990,28
991,28
992,31
993,25
994,30
995,34
996,29
997,41
998,34
999,20
1000,31
1001,31
1002,28
1003,28
1004,26
