,binding_width
1,14
2,19
3,52
4,44
5,41
6,44
7,42
8,42
9,49
10,54
11,48
12,42
13,38
14,19
15,43
16,50
17,50
18,38
19,38
20,15
21,6
22,46
23,10
24,50
25,42
26,49
27,45
28,36
29,10
30,48
31,44
32,47
33,46
34,35
35,50
36,42
37,37
38,36
39,48
40,45
41,34
42,27
43,11
44,40
45,38
46,43
47,46
48,33
49,33
50,47
51,43
52,14
53,44
54,47
55,10
56,50
57,44
58,12
59,10
60,7
61,40
62,28
63,42
64,43
65,43
66,10
67,2
68,42
69,10
70,48
71,80
72,52
73,49
74,39
75,45
76,24
77,11
78,45
79,33
80,35
81,44
82,25
83,41
84,41
85,30
86,42
87,35
88,2
89,23
90,65
91,25
92,46
93,49
94,43
95,42
96,49
97,32
98,33
99,42
100,47
101,46
102,43
103,41
104,40
105,13
106,39
107,43
108,44
109,12
110,42
111,32
112,40
113,47
114,24
115,37
116,10
117,35
118,39
119,35
120,16
121,7
122,39
123,9
124,40
125,43
126,45
127,48
128,16
129,24
130,43
131,47
132,9
133,43
134,10
135,42
136,41
137,42
138,11
139,13
140,38
141,12
142,44
143,20
144,17
145,45
146,44
147,41
148,8
149,46
150,55
151,31
152,44
153,10
154,41
155,16
156,43
157,42
158,33
159,37
160,44
161,38
162,23
163,13
164,4
165,48
166,42
167,14
168,41
169,43
170,8
171,43
172,43
173,41
174,19
175,45
176,52
177,60
178,22
179,51
180,42
181,46
182,35
183,37
184,43
185,40
186,45
187,42
188,43
189,9
190,38
191,40
192,46
193,94
194,45
195,9
196,10
197,48
198,40
199,41
200,13
201,17
202,44
203,14
204,40
205,29
206,110
207,41
208,10
209,37
210,10
211,45
212,9
213,40
214,9
215,44
216,41
217,46
218,42
219,40
220,18
221,44
222,20
223,45
224,40
225,40
226,9
227,24
228,47
229,12
230,45
231,45
232,40
233,100
234,40
235,34
236,41
237,42
238,38
239,43
240,52
241,43
242,44
243,41
244,20
245,51
246,48
247,42
248,47
249,39
250,44
251,40
252,16
253,44
254,35
255,36
256,42
257,14
258,50
259,19
260,6
261,47
262,33
263,36
264,40
265,41
266,44
267,44
268,39
269,45
270,37
271,44
272,34
273,14
274,39
275,36
276,10
277,41
278,50
279,21
280,51
281,36
282,24
283,45
284,46
285,32
286,44
287,45
288,19
289,17
290,40
291,51
292,49
293,47
294,36
295,9
296,9
297,56
298,43
299,43
300,39
301,45
302,44
303,43
304,41
305,44
306,42
307,43
308,36
309,42
310,50
311,45
312,38
313,9
314,45
315,51
316,41
317,32
318,39
319,43
320,39
321,25
322,52
323,50
324,12
325,48
326,49
327,13
328,59
329,46
330,12
331,71
332,52
333,31
334,34
335,12
336,49
337,44
338,47
339,44
340,20
341,45
342,39
343,42
344,9
345,41
346,9
347,46
348,52
349,60
350,41
351,44
352,34
353,42
354,34
355,40
356,40
357,43
358,44
359,51
360,36
361,33
362,52
363,12
364,37
365,43
366,44
367,49
368,26
369,6
370,47
371,45
372,42
373,44
374,40
375,4
376,40
377,43
378,10
379,46
380,18
381,43
382,42
383,10
384,43
385,40
386,48
387,43
388,32
389,7
390,16
391,43
392,42
393,47
394,45
395,42
396,40
397,50
398,42
399,15
400,10
401,39
402,43
403,38
404,41
405,21
406,43
407,10
408,38
409,44
410,76
411,25
412,50
413,47
414,50
415,56
416,76
417,43
418,44
419,45
420,35
421,45
422,11
423,37
424,44
425,40
426,44
427,41
428,46
429,40
430,46
431,45
432,43
433,47
434,43
435,44
436,41
437,45
438,47
439,7
440,44
441,36
442,32
443,51
444,42
445,50
446,47
447,11
448,40
449,34
450,47
451,55
452,44
453,42
454,39
455,43
456,46
457,48
458,51
459,43
460,10
461,42
462,26
463,11
464,41
465,51
466,40
467,110
468,25
469,44
470,33
471,40
472,36
473,26
474,43
475,50
476,45
477,42
478,34
479,27
480,25
481,35
482,49
483,30
484,10
485,15
486,3
487,31
488,54
489,43
490,41
491,34
492,12
493,45
494,46
495,40
496,47
497,34
498,43
499,10
500,48
501,32
502,39
503,46
504,33
505,36
506,44
507,29
508,39
509,41
510,42
511,43
512,44
513,10
514,42
515,45
516,46
517,40
518,37
519,39
520,42
521,25
522,58
523,16
524,44
525,28
526,41
527,12
528,43
529,48
530,49
531,11
532,24
533,45
534,48
535,43
536,14
537,19
538,44
539,43
540,45
541,24
542,48
543,27
544,27
545,10
546,92
547,17
548,45
549,40
550,51
551,52
552,9
553,37
554,46
555,38
556,43
557,26
558,36
559,44
560,34
561,42
562,46
563,9
564,37
565,33
566,47
567,35
568,39
569,36
570,37
571,46
572,60
573,28
574,37
575,37
576,37
577,41
578,40
579,26
580,41
581,43
582,45
583,19
584,45
585,41
586,25
587,13
588,44
589,60
590,46
591,39
592,9
593,46
594,9
595,47
596,47
597,44
598,3
599,43
600,47
601,16
602,28
603,40
604,42
605,40
606,43
607,46
608,33
609,22
610,43
611,43
612,48
613,43
614,46
615,50
616,38
617,40
618,41
619,51
620,38
621,38
622,31
623,39
624,20
625,25
626,42
627,25
628,39
629,50
630,40
631,42
632,38
633,10
634,44
635,13
636,44
637,43
638,47
639,8
640,40
641,46
642,18
643,8
644,32
645,7
646,44
647,7
648,35
649,40
650,40
651,57
652,38
653,16
654,38
655,36
656,35
657,40
658,37
659,32
660,11
661,45
662,44
663,44
664,7
665,43
666,36
667,44
668,46
669,10
670,46
671,20
672,44
673,43
674,47
675,22
676,45
677,36
678,42
679,40
680,47
681,39
682,185
683,47
684,44
685,9
686,42
687,51
688,43
689,11
690,41
691,35
692,52
693,47
694,40
695,17
696,39
697,49
698,43
699,44
700,44
701,46
702,41
703,41
704,11
705,43
706,11
707,45
708,21
709,5
710,47
711,44
712,31
713,12
714,11
715,46
716,47
717,46
718,43
719,46
720,45
721,44
722,14
723,42
724,44
725,36
726,45
727,58
728,56
729,46
730,31
731,42
732,40
733,37
734,47
735,37
736,46
737,36
738,43
739,43
740,39
741,47
742,27
743,23
744,42
745,41
746,43
747,10
748,36
749,49
750,43
751,41
752,65
753,41
754,51
755,48
756,2
757,45
758,50
759,27
760,46
761,42
762,10
763,51
764,46
765,48
766,43
767,31
768,42
769,9
770,51
771,35
772,7
773,45
774,53
775,47
776,45
777,47
778,45
779,44
780,42
781,44
782,51
783,40
784,16
785,47
786,48
787,59
788,44
789,37
790,45
791,41
792,11
793,63
794,45
795,41
796,46
797,47
798,38
799,31
800,39
801,49
802,49
803,35
804,50
805,37
806,42
807,17
808,44
809,49
810,52
811,39
812,12
813,10
814,46
815,36
816,41
817,34
818,43
819,36
820,31
821,16
822,42
823,40
824,12
825,42
826,33
827,34
828,37
829,37
830,34
831,43
832,34
833,43
834,44
835,34
836,48
837,46
838,42
839,21
840,36
841,46
842,19
843,47
844,5
845,9
846,31
847,42
848,24
849,43
850,48
851,27
852,45
853,31
854,61
855,44
856,33
857,51
858,31
859,23
860,42
861,16
862,44
863,42
864,46
865,40
866,46
867,44
868,44
869,42
870,49
871,45
872,49
873,36
874,19
875,38
876,48
877,7
878,41
879,52
880,43
881,36
882,50
883,44
884,43
885,44
886,45
887,39
888,21
889,46
890,13
891,22
892,46
893,8
894,42
895,44
896,9
897,49
898,42
899,42
900,46
901,40
902,34
903,44
904,18
905,43
906,60
907,45
908,51
909,41
910,20
911,47
912,41
913,21
914,48
915,34
916,10
917,38
918,43
919,34
920,50
921,17
922,59
923,48
924,9
925,10
926,10
927,18
928,4
929,38
930,46
931,11
932,36
933,18
934,84
935,47
936,28
937,3
938,32
939,43
940,41
941,42
942,44
943,42
944,45
945,28
946,32
947,47
948,49
949,42
950,45
951,31
952,44
953,50
954,38
955,42
956,49
957,51
958,46
959,43
960,41
961,48
962,9
963,40
964,26
965,43
966,26
967,4
968,37
969,46
970,22
971,37
972,50
973,7
974,10
975,41
976,38
977,47
978,52
979,27
980,45
981,51
982,50
983,19
984,44
985,16
986,30
987,45
988,43
989,43
990,32
991,58
992,50
993,42
994,38
995,46
996,44
997,19
998,39
999,46
1000,41
1001,44
1002,43
1003,34
1004,47
1005,47
1006,39
1007,10
1008,44
1009,50
1010,55
1011,43
1012,14
1013,34
1014,44
1015,41
1016,17
1017,44
1018,43
1019,38
1020,44
1021,42
1022,33
1023,33
1024,44
1025,44
1026,46
1027,10
1028,33
1029,45
1030,41
1031,40
1032,9
1033,47
1034,33
1035,41
1036,34
1037,49
1038,44
1039,10
1040,44
1041,35
1042,31
1043,43
1044,9
1045,47
1046,24
1047,41
1048,46
1049,49
1050,50
1051,38
1052,39
