,binding_width
1,30
2,22
3,14
4,33
5,28
6,49
7,32
8,5
9,22
10,27
11,38
12,30
13,34
14,34
15,23
16,32
17,47
18,10
19,24
20,13
21,27
22,48
23,32
24,19
25,47
26,39
27,22
28,28
29,34
30,26
31,49
32,35
33,31
34,38
35,28
36,36
37,50
38,22
39,13
40,5
41,26
42,16
43,22
44,31
45,32
46,36
47,19
48,15
49,21
50,25
51,27
52,7
53,8
54,31
55,28
56,26
57,18
58,39
59,34
60,18
61,15
62,29
63,14
64,32
65,50
66,49
67,48
68,32
69,26
70,13
71,20
72,25
73,25
74,33
75,22
76,32
77,23
78,8
79,50
80,13
81,31
82,31
83,27
84,32
85,22
86,26
87,38
88,28
89,22
90,31
91,29
92,44
93,32
94,31
95,15
96,30
97,30
98,14
99,21
100,41
101,24
102,28
103,34
104,47
105,13
106,29
107,27
108,22
109,27
110,3
111,43
112,28
113,32
114,17
115,29
116,35
117,29
118,34
119,27
120,36
121,33
122,33
123,26
124,8
125,14
126,29
127,33
128,26
129,28
130,25
131,25
132,32
133,30
134,9
135,34
136,26
137,30
138,32
139,30
140,14
141,29
142,26
143,9
144,27
145,26
146,31
147,31
148,32
149,31
150,28
151,12
152,29
153,27
154,33
155,44
156,33
157,25
158,29
159,29
160,32
161,30
162,31
163,39
164,19
165,25
166,38
167,37
168,35
169,40
170,37
171,43
172,31
173,28
174,38
175,26
176,38
177,12
178,28
179,8
180,22
181,33
182,48
183,24
184,24
185,42
186,29
187,29
188,31
189,17
190,28
191,40
192,33
193,29
194,31
195,14
196,25
197,13
198,15
199,37
200,27
201,28
202,9
203,34
204,34
205,28
206,39
207,28
208,19
209,37
210,12
211,27
212,26
213,32
214,27
215,40
216,21
217,40
218,34
219,23
220,27
221,5
222,20
223,36
224,8
225,26
226,39
227,24
228,33
229,31
230,31
231,34
232,50
233,35
234,35
235,32
236,20
237,27
238,27
239,30
240,30
241,30
242,35
243,29
244,27
245,29
246,31
247,31
248,9
249,23
250,21
251,27
252,25
253,22
254,32
