,binding_width
1,28
2,26
3,14
4,31
5,7
6,24
7,32
8,36
9,52
10,30
11,8
12,33
13,13
14,22
15,31
16,34
17,28
18,34
19,26
20,32
21,14
22,9
23,30
24,36
25,29
26,25
27,47
28,11
29,28
30,30
31,30
32,43
33,23
34,25
35,34
36,31
37,34
38,29
39,28
40,37
41,34
42,39
43,23
44,27
45,31
46,45
47,41
48,24
49,47
50,9
51,39
52,30
53,23
54,33
55,32
56,35
57,22
58,29
59,29
60,34
61,47
62,14
63,16
64,26
65,29
66,14
67,30
68,19
69,3
70,28
71,29
72,42
73,30
74,29
75,28
76,12
77,48
78,30
79,35
80,32
81,33
82,29
83,26
84,32
85,23
86,38
87,31
88,34
89,23
90,29
91,39
92,11
93,26
94,26
95,35
96,46
97,24
98,31
99,33
100,32
101,27
102,22
103,35
104,19
105,28
106,6
107,33
108,35
109,23
110,33
111,28
112,34
113,38
114,32
115,31
116,31
117,34
118,34
119,28
120,21
121,46
122,43
123,33
124,21
125,31
126,32
127,28
128,33
129,37
130,27
131,28
132,14
133,36
134,29
135,28
136,29
137,16
138,33
139,26
140,30
141,36
142,35
143,31
144,36
145,37
146,31
147,33
148,16
149,29
150,28
151,25
152,33
153,34
154,30
155,32
156,25
157,24
158,47
159,30
160,23
161,30
162,31
163,30
164,24
165,28
166,32
167,24
168,45
169,13
170,40
171,32
172,23
173,29
174,29
175,52
176,29
177,31
178,26
179,26
180,37
181,37
182,47
183,24
184,32
185,15
186,15
187,30
188,31
189,40
190,35
191,40
192,23
193,29
194,24
195,32
196,33
197,45
198,38
199,29
200,27
201,26
202,46
203,32
204,27
205,32
206,8
207,32
208,30
209,39
210,30
211,28
212,32
213,34
214,18
215,29
216,40
217,31
218,34
219,38
220,48
221,42
222,46
223,29
224,29
225,29
226,24
227,12
228,40
229,8
230,27
231,30
232,33
233,44
234,25
235,43
236,29
237,41
238,24
239,32
240,33
241,25
242,37
243,31
244,24
245,14
246,41
247,30
248,29
249,42
250,40
251,15
252,36
253,35
254,33
255,24
256,26
257,31
258,23
259,26
260,23
261,47
262,36
263,9
264,31
265,23
266,29
267,37
268,13
269,14
270,34
271,30
272,21
273,34
274,24
275,34
276,33
277,39
278,33
279,36
280,24
281,34
282,30
283,28
284,31
285,28
286,37
287,32
288,41
289,15
290,26
291,40
292,23
293,31
294,30
295,27
296,29
297,35
298,34
299,13
300,23
301,45
302,46
303,44
304,37
305,14
306,13
307,34
308,30
309,37
310,33
311,30
312,26
313,34
314,32
315,32
316,26
317,31
318,31
319,13
320,30
321,31
322,32
323,30
324,26
325,38
326,30
327,29
328,32
329,34
330,27
331,32
332,28
333,29
334,35
335,23
336,28
337,22
338,32
339,28
340,47
341,13
342,30
343,32
344,22
345,22
346,20
347,14
348,41
349,33
350,31
351,35
352,29
353,19
354,21
355,30
356,31
357,32
358,34
359,28
360,30
361,4
362,37
363,32
364,26
365,26
366,29
367,28
368,38
369,26
370,33
371,30
372,30
373,9
374,28
375,29
376,38
377,40
378,31
379,29
380,30
381,26
382,42
383,14
384,33
385,32
386,28
387,31
388,29
389,26
390,36
391,21
392,31
393,43
394,27
395,47
396,31
397,11
398,42
399,25
400,34
401,25
402,39
403,33
404,30
405,22
406,34
407,39
408,44
409,26
410,15
411,14
412,31
413,41
414,26
415,22
416,30
417,33
418,13
419,29
420,32
421,35
422,37
423,15
424,38
425,23
426,40
427,31
428,32
429,28
430,29
431,27
432,37
433,27
434,30
435,28
436,13
437,15
438,31
439,31
440,25
441,37
442,29
443,35
444,32
445,35
446,26
447,24
448,50
449,32
450,27
451,3
452,32
453,48
454,38
455,29
456,28
457,36
458,23
459,30
460,38
461,5
462,33
463,13
464,26
465,28
466,32
467,45
468,23
469,31
470,35
471,27
472,29
473,31
474,38
475,31
476,29
477,31
478,33
479,8
480,31
481,27
482,30
483,17
484,37
485,28
486,25
487,43
488,29
489,13
490,14
491,30
492,27
493,38
494,31
495,35
496,28
497,26
498,33
499,30
500,28
501,35
502,19
503,32
504,17
505,29
506,29
507,17
508,37
509,31
510,33
511,37
512,32
513,29
514,26
515,13
516,31
517,32
518,28
519,40
520,33
521,28
522,28
523,16
524,29
525,10
526,25
527,36
528,28
529,26
530,32
531,12
532,31
533,40
534,30
535,32
536,23
537,16
538,32
539,32
540,30
541,30
542,35
543,14
544,24
545,30
546,25
547,18
548,32
549,30
550,31
551,10
552,34
553,3
554,32
555,47
556,27
557,39
558,31
559,28
560,30
561,26
562,27
563,27
564,28
565,32
566,11
567,38
568,39
569,28
570,28
571,30
572,33
573,39
574,29
575,33
576,24
577,9
578,33
579,30
580,33
581,29
582,28
583,35
584,54
585,35
586,21
587,32
588,40
589,32
590,26
591,8
592,5
593,34
594,23
595,28
596,35
597,30
598,46
599,39
600,9
601,45
602,50
603,29
604,39
605,25
606,28
607,27
608,29
609,27
610,29
611,28
612,25
613,26
614,25
615,29
616,36
617,32
618,32
619,49
620,36
621,33
622,32
623,33
624,27
625,29
626,43
627,31
628,30
629,31
630,27
631,31
632,29
633,37
634,25
635,25
636,44
637,37
638,32
639,26
640,28
641,9
642,49
643,33
644,40
645,28
646,33
647,9
648,28
649,24
650,28
651,36
652,16
653,31
654,47
655,38
656,32
657,38
658,30
659,35
660,15
661,29
662,27
663,10
664,47
665,27
666,20
667,30
668,13
669,49
670,34
671,37
672,26
673,26
674,26
675,36
676,32
677,31
678,27
679,31
680,28
681,26
682,35
