,binding_width
1,32
2,28
3,25
4,32
5,27
6,35
7,35
8,35
9,23
10,32
11,44
12,26
13,23
14,37
15,27
16,34
17,49
18,39
19,37
20,30
21,28
22,29
23,27
24,11
25,31
26,27
27,28
28,28
29,28
30,36
31,27
32,34
33,28
34,24
35,27
36,23
37,26
38,36
39,11
40,31
41,29
42,27
43,34
44,33
45,32
46,27
47,45
48,38
49,31
50,42
51,25
52,26
53,26
54,13
55,42
56,28
57,31
58,28
59,38
60,26
61,29
62,30
63,27
64,30
65,21
66,28
67,18
68,32
69,28
70,30
71,36
72,28
73,28
74,21
75,26
76,35
77,30
78,13
79,33
80,25
81,14
82,16
83,18
84,31
85,28
86,31
87,49
88,28
89,28
90,27
91,23
92,31
93,17
94,16
95,24
96,47
97,23
98,11
99,35
100,24
101,33
102,29
103,26
104,35
105,33
106,32
107,11
108,36
109,15
110,38
111,49
112,36
113,28
114,23
115,28
116,30
117,11
118,18
119,40
120,28
121,31
122,35
123,33
124,33
125,28
126,23
127,28
128,35
129,16
130,31
131,33
132,34
133,22
134,28
135,16
136,26
137,28
138,19
139,33
140,30
141,24
142,33
143,27
144,15
145,15
146,31
147,24
148,28
149,30
150,34
151,25
152,36
153,33
154,25
155,27
156,12
157,23
158,27
159,10
160,38
161,29
162,27
163,27
164,33
165,32
166,40
167,28
168,16
169,30
170,33
171,29
172,17
173,31
174,27
175,23
176,22
177,30
178,35
179,16
180,31
181,21
182,27
183,10
184,28
185,48
186,27
187,5
188,45
189,29
190,29
191,33
192,15
193,26
194,19
195,24
196,25
197,11
198,27
199,28
200,34
201,28
202,33
203,32
204,27
205,32
206,22
207,31
208,21
209,30
210,28
211,26
212,29
213,28
214,28
215,36
216,46
217,45
218,18
219,36
220,23
221,34
222,30
223,13
224,41
225,29
226,34
227,27
228,37
229,30
230,34
231,14
232,16
233,26
234,26
235,36
236,34
237,29
238,29
239,28
240,35
241,24
242,30
243,37
244,28
245,3
246,28
247,29
248,36
249,38
250,22
251,27
252,29
253,25
254,24
255,50
256,28
257,19
258,42
259,38
260,33
261,26
262,29
263,37
264,24
265,16
266,27
267,31
268,28
269,34
270,23
271,28
272,27
273,29
274,67
275,30
276,4
277,37
278,25
279,24
280,32
281,32
282,26
283,26
284,11
285,45
286,11
287,8
288,16
289,32
290,33
291,36
292,26
293,24
294,29
295,46
296,26
297,19
298,24
299,43
300,29
301,12
302,30
303,28
304,34
305,24
306,31
307,27
308,25
309,31
310,40
311,29
312,28
313,31
314,46
315,6
316,24
317,39
318,42
319,30
320,29
321,27
322,17
323,21
324,25
325,31
326,38
327,29
328,31
329,26
330,30
331,19
332,18
333,43
334,30
335,33
336,26
337,35
338,5
339,28
340,36
341,31
342,37
343,24
344,25
345,35
346,30
347,5
348,23
349,7
350,29
351,50
352,29
353,13
354,30
355,26
356,37
357,35
358,26
359,31
360,26
361,29
362,30
363,33
364,36
365,30
366,33
367,36
368,33
369,27
370,35
371,34
372,46
373,23
374,30
375,30
376,29
377,30
378,27
379,17
380,30
381,33
382,39
383,42
384,34
385,13
386,31
387,27
388,46
389,24
390,43
391,38
392,29
393,32
394,25
395,25
396,34
397,27
398,29
399,24
400,27
401,40
402,50
403,30
404,29
405,40
406,30
407,28
408,27
409,30
410,33
411,26
412,34
413,22
414,23
415,16
416,25
417,35
418,35
419,15
420,45
421,36
422,34
423,50
424,24
425,32
426,38
427,30
428,25
429,32
430,33
431,29
432,27
433,10
434,27
435,34
436,29
437,28
438,25
439,29
440,14
441,37
442,34
443,37
444,22
445,29
446,13
447,39
448,27
449,35
450,41
451,30
452,32
453,30
454,27
455,26
456,30
457,30
458,28
459,15
460,26
461,11
462,20
463,31
464,23
465,27
466,26
467,28
468,35
469,33
470,48
471,49
472,28
473,34
474,27
475,28
476,20
477,25
478,37
479,31
480,16
481,9
482,33
483,11
484,28
485,29
486,28
487,28
488,29
489,26
490,26
491,28
492,29
493,33
494,36
495,44
496,28
497,34
498,33
499,43
500,27
501,36
502,32
503,31
504,26
505,22
506,24
507,27
508,15
509,14
510,29
511,25
512,30
513,34
514,28
515,28
516,30
517,27
518,29
519,33
520,19
521,37
522,33
523,34
524,23
525,31
526,32
527,34
528,23
529,25
530,5
531,32
532,28
533,39
534,3
535,27
536,25
537,35
538,34
539,25
540,41
541,41
542,37
543,25
544,34
545,30
546,26
547,27
548,33
549,13
550,34
551,24
552,27
553,25
554,31
555,49
556,32
557,31
558,32
559,29
560,27
561,21
562,24
563,36
564,23
565,31
566,38
567,30
568,31
569,35
570,30
571,13
572,34
573,28
574,30
575,28
576,32
577,22
578,36
579,30
580,32
581,18
582,34
583,34
584,29
585,46
586,32
587,32
588,33
589,28
590,37
591,34
592,32
593,37
594,27
595,31
596,29
597,34
598,47
599,33
600,27
601,35
602,25
603,26
604,9
605,38
606,27
607,27
608,38
609,32
610,40
611,36
612,37
613,42
614,31
615,38
616,28
617,36
618,44
619,38
620,29
621,23
622,33
623,36
624,29
625,36
626,39
627,32
628,28
629,29
630,27
631,32
632,43
633,25
634,39
635,34
636,40
637,25
638,29
639,36
640,30
641,28
642,28
643,27
644,34
645,32
646,35
647,28
648,30
649,33
650,30
651,33
652,32
653,44
654,30
655,31
656,34
657,25
658,30
659,30
660,31
661,26
662,27
663,28
664,27
665,31
666,33
667,11
668,32
669,35
670,27
671,33
672,35
673,35
674,27
675,33
676,28
677,29
678,31
679,26
680,36
681,26
682,23
683,26
684,42
685,29
686,51
687,27
688,30
689,29
690,26
691,50
692,34
693,29
694,17
