,binding_width
1,32
2,33
3,34
4,34
5,34
6,36
7,33
8,34
9,34
10,35
11,34
12,34
13,34
14,34
15,34
16,37
17,34
18,33
19,39
20,34
21,34
22,21
23,44
24,37
25,33
26,33
27,34
28,36
29,34
30,30
31,39
32,34
33,32
34,34
35,32
36,31
37,32
38,30
39,32
40,34
41,32
42,34
43,34
44,34
45,34
46,30
47,27
48,32
49,33
50,33
51,34
52,35
53,31
54,34
55,34
56,6
57,34
58,34
59,35
60,34
61,34
62,34
63,33
64,36
65,34
66,13
67,34
68,34
69,32
70,33
71,35
72,33
73,30
74,31
75,32
76,35
77,33
78,34
79,34
80,30
81,33
82,34
83,37
84,30
85,45
86,33
87,35
88,34
89,34
90,33
91,34
92,33
93,34
94,36
95,34
96,33
97,33
98,34
99,34
100,33
101,18
102,34
103,35
104,33
105,37
106,34
107,32
108,34
109,34
110,34
111,3
112,33
113,32
114,38
115,33
116,34
117,34
118,35
119,34
120,33
121,33
122,34
123,34
124,34
125,35
126,35
127,33
128,35
129,42
130,34
131,34
132,34
133,32
134,31
135,13
136,33
137,33
138,35
139,33
140,30
141,32
142,34
143,35
144,34
145,33
146,33
147,30
148,33
149,35
150,11
151,34
152,35
153,33
154,34
155,33
156,34
157,30
158,33
159,34
160,34
161,34
162,30
163,35
164,34
165,34
166,32
167,46
168,35
169,33
170,35
171,33
172,30
173,34
174,34
175,34
176,34
177,32
178,35
179,34
180,33
181,45
182,34
183,35
184,33
185,32
186,34
187,34
188,34
189,34
190,36
191,34
192,16
193,33
194,34
195,31
196,33
197,34
198,34
199,33
200,34
201,9
202,33
203,34
204,8
205,34
206,32
207,34
208,35
209,33
210,33
211,13
212,34
213,35
214,33
215,33
216,34
217,33
218,34
219,33
220,31
221,32
222,33
223,33
224,34
225,34
226,34
227,34
228,34
229,32
230,34
231,30
232,35
233,34
234,34
235,34
236,30
237,19
238,34
239,35
240,33
241,34
242,34
243,8
244,35
245,34
246,34
247,36
248,35
249,35
250,34
251,34
252,38
253,33
254,32
255,31
256,34
257,32
258,31
259,34
260,34
261,35
262,34
263,34
264,33
265,30
266,34
267,34
268,34
269,33
270,35
271,33
272,34
273,9
274,33
275,34
276,34
277,34
278,31
279,33
280,34
281,34
282,36
283,30
284,13
285,33
286,35
287,36
288,3
289,34
290,31
291,33
292,34
293,35
294,33
295,34
296,34
297,35
298,34
299,35
300,35
301,34
302,34
303,34
304,35
305,35
306,33
307,32
308,36
309,33
310,37
311,35
312,34
313,33
314,36
315,33
316,33
317,34
318,34
319,30
320,31
321,35
322,34
323,32
324,34
325,74
326,33
327,34
328,35
329,34
330,34
331,34
332,33
333,34
334,34
335,22
336,33
337,33
338,31
339,34
340,33
341,32
342,35
343,37
344,34
345,30
346,33
347,34
348,34
349,96
350,31
351,32
352,34
353,33
354,33
355,35
356,33
357,33
358,35
359,34
360,34
361,40
362,33
363,33
364,34
365,33
366,34
367,34
368,34
369,37
370,33
371,14
372,34
373,35
374,35
375,34
376,30
377,34
378,33
379,32
380,32
381,34
382,34
383,34
384,34
385,30
386,8
387,34
388,34
389,33
390,34
391,33
392,34
393,34
394,34
395,37
396,34
397,36
398,9
399,34
400,36
401,34
402,35
403,34
404,33
405,35
406,33
407,34
408,33
409,34
410,33
411,31
412,34
413,35
414,32
415,32
416,34
417,8
418,34
419,35
420,33
421,35
422,33
423,34
424,33
425,36
426,34
427,5
428,33
429,34
430,34
431,34
432,32
433,34
434,34
435,34
436,33
437,31
438,31
439,33
440,33
441,33
442,30
443,33
444,34
445,33
446,32
447,30
448,34
449,34
450,34
451,31
452,34
453,34
454,33
455,32
456,34
457,35
458,36
459,34
460,31
461,33
462,34
463,35
464,33
465,32
466,31
467,33
468,33
469,3
470,35
471,34
472,33
473,34
474,33
475,34
476,30
477,33
478,32
479,33
480,33
481,33
482,34
483,34
484,39
485,34
486,35
487,38
488,34
489,32
490,34
491,34
492,34
493,6
494,30
495,34
496,31
497,31
498,30
499,34
500,37
501,33
502,34
503,33
504,34
505,34
506,33
507,32
508,33
509,32
510,34
511,33
512,34
513,34
514,34
515,34
516,34
517,34
518,34
519,34
520,30
521,33
522,34
523,34
524,33
525,34
526,34
527,34
528,34
529,34
530,35
531,27
532,33
533,34
534,33
535,33
536,35
537,33
538,35
539,32
540,33
541,33
542,33
543,33
544,34
545,33
546,34
547,34
548,34
549,34
550,36
551,33
552,34
553,33
554,34
555,32
556,50
557,33
558,48
559,33
560,33
561,33
562,34
563,34
564,34
565,34
566,34
567,35
568,33
569,33
570,34
571,35
572,34
573,34
574,34
575,47
576,19
577,34
578,32
579,31
580,33
581,33
582,3
583,33
584,34
585,33
586,34
587,27
588,34
589,34
590,34
591,33
592,34
593,31
594,30
595,32
596,31
597,34
598,38
599,41
600,13
601,33
602,34
603,8
604,34
605,33
606,35
607,34
608,35
609,30
610,33
611,33
612,34
613,30
614,34
615,35
616,35
617,34
618,35
619,33
620,34
621,30
622,15
623,34
624,36
625,33
626,34
627,15
628,32
629,33
630,30
631,34
632,34
633,34
634,34
635,34
636,33
637,34
638,34
639,33
640,34
641,35
642,33
643,34
644,33
645,34
646,33
647,41
648,31
649,32
650,33
651,35
652,34
653,35
654,33
655,33
656,34
657,35
658,34
659,33
660,30
661,34
662,34
663,33
664,34
665,31
666,30
667,33
668,36
669,39
670,33
671,32
672,32
673,32
674,29
675,33
676,34
677,34
678,33
679,35
680,34
681,34
682,32
683,34
684,34
685,34
686,33
687,31
688,34
689,34
690,33
691,31
692,35
693,30
694,33
695,30
696,34
697,34
698,34
699,29
700,34
701,32
702,34
703,33
704,34
705,33
706,34
707,34
708,31
709,33
710,35
711,34
712,34
713,34
714,34
715,16
716,34
717,34
718,34
719,36
720,34
721,34
722,33
723,30
724,33
725,33
726,34
727,36
728,33
729,30
730,34
731,34
732,34
733,34
734,34
735,34
736,34
737,36
738,34
739,35
740,33
741,35
742,26
743,33
744,32
745,33
746,34
747,33
748,35
749,35
750,33
751,34
752,33
753,35
754,34
755,33
756,34
757,33
758,34
759,33
760,35
