locus_tag,start,stop,strand,gene_name,start_codon_pos
PA0001,483,2027,+,dnaA,483
PA0002,2056,3159,+,dnaN,2056
PA0003,3169,4278,+,recF,3169
PA0004,4275,6695,+,gyrB,4275
PA0005,7018,7791,-,lptA,7791
PA0006,7803,8339,-,PA0006,8339
PA0007,8671,10377,+,PA0007,8671
PA0008,10434,12488,-,glyS,12488
PA0009,12488,13435,-,glyQ,13435
PA0010,13540,14091,+,tag,13540
PA0011,14235,15122,+,PA0011,14235
PA0012,15207,15473,+,PA0012,15207
PA0013,15620,16273,+,PA0013,15620
PA0014,16335,16607,-,PA0014,16607
PA0015,16900,17217,-,PA0015,17217
PA0016,17366,18739,-,trkA,18739
PA0017,18767,20071,-,PA0017,20071
PA0018,20068,21012,-,fmt,21012
PA0019,21067,21573,-,def,21573
PA0020,21712,22737,+,PA0020,21712
PA0021,22872,23960,+,PA0021,22872
PA0022,24001,24558,+,PA0022,24001
PA0023,24568,25545,-,qor,25545
PA0024,25736,26653,+,hemF,25736
PA0025,26711,27535,+,aroE,26711
PA0026,27646,28632,+,plcB,27646
PA0027,28613,29899,+,PA0027,28613
PA0028,29896,30498,+,PA0028,29896
PA0029,30502,32055,-,PA0029,32055
PA0030,32060,32983,-,PA0030,32983
PA0031,33000,34511,-,betC,34511
PA0032,34624,35538,+,PA0032,34624
PA0032a,35549,35926,+,PA0032a,35549
PA0033,35905,36270,-,PA0033,36270
PA0034,36278,36901,-,PA0034,36901
PA0035,37087,37893,-,trpA,37893
PA0036,37890,39098,-,trpB,39098
PA0037,39202,40089,+,trpI,39202
PA0038,40190,40405,+,PA0038,40190
PA0039,40589,40816,+,PA0039,40589
PA0040,41113,42801,+,PA0040,41113
PA0041,42914,53521,+,PA0041,42914
PA0041a,54121,54822,+,PA0041a,54121
PA0042,56546,56941,+,PA0042,56546
PA0043,57212,58594,-,PA0043,58594
PA0044,58786,60159,+,exoT,58786
PA0045,60656,61342,+,PA0045,60656
PA0046,61373,61726,+,PA0046,61373
PA0047,61879,62388,+,PA0047,61879
PA0048,62403,62786,-,PA0048,62786
PA0049,63068,64729,-,PA0049,64729
PA0050,65339,65479,+,PA0050,65339
PA0051,66303,68135,+,phzH,66303
PA0052,68188,68616,-,PA0052,68616
PA0054,69543,70091,-,PA0054,70091
PA0055,70130,70636,-,PA0055,70636
PA0056,70702,71622,-,PA0056,71622
PA0057,71730,72617,+,PA0057,71730
PA0058,72680,73384,+,PA0058,72680
PA0059,73468,73923,+,osmC,73468
PA0060,74034,74267,+,PA0060,74034
PA0061,74279,74716,-,PA0061,74716
PA0062,74773,75189,-,PA0062,75189
PA0063,75281,76408,+,PA0063,75281
PA0064,76416,77399,-,PA0064,77399
PA0065,77432,78097,-,PA0065,78097
PA0066,78090,78632,-,PA0066,78632
PA0067,78710,80755,+,prlC,78710
PA0068,80752,81027,+,PA0068,80752
PA0069,81116,82174,+,PA0069,81116
PA0070,82404,83318,-,PA0070,83318
PA0071,83380,85092,-,PA0071,85092
PA0072,85085,86284,-,PA0072,86284
PA0073,86284,87003,-,PA0073,87003
PA0074,87000,90098,-,ppkA,90098
PA0075,90106,90834,-,pppA,90834
PA0076,90844,91524,-,PA0076,91524
PA0077,91521,94826,-,icmF1,94826
PA0078,95048,96397,-,PA0078,96397
PA0079,96404,97738,-,PA0079,97738
PA0080,97754,98218,-,PA0080,98218
PA0081,98263,99756,-,fha1,99756
PA0082,100124,101158,+,PA0082,100124
PA0083,101247,101765,+,PA0083,101247
PA0084,101778,103274,+,PA0084,101778
PA0085,103350,103838,+,hcp1,103350
PA0086,104006,104851,+,PA0086,104006
