,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,gene,normalized_dist,binding_peak_center
0,CodY-1,cody + M9,25225,25265,12.3,USA300HOU_RS14875,USA300HOU_RS14875,USA300HOU_RS14875,-0.2991202346041056,25245.0
1,CodY-2,cody + M9,34096,34142,1.2,USA300HOU_RS00130,USA300HOU_RS00130,USA300HOU_RS00130,0.8482328482328483,34119.0
2,CodY-3,cody + M9,43940,43978,1.34,USA300HOU_RS00180,USA300HOU_RS00180,USA300HOU_RS00180,1.2755905511811023,43959.0
3,CodY-4,cody + M9,45184,45215,2.51,USA300HOU_RS00190,USA300HOU_RS00190,USA300HOU_RS00190,0.484375,45199.5
4,CodY-5,cody + M9,52903,52940,0.95,USA300HOU_RS00220,USA300HOU_RS00220,USA300HOU_RS00220,-0.09416890080428954,52921.5
5,CodY-6,cody + M9,54887,54926,1.13,USA300HOU_RS00230,USA300HOU_RS00230,USA300HOU_RS00230,1.0132575757575757,54906.5
6,CodY-7,cody + M9,54908,54939,0.95,USA300HOU_RS00230,USA300HOU_RS00230,USA300HOU_RS00230,1.000378787878788,54923.5
7,CodY-8,cody + M9,56433,56469,1.47,USA300HOU_RS00235,USA300HOU_RS00235,USA300HOU_RS00235,0.04825737265415549,56451.0
8,CodY-9,cody + M9,64797,64832,2.07,USA300HOU_RS00275,USA300HOU_RS00275,USA300HOU_RS00275,0.6860053144375554,64814.5
9,CodY-10,cody + M9,122269,122306,1.49,USA300HOU_RS00555,USA300HOU_RS00555,USA300HOU_RS00555,0.23607203151378728,122287.5
10,CodY-11,cody + M9,154906,154944,1.96,USA300HOU_RS00705,USA300HOU_RS00705,USA300HOU_RS00705,-0.18844566712517194,154925.0
11,CodY-12,cody + M9,154961,154980,1.35,USA300HOU_RS00705,USA300HOU_RS00705,USA300HOU_RS00705,-0.12585969738651995,154970.5
12,CodY-13,cody + M9,176174,176192,1.21,USA300HOU_RS00810,USA300HOU_RS00810,USA300HOU_RS00810,0.9869451697127938,176183.0
13,CodY-14,cody + M9,177002,177044,1.01,USA300HOU_RS00810,USA300HOU_RS00810,USA300HOU_RS00810,2.08355091383812,177023.0
14,CodY-15,cody + M9,204655,204691,1.28,USA300HOU_RS00945,USA300HOU_RS00945,USA300HOU_RS00945,0.1482513585063397,204673.0
15,CodY-16,cody + M9,210619,210656,1.76,USA300HOU_RS00950,USA300HOU_RS00950,USA300HOU_RS00950,-0.24690402476780185,210637.5
16,CodY-17,cody + M9,253880,253911,1.55,USA300HOU_RS01120,USA300HOU_RS01120,USA300HOU_RS01120,1.1108247422680413,253895.5
17,CodY-18,cody + M9,257946,257984,1.25,USA300HOU_RS01135,USA300HOU_RS01135,USA300HOU_RS01135,-0.7802631578947369,257965.0
18,CodY-19,cody + M9,271356,271399,3.73,USA300HOU_RS01195,USA300HOU_RS01195,USA300HOU_RS01195,0.36566504639858594,271377.5
19,CodY-20,cody + M9,271518,271551,10.29,USA300HOU_RS01195,USA300HOU_RS01195,USA300HOU_RS01195,0.29628811312417147,271534.5
20,CodY-21,cody + M9,275508,275544,3.37,USA300HOU_RS01205,USA300HOU_RS01205,USA300HOU_RS01205,-0.20371599203715993,275526.0
21,CodY-22,cody + M9,275601,275634,3.95,USA300HOU_RS01205,USA300HOU_RS01205,USA300HOU_RS01205,-0.2644326476443265,275617.5
