,binding_width
1,219
2,212
3,183
4,214
5,170
6,285
7,193
8,190
9,173
10,239
11,218
12,176
13,384
14,273
15,201
16,156
17,152
18,277
19,202
20,161
21,170
22,930
23,241
24,219
25,259
26,205
27,171
28,173
29,225
30,151
31,163
32,162
33,326
34,198
35,182
36,205
37,233
38,164
39,218
40,179
41,164
42,245
43,314
44,218
45,151
46,252
47,162
48,231
49,174
50,226
51,195
52,185
53,777
54,165
55,170
56,246
57,151
58,243
59,194
60,196
61,271
62,202
63,237
64,183
65,265
66,177
67,151
68,188
69,203
70,253
71,207
72,217
73,156
74,155
75,196
76,159
77,166
78,310
79,213
80,250
81,193
82,260
83,342
84,247
85,258
86,215
87,275
88,264
89,295
90,211
91,367
92,178
93,265
94,200
95,229
96,201
97,319
98,181
99,281
100,252
101,362
102,166
103,155
104,453
105,151
106,152
107,181
108,204
109,168
110,201
111,327
112,160
113,190
114,194
115,257
116,257
117,198
118,184
119,239
120,194
121,252
122,299
123,163
124,181
125,193
126,168
127,254
128,186
129,151
130,205
131,196
132,186
133,238
134,318
135,255
136,187
137,189
138,302
139,173
140,157
141,190
142,186
143,217
144,162
145,174
146,156
147,215
148,162
149,275
150,152
151,173
152,177
153,154
154,161
155,151
156,155
157,175
158,169
159,216
