,binding_width
1,183
2,153
3,161
4,186
5,155
6,221
7,196
8,271
9,204
10,156
11,170
12,150
13,209
14,173
15,151
16,191
17,164
18,243
19,150
20,192
21,208
22,180
23,199
24,152
25,172
26,212
27,160
28,168
29,184
30,173
31,238
32,276
33,162
34,186
35,160
36,202
37,155
38,162
39,180
40,158
41,215
42,169
43,249
44,222
45,191
46,177
47,160
48,190
49,184
50,209
51,159
52,152
53,155
54,159
55,199
56,155
57,211
58,196
59,154
60,191
61,192
62,191
63,157
64,151
65,160
66,150
67,161
68,174
69,166
70,200
71,159
72,1049
