,binding_width
1,287.0
2,558.0
3,98.0
4,229.0
5,433.0
6,214.0
7,131.0
8,185.0
9,115.0
10,199.0
11,294.0
12,89.0
13,116.0
14,233.0
15,86.0
16,125.0
17,151.0
18,88.0
19,76.0
20,93.0
21,141.0
22,83.0
23,94.0
24,85.0
25,174.0
26,624.0
27,143.0
28,346.0
29,99.0
30,75.0
31,100.0
32,176.0
33,142.0
34,76.0
35,165.0
36,1229.0
37,254.0
38,210.0
39,270.0
40,191.0
41,652.0
42,175.0
43,329.0
44,1452.0
45,260.0
46,162.0
47,294.0
48,223.0
49,300.0
50,105.0
51,495.0
52,115.0
53,478.0
54,206.0
55,280.0
56,153.0
57,126.0
58,130.0
59,141.0
60,112.0
61,359.0
62,338.0
63,140.0
64,150.0
65,134.0
66,181.0
67,196.0
68,87.0
69,173.0
70,81.0
71,986.0
72,849.0
73,813.0
74,80.0
75,425.0
76,118.0
77,205.0
78,155.0
79,300.0
80,451.0
81,97.0
82,538.0
83,877.0
84,219.0
85,109.0
86,158.0
87,121.0
88,450.0
89,140.0
90,115.0
91,205.0
92,101.0
93,102.0
94,324.0
95,231.0
96,115.0
97,206.0
98,200.0
99,98.0
100,133.0
101,121.0
102,111.0
103,283.0
104,214.0
