,binding_width
1,75.0
2,154.0
3,92.0
4,134.0
5,85.0
6,427.0
7,171.0
8,75.0
9,75.0
10,107.0
11,78.0
12,201.0
13,87.0
14,140.0
15,87.0
16,83.0
17,87.0
18,107.0
19,101.0
20,87.0
21,174.0
22,182.0
23,94.0
24,100.0
25,215.0
26,124.0
27,210.0
28,92.0
29,156.0
30,77.0
31,79.0
32,105.0
33,85.0
34,93.0
35,139.0
36,117.0
37,118.0
38,115.0
39,168.0
40,148.0
41,103.0
42,144.0
43,110.0
44,117.0
45,121.0
46,80.0
47,192.0
48,349.0
49,77.0
50,162.0
51,163.0
52,308.0
53,125.0
54,90.0
55,85.0
56,347.0
57,82.0
58,164.0
59,81.0
60,794.0
61,218.0
62,382.0
63,99.0
64,233.0
