"regulator","regulator_id","gene_id","gene_name","Pputida","source"
"Zur","PP_0119","PP_0117","znuB","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_0118","znuC","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_0119","zur","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_0120","znuA","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_0506","PP_0506","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067, same operon with PP_0508"
"Zur","PP_0119","PP_0507","PP_0507","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067, same operon with PP_0508"
"Zur","PP_0119","PP_0508","PP_0508","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_1446","PP_1446","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_3320","PP_3320","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_3321","PP_3321","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_3322","hemBB","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_3323","PP_3323","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_3324","folEB","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_5359","PP_5359","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_5360","PP_5360","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_5361","PP_5361","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"Zur","PP_0119","PP_5362","PP_5362","TRUE","RegPrecise, http://regprecise.sbpdiscovery.org:8080/WebRegPrecise/regulon.jsp?regulon_id=16067"
"AlgR","PP_0185","PP_0005","trmE","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0010","dnaA","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0036","PP_0036","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0074","aroE","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0141","PP_0141","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0185","algR","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0186","hemC","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0215","PP_0215","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0216","PP_0216","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
"AlgR","PP_0185","PP_0229","betT-II","FALSE","P. Paeruginosa, ChipExo, doi:10.1038/s41467-019-10778-w"
