,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,YdcI-1,ydci + ph5,237,281,1.46,STM0001,STM0001,STM0001,STM0001,1.044776119402985,259.0
1,YdcI-2,ydci + ph5,298,341,1.29,STM0002,STM0002,STM0002,STM0002,-0.006696428571428571,319.5
2,YdcI-3,ydci + ph5,2125,2158,1.04,STM0002,STM0002,STM0002,STM0002,0.7327516233766234,2141.5
3,YdcI-4,ydci + ph5,3602,3640,1.12,STM0003,STM0003,STM0003,STM0003,0.8818474758324383,3621.0
4,YdcI-5,ydci + ph5,56552,56594,1.09,STM0046,STM0046,STM0046,STM0046,0.9587447108603667,56573.0
5,YdcI-6,ydci + ph5,56622,56659,1.05,STM0046,STM0046,STM0046,STM0046,0.9825458392101551,56640.5
6,YdcI-7,ydci + ph5,56830,56870,1.13,STM0047,STM0047,STM0047,STM0047,0.32270916334661354,56850.0
7,YdcI-8,ydci + ph5,56877,56916,1.07,STM0047,STM0047,STM0047,STM0047,0.4153386454183267,56896.5
8,YdcI-9,ydci + ph5,73905,73950,1.06,STM0064,STM0064,STM0064,STM0064,-0.10753341433778858,73927.5
9,YdcI-10,ydci + ph5,74061,74097,1.56,STM0064,STM0064,STM0064,STM0064,0.07654921020656136,74079.0
10,YdcI-11,ydci + ph5,75023,75064,1.01,STM0065,STM0065,STM0065,STM0065,-0.12464183381088825,75043.5
11,YdcI-12,ydci + ph5,76224,76273,1.16,STM0066,STM0066,STM0066,STM0066,0.32130434782608697,76248.5
12,YdcI-13,ydci + ph5,76269,76308,1.13,STM0066,STM0066,STM0066,STM0066,0.3560869565217391,76288.5
13,YdcI-14,ydci + ph5,80108,80150,1.27,STM0067,STM0067,STM0067,STM0067,0.9547847630845463,80129.0
14,YdcI-15,ydci + ph5,80216,80256,1.21,STM0067,STM0067,STM0067,STM0067,0.9879219572623104,80236.0
15,YdcI-16,ydci + ph5,80321,80362,1.11,STM0068,STM0068,STM0068,STM0068,-0.517632241813602,80341.5
16,YdcI-17,ydci + ph5,80449,80465,1.21,STM0068,STM0068,STM0068,STM0068,-0.22670025188916876,80457.0
17,YdcI-18,ydci + ph5,80584,80628,1.13,STM0068,STM0068,STM0068,STM0068,0.1486146095717884,80606.0
18,YdcI-19,ydci + ph5,133818,133864,1.49,STM0114,STM0114,STM0114,STM0114,0.8068181818181818,133841.0
19,YdcI-20,ydci + ph5,133888,133934,1.73,STM0114,STM0114,STM0114,STM0114,0.011363636363636364,133911.0
20,YdcI-21,ydci + ph5,133960,133997,1.26,STM0114,STM0114,STM0114,STM0114,-0.7556818181818182,133978.5
21,YdcI-22,ydci + ph5,134009,134050,1.2,STM0114,STM0114,STM0114,STM0114,-1.3352272727272727,134029.5
22,YdcI-23,ydci + ph5,134109,134147,1.26,STM0114,STM0114,STM0114,STM0114,-2.4545454545454546,134128.0
23,YdcI-24,ydci + ph5,134378,134423,1.04,STM0115,STM0115,STM0115,STM0115,-0.17706131078224102,134400.5
24,YdcI-25,ydci + ph5,139537,139584,1.05,STM0119,STM0119,STM0119,STM0119,-0.8380434782608696,139560.5
25,YdcI-26,ydci + ph5,157018,157053,1.19,STM0134,STM0134,STM0134,STM0134,0.11044613710554951,157035.5
26,YdcI-27,ydci + ph5,157066,157107,1.29,STM0134,STM0134,STM0134,STM0134,0.16594124047878128,157086.5
27,YdcI-28,ydci + ph5,157438,157477,1.44,STM0134,STM0134,STM0134,STM0134,0.5696409140369967,157457.5
28,YdcI-29,ydci + ph5,158053,158095,1.12,STM0135,STM0135,STM0135,STM0135,-0.28837209302325584,158074.0
