,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,mixed-TFs-pool3-M9+ace-1,mixed-tfs-pool3 + M9+ace,263,298,2.63,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,-0.02253349573690621,280.5
1,mixed-TFs-pool3-M9+ace-2,mixed-tfs-pool3 + M9+ace,519,542,1.54,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.07896873731222087,530.5
2,mixed-TFs-pool3-M9+ace-3,mixed-tfs-pool3 + M9+ace,975,1006,1.43,,,thrA,thrA,0.2657328461226147,990.5
3,mixed-TFs-pool3-M9+ace-4,mixed-tfs-pool3 + M9+ace,1337,1372,1.19,,,thrA,thrA,0.41352009744214374,1354.5
4,mixed-TFs-pool3-M9+ace-5,mixed-tfs-pool3 + M9+ace,1513,1544,1.22,,,thrA,thrA,0.48416565164433617,1528.5
5,mixed-TFs-pool3-M9+ace-6,mixed-tfs-pool3 + M9+ace,1536,1565,1.26,,,thrA,thrA,0.49309784815265933,1550.5
6,mixed-TFs-pool3-M9+ace-7,mixed-tfs-pool3 + M9+ace,2397,2423,1.07,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.8420625253755583,2410.0
7,mixed-TFs-pool3-M9+ace-8,mixed-tfs-pool3 + M9+ace,3392,3425,1.03,"b0003,b0004","thrB,thrC",thrB,thrB,0.6521972132904609,3408.5
8,mixed-TFs-pool3-M9+ace-9,mixed-tfs-pool3 + M9+ace,3546,3572,1.19,"b0003,b0004","thrB,thrC",thrB,thrB,0.8135048231511254,3559.0
9,mixed-TFs-pool3-M9+ace-10,mixed-tfs-pool3 + M9+ace,17644,17667,2.29,"b0019,b0020","nhaA,nhaR",nhaA,nhaA,0.1435304198800343,17655.5
10,mixed-TFs-pool3-M9+ace-11,mixed-tfs-pool3 + M9+ace,17769,17796,3.73,"b0019,b0020","nhaA,nhaR",nhaA,nhaA,0.25235646958012,17782.5
11,mixed-TFs-pool3-M9+ace-12,mixed-tfs-pool3 + M9+ace,17992,18023,26.07,,,nhaA,nhaA,0.44515852613538986,18007.5
12,mixed-TFs-pool3-M9+ace-13,mixed-tfs-pool3 + M9+ace,18021,18049,28.86,,,nhaA,nhaA,0.46872322193658955,18035.0
13,mixed-TFs-pool3-M9+ace-14,mixed-tfs-pool3 + M9+ace,18630,18632,1.21,"b0019,b0020","nhaA,nhaR",nhaA,nhaA,0.9794344473007712,18631.0
14,mixed-TFs-pool3-M9+ace-15,mixed-tfs-pool3 + M9+ace,20969,20996,1.24,"b0024,b0025,b0026,b0027,b0028,b0029,b0021,b0022,b0023","yaaY,ribF,ileS,lspA,fkpB,ispH,insB1,insA,rpsT",rpsT,rpsT,0.36174242424242425,20982.5
15,mixed-TFs-pool3-M9+ace-16,mixed-tfs-pool3 + M9+ace,21131,21164,1.58,"b0024,b0025,b0026,b0027,b0028,b0029,b0023","yaaY,ribF,ileS,lspA,fkpB,ispH,rpsT",yaaY,yaaY,-0.14840182648401826,21147.5
16,mixed-TFs-pool3-M9+ace-17,mixed-tfs-pool3 + M9+ace,83313,83343,1.14,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,0.12786259541984732,83328.0
17,mixed-TFs-pool3-M9+ace-18,mixed-tfs-pool3 + M9+ace,83353,83378,1.18,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,0.10400763358778627,83365.5
18,mixed-TFs-pool3-M9+ace-19,mixed-tfs-pool3 + M9+ace,83583,83614,2.51,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,-0.04421119592875318,83598.5
19,mixed-TFs-pool3-M9+ace-20,mixed-tfs-pool3 + M9+ace,83814,83839,2.57,"b0071,b0072,b0073,b0074,b0075","leuD,leuC,leuB,leuA,leuL",leuL,leuL,-1.3620689655172413,83826.5
20,mixed-TFs-pool3-M9+ace-21,mixed-tfs-pool3 + M9+ace,89582,89617,1.29,"b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",mraZ,mraZ,-0.07298474945533769,89599.5
21,mixed-TFs-pool3-M9+ace-22,mixed-tfs-pool3 + M9+ace,90220,90248,1.09,"b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",rsmH,rsmH,0.14968152866242038,90234.0
22,mixed-TFs-pool3-M9+ace-23,mixed-tfs-pool3 + M9+ace,90258,90285,1.18,"b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",rsmH,rsmH,0.18949044585987262,90271.5
23,mixed-TFs-pool3-M9+ace-24,mixed-tfs-pool3 + M9+ace,105025,105056,1.31,"b0094,b0095,b0096","ftsA,ftsZ,lpxC",ftsA,ftsA,0.8388756927949327,105040.5
24,mixed-TFs-pool3-M9+ace-25,mixed-tfs-pool3 + M9+ace,106472,106505,7.12,b0096,lpxC,lpxC,lpxC,-0.07352941176470588,106488.5
25,mixed-TFs-pool3-M9+ace-26,mixed-tfs-pool3 + M9+ace,106520,106556,7.42,b0096,lpxC,lpxC,lpxC,-0.0196078431372549,106538.0
26,mixed-TFs-pool3-M9+ace-27,mixed-tfs-pool3 + M9+ace,106772,106809,2.05,b0096,lpxC,lpxC,lpxC,0.25544662309368193,106790.5
27,mixed-TFs-pool3-M9+ace-28,mixed-tfs-pool3 + M9+ace,106901,106932,1.54,b0096,lpxC,lpxC,lpxC,0.3927015250544662,106916.5
28,mixed-TFs-pool3-M9+ace-29,mixed-tfs-pool3 + M9+ace,107198,107223,1.35,,,lpxC,lpxC,0.7129629629629629,107210.5
29,mixed-TFs-pool3-M9+ace-30,mixed-tfs-pool3 + M9+ace,111536,111547,1.19,,,guaC,guaC,-1.821360153256705,111541.5
30,mixed-TFs-pool3-M9+ace-31,mixed-tfs-pool3 + M9+ace,113233,113248,1.17,"b0104,b0101,b0102,b0103","guaC,yacG,zapD,coaE",coaE,coaE,-0.03462157809983897,113240.5
31,mixed-TFs-pool3-M9+ace-32,mixed-tfs-pool3 + M9+ace,113401,113424,1.83,"b0104,b0101,b0102,b0103","guaC,yacG,zapD,coaE",guaC,guaC,-0.02921455938697318,113412.5
32,mixed-TFs-pool3-M9+ace-33,mixed-tfs-pool3 + M9+ace,146631,146661,1.03,"b0132,b0131","yadD,panD",panD,panD,0.12598425196850394,146646.0
33,mixed-TFs-pool3-M9+ace-34,mixed-tfs-pool3 + M9+ace,146729,146759,1.07,"b0132,b0131","yadD,panD",panD,panD,-0.13123359580052493,146744.0
34,mixed-TFs-pool3-M9+ace-35,mixed-tfs-pool3 + M9+ace,167416,167452,1.18,"b0150,b0151,b0152,b0153","fhuA,fhuC,fhuD,fhuB",fhuA,fhuA,-0.021836007130124777,167434.0
35,mixed-TFs-pool3-M9+ace-36,mixed-tfs-pool3 + M9+ace,167639,167669,1.16,"b0150,b0151,b0152,b0153","fhuA,fhuC,fhuD,fhuB",fhuA,fhuA,0.07620320855614973,167654.0
