,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,YjdC-1,yjdc + M9,201,249,2.91,"b0001,b0002,b0003,b0004","thrL,thrA,thrB,thrC",thrL,thrL,0.5454545454545454,225.0
1,YjdC-2,yjdc + M9,681,726,1.44,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.1492082825822168,703.5
2,YjdC-3,yjdc + M9,945,992,1.22,,,thrA,thrA,0.2568006496142915,968.5
3,YjdC-4,yjdc + M9,996,1042,1.26,,,thrA,thrA,0.27730410069021516,1019.0
4,YjdC-5,yjdc + M9,2030,2064,1.03,,,thrA,thrA,0.6946812829882257,2047.0
5,YjdC-6,yjdc + M9,3397,3446,1.09,"b0003,b0004","thrB,thrC",thrB,thrB,0.6661307609860665,3421.5
6,YjdC-7,yjdc + M9,3546,3592,1.2,"b0003,b0004","thrB,thrC",thrB,thrB,0.8242229367631297,3569.0
7,YjdC-8,yjdc + M9,3587,3635,1.13,"b0003,b0004","thrB,thrC",thrB,thrB,0.8692390139335477,3611.0
8,YjdC-9,yjdc + M9,4459,4510,1.08,,,thrC,thrC,0.583916083916084,4484.5
9,YjdC-10,yjdc + M9,4554,4600,1.22,,,thrC,thrC,0.6557886557886557,4577.0
10,YjdC-11,yjdc + M9,21025,21075,2.44,"b0024,b0025,b0026,b0027,b0028,b0029,b0023","yaaY,ribF,ileS,lspA,fkpB,ispH,rpsT",rpsT,rpsT,0.10606060606060606,21050.0
11,YjdC-12,yjdc + M9,21163,21182,2.54,"b0024,b0025,b0026,b0027,b0028,b0029,b0023","yaaY,ribF,ileS,lspA,fkpB,ispH,rpsT",yaaY,yaaY,-0.03424657534246575,21172.5
12,YjdC-13,yjdc + M9,21254,21295,1.14,"b0024,b0025,b0026,b0027,b0028,b0029,b0023","yaaY,ribF,ileS,lspA,fkpB,ispH,rpsT",yaaY,yaaY,0.4315068493150685,21274.5
13,YjdC-14,yjdc + M9,51687,51734,0.99,"b0049,b0050,b0051","apaH,apaG,rsmA",rsmA,rsmA,0.8753041362530414,51710.5
14,YjdC-15,yjdc + M9,56934,56979,1.04,"b0055,b0049,b0050,b0051,b0052,b0053,b0054","djlA,apaH,apaG,rsmA,pdxA,surA,lptD",lptD,lptD,0.06475583864118896,56956.5
15,YjdC-16,yjdc + M9,57037,57066,1.03,"b0055,b0049,b0050,b0051,b0052,b0053,b0054","djlA,apaH,apaG,rsmA,pdxA,surA,lptD",lptD,lptD,0.024416135881104035,57051.5
16,YjdC-17,yjdc + M9,83022,83071,1.12,,,leuA,leuA,0.30693384223918574,83046.5
17,YjdC-18,yjdc + M9,83194,83222,1.07,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,0.20419847328244276,83208.0
18,YjdC-19,yjdc + M9,83583,83597,2.65,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,-0.03880407124681934,83590.0
19,YjdC-20,yjdc + M9,83691,83731,4.52,"b0071,b0072,b0073,b0074,b0075","leuD,leuC,leuB,leuA,leuL",leuL,leuL,-0.034482758620689655,83711.0
20,YjdC-21,yjdc + M9,89582,89623,1.94,"b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",mraZ,mraZ,-0.0664488017429194,89602.5
