,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,Cra-1,cra + galactose,169871,169896,14.79,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuC,fhuC,0.13345864661654136,169883.5
1,Cra-2,cra + galactose,331864,331899,63.23,,,yahA,yahA,-0.44857667584940314,331881.5
2,Cra-3,cra + galactose,1298363,1298391,10.97,"b1242,b1241","ychE,adhE",ychE,ychE,-0.3395061728395062,1298377.0
3,Cra-4,cra + galactose,1755477,1755499,16.49,"b1676,b1675","pykF,ydhZ",pykF,pykF,-0.14791224345364473,1755488.0
4,Cra-5,cra + galactose,1861994,1862043,16.54,b1777,yeaC,msrB,msrB,0.9915458937198067,1862018.5
5,Cra-6,cra + galactose,1862652,1862692,24.56,"b1779,b1780,b1778","gapA,yeaD,msrB",gapA,gapA,-0.09839357429718876,1862672.0
6,Cra-7,cra + galactose,1901941,1901979,25.99,"b1817,b1818,b1819,b1816","manX,manY,manZ,yoaE",manX,manX,-0.08950617283950617,1901960.0
7,Cra-8,cra + galactose,1992060,1992095,7.53,b1908,yecA,yecA,yecA,-0.6884384384384384,1992077.5
8,Cra-9,cra + galactose,2263553,2263590,234.9,"b2170,b2167,b2168,b2169","setB,fruA,fruK,fruB",fruB,fruB,-0.06763925729442971,2263571.5
9,Cra-10,cra + galactose,2278144,2278161,31.31,b2181,yejG,yejG,yejG,0.24492753623188407,2278152.5
10,Cra-11,cra + galactose,2278150,2278185,34.23,b2181,yejG,yejG,yejG,0.20144927536231885,2278167.5
11,Cra-12,cra + galactose,2405346,2405381,6.16,"b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288","nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA",nuoA,nuoA,-0.6565315315315315,2405363.5
12,Cra-13,cra + galactose,2509551,2509592,11.39,"b2389,b2388","yfeO,glk",yfeO,yfeO,-0.045743834526650755,2509571.5
13,Cra-14,cra + galactose,2533523,2533559,212.75,"b2415,b2416,b2417","ptsH,ptsI,crr",ptsH,ptsH,-0.8604651162790697,2533541.0
14,Cra-15,cra + galactose,2563380,2563424,3.17,"b2448,b2449","yffQ,yffR",yffQ,yffQ,-0.5,2563402.0
15,Cra-16,cra + galactose,2691239,2691267,2.99,b2556,glrK,glrK,glrK,-0.10854341736694678,2691253.0
16,Cra-17,cra + galactose,2908706,2908735,24.16,,,pyrG,pyrG,0.5772283272283272,2908720.5
17,Cra-18,cra + galactose,2922485,2922533,3.6,"b2787,b2788,b2789","gudD,gudX,gudP",gudP,gudP,-0.30229120473022913,2922509.0
18,Cra-19,cra + galactose,3073806,3073834,86.47,"b2925,b2926,b2927","fbaA,pgk,epd",epd,epd,-0.1264705882352941,3073820.0
19,Cra-20,cra + galactose,3891511,3891557,54.4,b3710,mdtL,mdtL,mdtL,-0.06802721088435375,3891534.0
20,Cra-21,cra + galactose,3982653,3982669,8.83,b3800,aslB,aslB,aslB,-0.23948220064724918,3982661.0
21,Cra-22,cra + galactose,4068567,4068597,3.88,,,yihQ,yihQ,0.34069710358370153,4068582.0
22,Cra-23,cra + galactose,4107415,4107445,34.46,b3916,pfkA,pfkA,pfkA,-0.1256490134994808,4107430.0
23,Cra-24,cra + galactose,4111653,4111676,5.94,b3919,tpiA,yiiQ,yiiQ,0.9158333333333334,4111664.5
