,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,Rob-1,rob + sta,257,298,1.36,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,-0.023751522533495738,277.5
1,Rob-2,rob + sta,5114,5139,1.21,b0005,yaaX,yaaX,yaaX,-0.35858585858585856,5126.5
2,Rob-3,rob + sta,6477,6514,1.55,b0006,yaaA,yaaA,yaaA,-0.046975546975546977,6495.5
3,Rob-4,rob + sta,29246,29260,2.05,"b0032,b0033","carA,carB",carA,carA,-0.34551784160139254,29253.0
4,Rob-5,rob + sta,37678,37709,1.62,"b0035,b0036,b0037","caiE,caiD,caiC",caiC,caiC,0.08397683397683398,37693.5
5,Rob-6,rob + sta,41965,41969,1.19,"b0041,b0042,b0043,b0044,b0035,b0036,b0037,b0038,b0039,b0040","fixA,fixB,fixC,fixX,caiE,caiD,caiC,caiB,caiA,caiT",caiT,caiT,-0.023762376237623763,41967.0
6,Rob-7,rob + sta,42229,42253,1.19,"b0041,b0042,b0043,b0044,b0035,b0036,b0037,b0038,b0039,b0040","fixA,fixB,fixC,fixX,caiE,caiD,caiC,caiB,caiA,caiT",fixA,fixA,-0.20881971465629054,42241.0
7,Rob-8,rob + sta,58857,58869,1.62,"b4659_1,b4659_2","yabP_1,yabP_2",yabP_1,yabP_1,0.6735751295336787,58863.0
8,Rob-9,rob + sta,63306,63341,1.07,"b0058,b0059","rluA,rapA",rapA,rapA,-0.02046783625730994,63323.5
9,Rob-10,rob + sta,71598,71626,1.55,b0065,yabI,yabI,yabI,0.34248366013071896,71612.0
10,Rob-11,rob + sta,83583,83614,1.36,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,-0.04421119592875318,83598.5
11,Rob-12,rob + sta,83814,83844,8.21,"b0071,b0072,b0073,b0074,b0075","leuD,leuC,leuB,leuA,leuL",leuL,leuL,-1.3908045977011494,83829.0
12,Rob-13,rob + sta,83971,83978,3.52,"b0076,b0071,b0072,b0073,b0074,b0075","leuO,leuD,leuC,leuB,leuA,leuL",leuL,leuL,-3.0632183908045976,83974.5
13,Rob-14,rob + sta,84263,84288,1.26,b0076,leuO,leuO,leuO,-0.09682539682539683,84275.5
14,Rob-15,rob + sta,102598,102628,1.31,"b0092,b0093,b0094,b0095,b0096","ddlB,ftsQ,ftsA,ftsZ,lpxC",ddlB,ddlB,0.41368078175895767,102613.0
