,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,BaeR-EtOH-1,baer + EtOH,83710,83741,2.29,"b0071,b0072,b0073,b0074,b0075","leuD,leuC,leuB,leuA,leuL",leuL,leuL,-0.20348837209302326,83725.5
1,BaeR-EtOH-2,baer + EtOH,83752,83781,1.52,"b0071,b0072,b0073,b0074,b0075","leuD,leuC,leuB,leuA,leuL",leuL,leuL,-0.6802325581395349,83766.5
2,BaeR-EtOH-3,baer + EtOH,169871,169917,2.94,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuC,fhuC,0.14554579673776663,169894.0
3,BaeR-EtOH-4,baer + EtOH,223445,223471,3.72,"b0201,b0202,b0203,b0204,b0205","rrsH,ileV,alaV,rrlH,rrfH",rrsH,rrsH,-0.20311486048020766,223458.0
4,BaeR-EtOH-5,baer + EtOH,223477,223514,2.77,"b0201,b0202,b0203,b0204,b0205","rrsH,ileV,alaV,rrlH,rrfH",rrsH,rrsH,-0.17878001297858534,223495.5
5,BaeR-EtOH-6,baer + EtOH,297191,297235,5.48,b0281,intF,intF,intF,-0.08357142857142857,297213.0
6,BaeR-EtOH-7,baer + EtOH,644026,644058,3.06,b0610,rnk,rnk,rnk,-0.18292682926829268,644042.0
7,BaeR-EtOH-8,baer + EtOH,644076,644104,1.74,b0610,rnk,rnk,rnk,-0.3,644090.0
8,BaeR-EtOH-9,baer + EtOH,651588,651605,2.14,"b0613,b0614,b0615,b0616,b0617,b0618","citG,citX,citF,citE,citD,citC",citC,citC,0.2452741020793951,651596.5
9,BaeR-EtOH-10,baer + EtOH,657234,657267,3.17,b0623,cspE,cspE,cspE,-0.19856459330143542,657250.5
10,BaeR-EtOH-11,baer + EtOH,657374,657422,2.09,b0623,cspE,cspE,cspE,0.507177033492823,657398.0
11,BaeR-EtOH-12,baer + EtOH,708243,708265,2.72,"b0681,b0682","chiP,chiQ",chiP,chiP,-0.05689900426742532,708254.0
