,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,FliA-LB-1,flia + LB,117909,117957,1.19,"b0106,b0107,b0108","hofC,hofB,ppdD",nadC,nadC,0.796420581655481,117933.0
1,FliA-LB-2,flia + LB,223557,223598,2.0,,,metN,metN,-0.9035852713178295,223577.5
2,FliA-LB-3,flia + LB,223632,223670,1.16,,,metN,metN,-0.9748062015503876,223651.0
3,FliA-LB-4,flia + LB,223981,224021,2.91,,,metN,metN,-1.313953488372093,224001.0
4,FliA-LB-5,flia + LB,224442,224490,1.72,,,metN,metN,-1.7645348837209303,224466.0
5,FliA-LB-6,flia + LB,225158,225189,1.11,,,metN,metN,-2.450096899224806,225173.5
6,FliA-LB-7,flia + LB,225525,225559,1.48,,,metN,metN,-2.807170542635659,225542.0
7,FliA-LB-8,flia + LB,225560,225592,1.21,,,metN,metN,-2.8401162790697674,225576.0
8,FliA-LB-9,flia + LB,226919,226959,1.75,,,dkgB,dkgB,-2.7699004975124377,226939.0
9,FliA-LB-10,flia + LB,228824,228862,2.08,b0207,dkgB,dkgB,dkgB,-0.4017412935323383,228843.0
10,FliA-LB-11,flia + LB,228951,228996,2.49,b0207,dkgB,dkgB,dkgB,-0.23942786069651742,228973.5
11,FliA-LB-12,flia + LB,236954,236999,2.12,b0217,yafT,yafT,yafT,-0.4548346055979644,236976.5
12,FliA-LB-13,flia + LB,262875,262879,2.42,,,phoE,phoE,-2.6297348484848486,262877.0
13,FliA-LB-14,flia + LB,266189,266230,36.33,"b0245,b0246,b4504,b0247,b0248,b0249,b0250,b0251","ykfI,yafW,ykfH,ykfG,yafX,ykfF,ykfB,yafY",yafY,yafY,0.7736486486486487,266209.5
14,FliA-LB-15,flia + LB,266213,266247,35.57,"b0245,b0246,b4504,b0247,b0248,b0249,b0250,b0251","ykfI,yafW,ykfH,ykfG,yafX,ykfF,ykfB,yafY",yafY,yafY,0.7274774774774775,266230.0
15,FliA-LB-16,flia + LB,427652,427684,9.34,"b0408,b0409","secD,secF",secD,secD,0.011904761904761904,427668.0
16,FliA-LB-17,flia + LB,592148,592227,1.3,,,nfrB,nfrB,0.44258266309204647,592187.5
17,FliA-LB-18,flia + LB,592171,592202,1.68,,,nfrB,nfrB,0.443029490616622,592186.5
18,FliA-LB-19,flia + LB,670569,670607,15.44,"b0638,b0639","cobC,nadD",holA,holA,0.9854651162790697,670588.0
19,FliA-LB-20,flia + LB,670586,670635,14.85,"b0638,b0639,b0640","cobC,nadD,holA",holA,holA,0.9636627906976745,670610.5
20,FliA-LB-21,flia + LB,696562,696588,1.15,,,miaB,miaB,-1.1368421052631579,696575.0
21,FliA-LB-22,flia + LB,696694,696730,2.36,,,miaB,miaB,-1.2329824561403508,696712.0
22,FliA-LB-23,flia + LB,696779,696783,1.81,,,miaB,miaB,-1.2814035087719298,696781.0
23,FliA-LB-24,flia + LB,697111,697123,1.96,,,miaB,miaB,-1.5171929824561403,697117.0
24,FliA-LB-25,flia + LB,780768,780773,1.44,,,nadA,nadA,-1.2581417624521072,780770.5
25,FliA-LB-26,flia + LB,780790,780821,2.49,,,nadA,nadA,-1.2246168582375478,780805.5
26,FliA-LB-27,flia + LB,789708,789773,4.2,"b0756,b0757","galM,galK",galK,galK,0.20757180156657964,789740.5
27,FliA-LB-28,flia + LB,789750,789797,4.0,"b0756,b0757","galM,galK",galK,galK,0.17885117493472585,789773.5
28,FliA-LB-29,flia + LB,794961,795010,45.25,"b0763,b0764,b0765,b0760,b0761","modA,modB,modC,modF,modE",modA,modA,-0.13242894056847546,794985.5
29,FliA-LB-30,flia + LB,815983,816034,6.32,,,ybhK,ybhK,0.7024202420242024,816008.5
30,FliA-LB-31,flia + LB,816850,816894,2.58,"b0781,b0782,b0783,b0784,b0785,b0780","moaA,moaB,moaC,moaD,moaE,ybhK",moaA,moaA,-0.17272727272727273,816872.0
31,FliA-LB-32,flia + LB,816903,816934,3.07,"b0781,b0782,b0783,b0784,b0785,b0780","moaA,moaB,moaC,moaD,moaE,ybhK",moaA,moaA,-0.12575757575757576,816918.5
32,FliA-LB-33,flia + LB,946915,946960,3.74,b0899,ycaM,ycaD,ycaD,0.9290687554395126,946937.5
33,FliA-LB-34,flia + LB,1130130,1130171,71.02,"b1070,b1071","flgN,flgM",flgM,flgM,-0.07653061224489796,1130150.5
34,FliA-LB-35,flia + LB,1130157,1130202,60.05,"b1070,b1071","flgN,flgM",flgM,flgM,-0.17517006802721088,1130179.5
