,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,gene,normalized_dist,binding_peak_center
0,YbcM-1,ybcm + M9,169871,169917,13.46,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuC,0.14661654135338345,169894.0
1,YbcM-1,ybcm + M9,169871,169917,13.46,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuD,-0.7631874298540965,169894.0
2,YbcM-1,ybcm + M9,169871,169917,13.46,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuB,-0.7902168431669188,169894.0
3,YbcM-2,ybcm + M9,297191,297235,13.3,b0281,intF,intF,-0.0835117773019272,297213.0
4,YbcM-3,ybcm + M9,468862,468875,4.08,"b0448,b0449","mdlA,mdlB",mdlA,-0.0008460236886632825,468868.5
5,YbcM-3,ybcm + M9,468862,468875,4.08,"b0448,b0449","mdlA,mdlB",mdlB,-0.9913019079685746,468868.5
6,YbcM-4,ybcm + M9,570792,570825,357.12,"b0545,b0546","ybcL,ybcM",ybcL,-0.151268115942029,570808.5
7,YbcM-4,ybcm + M9,570792,570825,357.12,"b0545,b0546","ybcL,ybcM",ybcM,-0.8076441102756893,570808.5
8,YbcM-5,ybcm + M9,1250946,1250976,3.94,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaR,-0.05416666666666667,1250961.0
9,YbcM-5,ybcm + M9,1250946,1250976,3.94,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaM,-1.3016208597603947,1250961.0
10,YbcM-5,ybcm + M9,1250946,1250976,3.94,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaL,-1.9020537124802528,1250961.0
11,YbcM-5,ybcm + M9,1250946,1250976,3.94,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaK,-0.11484593837535013,1250961.0
12,YbcM-6,ybcm + M9,1610713,1610727,5.78,b1521,uxaB,uxaB,-0.027548209366391185,1610720.0
13,YbcM-7,ybcm + M9,2406594,2406603,24.16,b2289,lrhA,lrhA,0.045260915867944625,2406598.5
14,YbcM-8,ybcm + M9,2544718,2544741,81.42,b2426,ucpA,ucpA,-0.13446969696969696,2544729.5
15,YbcM-9,ybcm + M9,2563379,2563424,14.61,"b2448,b2449","yffQ,yffR",yffQ,-0.5013227513227513,2563401.5
16,YbcM-9,ybcm + M9,2563379,2563424,14.61,"b2448,b2449","yffQ,yffR",yffR,-1.4694656488549618,2563401.5
17,YbcM-10,ybcm + M9,2564907,2564952,4.28,b2450,yffS,yffS,0.5030864197530864,2564929.5
18,YbcM-11,ybcm + M9,3095051,3095086,12.53,"b2951,b2952,b2953,b2954,b2955,b2950","yggS,yggT,yggU,rdgB,yggW,yggR",yggS,-0.04042553191489362,3095068.5
19,YbcM-11,ybcm + M9,3095051,3095086,12.53,"b2951,b2952,b2953,b2954,b2955,b2950","yggS,yggT,yggU,rdgB,yggW,yggR",yggT,-1.3236331569664903,3095068.5
20,YbcM-11,ybcm + M9,3095051,3095086,12.53,"b2951,b2952,b2953,b2954,b2955,b2950","yggS,yggT,yggU,rdgB,yggW,yggR",yggU,-4.513745704467354,3095068.5
21,YbcM-11,ybcm + M9,3095051,3095086,12.53,"b2951,b2952,b2953,b2954,b2955,b2950","yggS,yggT,yggU,rdgB,yggW,yggR",rdgB,-2.712962962962963,3095068.5
22,YbcM-11,ybcm + M9,3095051,3095086,12.53,"b2951,b2952,b2953,b2954,b2955,b2950","yggS,yggT,yggU,rdgB,yggW,yggR",yggW,-1.932717678100264,3095068.5
23,YbcM-11,ybcm + M9,3095051,3095086,12.53,"b2951,b2952,b2953,b2954,b2955,b2950","yggS,yggT,yggU,rdgB,yggW,yggR",yggR,0.011722731906218144,3095068.5
24,YbcM-12,ybcm + M9,3244801,3244815,5.54,"b3093,b3091,b3092","exuT,uxaA,uxaC",exuT,-0.31947652040030794,3244808.0
25,YbcM-12,ybcm + M9,3244801,3244815,5.54,"b3093,b3091,b3092","exuT,uxaA,uxaC",uxaA,-1.0040322580645162,3244808.0
26,YbcM-12,ybcm + M9,3244801,3244815,5.54,"b3093,b3091,b3092","exuT,uxaA,uxaC",uxaC,-0.047416843595187545,3244808.0
27,YbcM-13,ybcm + M9,3301292,3301332,71.98,"b3158,b3159,b3156,b3157","yhbU,yhbV,yhbS,yhbT",yhbU,-0.17269076305220885,3301312.0
28,YbcM-13,ybcm + M9,3301292,3301332,71.98,"b3158,b3159,b3156,b3157","yhbU,yhbV,yhbS,yhbT",yhbV,-1.3378839590443685,3301312.0
29,YbcM-13,ybcm + M9,3301292,3301332,71.98,"b3158,b3159,b3156,b3157","yhbU,yhbV,yhbS,yhbT",yhbS,-1.0992063492063493,3301312.0
30,YbcM-13,ybcm + M9,3301292,3301332,71.98,"b3158,b3159,b3156,b3157","yhbU,yhbV,yhbS,yhbT",yhbT,-0.06857142857142857,3301312.0
31,YbcM-14,ybcm + M9,3650581,3650624,42.48,b3503,arsC,arsC,0.8603286384976526,3650602.5
