,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,YiaG-1,yiag + M9,730,769,1.52,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.16788469346325618,749.5
1,YiaG-2,yiag + M9,994,1006,1.2,,,thrA,thrA,0.26958993097848155,1000.0
2,YiaG-3,yiag + M9,3156,3197,1.17,"b0003,b0004","thrB,thrC",thrA,thrA,1.1532683719041819,3176.5
3,YiaG-4,yiag + M9,3467,3491,1.64,"b0003,b0004","thrB,thrC",thrC,thrC,-0.19735819735819735,3479.0
4,YiaG-5,yiag + M9,3582,3619,1.38,"b0003,b0004","thrB,thrC",thrC,thrC,-0.10295260295260296,3600.5
5,YiaG-6,yiag + M9,30944,30987,1.16,b0033,carB,carA,carA,1.1449086161879896,30965.5
6,YiaG-7,yiag + M9,31894,31944,0.98,,,carA,carA,1.9747606614447346,31919.0
7,YiaG-8,yiag + M9,57006,57047,1.32,"b0055,b0049,b0050,b0051,b0052,b0053,b0054","djlA,apaH,apaG,rsmA,pdxA,surA,lptD",lptD,lptD,0.03503184713375796,57026.5
8,YiaG-9,yiag + M9,81029,81055,1.02,"b0071,b0072,b0073","leuD,leuC,leuB",leuC,leuC,-0.1270521056388294,81042.0
9,YiaG-10,yiag + M9,82179,82225,1.04,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuB,leuB,-0.22344322344322345,82202.0
10,YiaG-11,yiag + M9,83109,83143,1.2,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,0.25636132315521626,83126.0
11,YiaG-12,yiag + M9,83376,83417,1.51,"b0071,b0072,b0073,b0074","leuD,leuC,leuB,leuA",leuA,leuA,0.08428753180661577,83396.5
12,YiaG-13,yiag + M9,89843,89880,1.51,"b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",rsmH,rsmH,-0.24575371549893843,89861.5
13,YiaG-14,yiag + M9,89867,89898,1.54,"b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",rsmH,rsmH,-0.2234607218683652,89882.5
14,YiaG-15,yiag + M9,104700,104741,1.13,,,ftsA,ftsA,0.5855106888361045,104720.5
15,YiaG-16,yiag + M9,106580,106622,1.72,b0096,lpxC,lpxC,lpxC,0.049019607843137254,106601.0
16,YiaG-17,yiag + M9,106696,106729,2.17,b0096,lpxC,lpxC,lpxC,0.170479302832244,106712.5
