,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,MukB-expo-1,mukb + expo,190,219,1.83,"b0001,b0002,b0003,b0004","thrL,thrA,thrB,thrC",thrL,thrL,0.23484848484848486,204.5
1,MukB-expo-2,mukb + expo,237,273,4.17,"b0001,b0002,b0003,b0004","thrL,thrA,thrB,thrC",thrL,thrL,1.0,255.0
2,MukB-expo-3,mukb + expo,434,472,1.55,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.047503045066991476,453.0
3,MukB-expo-4,mukb + expo,598,629,1.19,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.11266747868453106,613.5
4,MukB-expo-5,mukb + expo,730,758,1.23,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.1656516443361754,744.0
5,MukB-expo-6,mukb + expo,2041,2070,1.07,,,thrA,thrA,0.6981323589118961,2055.5
6,MukB-expo-7,mukb + expo,16962,16974,1.39,"b0018,b4412","mokC,hokC",hokC,hokC,-0.42483660130718953,16968.0
7,MukB-expo-8,mukb + expo,20929,20968,1.39,"b0024,b0025,b0026,b0027,b0028,b0029,b0021,b0022,b0023","yaaY,ribF,ileS,lspA,fkpB,ispH,insB1,insA,rpsT",rpsT,rpsT,0.49053030303030304,20948.5
8,MukB-expo-9,mukb + expo,21104,21125,1.74,"b0024,b0025,b0026,b0027,b0028,b0029,b0023","yaaY,ribF,ileS,lspA,fkpB,ispH,rpsT",rpsT,rpsT,-0.13825757575757575,21114.5
9,MukB-expo-10,mukb + expo,42210,42236,1.23,"b0041,b0042,b0043,b0044,b0035,b0036,b0037,b0038,b0039,b0040","fixA,fixB,fixC,fixX,caiE,caiD,caiC,caiB,caiA,caiT",fixA,fixA,-0.23216601815823606,42223.0
10,MukB-expo-11,mukb + expo,58837,58870,2.54,"b4659_1,b4659_2","yabP_1,yabP_2",yabP_1,yabP_1,0.657167530224525,58853.5
11,MukB-expo-12,mukb + expo,83624,83648,4.26,"b0071,b0072,b0073,b0074,b0075","leuD,leuC,leuB,leuA,leuL",leuL,leuL,0.8275862068965517,83636.0
12,MukB-expo-13,mukb + expo,83679,83727,3.23,"b0071,b0072,b0073,b0074,b0075","leuD,leuC,leuB,leuA,leuL",leuL,leuL,0.05747126436781609,83703.0
13,MukB-expo-14,mukb + expo,84145,84174,1.2,"b0076,b0071,b0072,b0073,b0074,b0075","leuO,leuD,leuC,leuB,leuA,leuL",leuO,leuO,-0.21957671957671956,84159.5
14,MukB-expo-15,mukb + expo,89585,89620,1.38,"b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",mraZ,mraZ,-0.0664488017429194,89602.5
15,MukB-expo-16,mukb + expo,106492,106527,1.54,b0096,lpxC,lpxC,lpxC,-0.05065359477124183,106509.5
16,MukB-expo-17,mukb + expo,106642,106678,1.16,b0096,lpxC,lpxC,lpxC,0.11328976034858387,106660.0
17,MukB-expo-18,mukb + expo,111536,111547,1.26,,,guaC,guaC,-1.821360153256705,111541.5
