,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,GadX-1,gadx + M9,17992,18023,73.25,,,nhaA,nhaA,0.44515852613538986,18007.5
1,GadX-2,gadx + M9,169871,169918,2.6,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuC,fhuC,0.14724310776942356,169894.5
2,GadX-3,gadx + M9,236978,237004,6.58,b0217,yafT,yafT,yafT,-0.43638676844783714,236991.0
3,GadX-4,gadx + M9,295305,295322,6.33,b0280,yagN,yagN,yagN,0.6020408163265306,295313.5
4,GadX-5,gadx + M9,297191,297235,5.19,b0281,intF,intF,intF,-0.0835117773019272,297213.0
5,GadX-6,gadx + M9,511327,511378,20.4,"b0485,b0486,b0484","glsA,ybaT,copA",copA,copA,0.010578842315369262,511352.5
6,GadX-7,gadx + M9,988316,988329,5.0,,,asnS,asnS,0.47287651677373305,988322.5
7,GadX-8,gadx + M9,1250945,1250977,4.76,"b1201,b1198,b1199,b1200","dhaR,dhaM,dhaL,dhaK",dhaR,dhaR,-0.05416666666666667,1250961.0
8,GadX-9,gadx + M9,1291287,1291325,4.56,b1236,galU,galU,galU,-0.16501650165016502,1291306.0
9,GadX-10,gadx + M9,1441019,1441041,4.19,"b4529,b1377,b1378","ydbJ,ompN,pfo",ydbJ,ydbJ,-0.10112359550561797,1441030.0
10,GadX-11,gadx + M9,1572309,1572417,45.35,"b1492,b1493","gadC,gadB",pqqL,pqqL,1.015379113018598,1572363.0
11,GadX-12,gadx + M9,1572321,1572370,50.43,"b1492,b1493","gadC,gadB",gadB,gadB,-0.21448965024982156,1572345.5
12,GadX-13,gadx + M9,1610713,1610738,5.66,b1521,uxaB,uxaB,uxaB,-0.03133608815426997,1610725.5
13,GadX-14,gadx + M9,1655239,1655257,5.44,"b1580,b1581","rspB,rspA",rspA,rspA,-0.08806584362139917,1655248.0
14,GadX-15,gadx + M9,1671674,1671706,4.71,"b1597,b4601,b1598","asr,ydgU,ydgD",asr,asr,1.0194174757281553,1671690.0
15,GadX-16,gadx + M9,1704516,1704528,7.04,"b4409,b1625,b1624","blr,cnu,ydgJ",blr,blr,-0.2222222222222222,1704522.0
16,GadX-17,gadx + M9,1991798,1991835,6.95,b1908,yecA,yecA,yecA,-0.29654654654654655,1991816.5
17,GadX-18,gadx + M9,2059921,2059950,4.36,b1985,yeeO,yeeO,yeeO,-0.16498655913978494,2059935.5
18,GadX-19,gadx + M9,2266075,2266108,4.17,b2172,yeiQ,yeiQ,yeiQ,-0.10395364689843217,2266091.5
19,GadX-20,gadx + M9,2344147,2344185,8.77,b2233,yfaL,yfaL,yfaL,0.0007993605115907274,2344166.0
20,GadX-21,gadx + M9,2520925,2520976,3.55,b2400,gltX,gltX,gltX,-0.196680790960452,2520950.5
21,GadX-22,gadx + M9,2563379,2563424,11.08,"b2448,b2449","yffQ,yffR",yffQ,yffQ,-0.5013227513227513,2563401.5
22,GadX-23,gadx + M9,2564907,2564952,5.33,b2450,yffS,yffS,yffS,0.5030864197530864,2564929.5
23,GadX-24,gadx + M9,2990572,2990591,17.9,"b2850_1,b2850_2,b2849","ygeF_1,ygeF_2,yqeK",ygeF_1,ygeF_1,0.07196969696969698,2990581.5
24,GadX-25,gadx + M9,2993032,2993070,5.0,,,ygeH,ygeH,0.6957153231663036,2993051.0
25,GadX-26,gadx + M9,3050960,3050980,9.87,"b2903,b2904,b2905","gcvP,gcvH,gcvT",gcvT,gcvT,-0.27671232876712326,3050970.0
26,GadX-27,gadx + M9,3086655,3086685,21.57,b2942,metK,metK,metK,-0.030303030303030304,3086670.0
27,GadX-28,gadx + M9,3244792,3244815,5.88,"b3093,b3091,b3092","exuT,uxaA,uxaC",uxaC,uxaC,-0.04423213021939137,3244803.5
28,GadX-29,gadx + M9,3318350,3318382,6.65,"b3172,b3164,b3165,b3166,b3167,b3168,b3169,b3170","argG,pnp,rpsO,truB,rbfA,infB,nusA,rimP",argG,argG,-0.20089285714285715,3318366.0
29,GadX-30,gadx + M9,3453433,3453474,3.02,"b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321","rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ",rpsJ,rpsJ,-0.5881410256410257,3453453.5
30,GadX-31,gadx + M9,3581008,3581046,4.42,"b3441,b3440","yhhY,yhhX",yhhY,yhhY,-0.2249488752556237,3581027.0
31,GadX-32,gadx + M9,3639827,3639871,4.46,"b3495,b3494","uspA,uspB",uspB,uspB,-0.38392857142857145,3639849.0
32,GadX-33,gadx + M9,3648357,3648361,1.38,"b3501,b3502,b3503","arsR,arsB,arsC",arsR,arsR,-0.4745762711864407,3648359.0
33,GadX-34,gadx + M9,3651367,3651402,31.61,"b3504_1,b3504_2","yhiS_1,yhiS_2",yhiS_1,yhiS_1,0.12753036437246965,3651384.5
34,GadX-35,gadx + M9,3654117,3654144,21.91,"b3506,b3507","slp,dctR",slp,slp,0.30070546737213405,3654130.5
35,GadX-36,gadx + M9,3657711,3657746,54.99,,,gadE,gadE,-1.2054924242424243,3657728.5
36,GadX-37,gadx + M9,3664860,3664895,314.48,b3515,gadW,gadW,gadW,-0.3559670781893004,3664877.5
37,GadX-38,gadx + M9,3667801,3667840,5.15,"b3515,b3516,b3517","gadW,gadX,gadA",yhjA,yhjA,0.9781831187410587,3667820.5
38,GadX-39,gadx + M9,3672346,3672377,3.66,"b3521,b3520","yhjC,yhjB",yhjC,yhjC,-0.05722222222222222,3672361.5
39,GadX-40,gadx + M9,3726036,3726086,7.59,"b3561,b4553","wecH,ysaB",wecH,wecH,0.1757028112449799,3726061.0
40,GadX-41,gadx + M9,3891511,3891535,12.87,b3710,mdtL,mdtL,mdtL,-0.07738095238095238,3891523.0
41,GadX-42,gadx + M9,3982761,3982781,8.36,b3800,aslB,aslB,aslB,-0.15048543689320387,3982771.0
42,GadX-43,gadx + M9,4112778,4112798,28.33,"b3922,b3923","yiiS,uspD",yiiS,yiiS,-0.5933333333333334,4112788.0
