,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,StpA-1,stpa + sta,41930,41946,1.84,"b0041,b0042,b0043,b0044,b0035,b0036,b0037,b0038,b0039,b0040","fixA,fixB,fixC,fixX,caiE,caiD,caiC,caiB,caiA,caiT",caiT,caiT,-0.0046204620462046205,41938.0
1,StpA-2,stpa + sta,42186,42214,1.61,"b0041,b0042,b0043,b0044,b0035,b0036,b0037,b0038,b0039,b0040","fixA,fixB,fixC,fixX,caiE,caiD,caiC,caiB,caiA,caiT",fixA,fixA,-0.2619974059662776,42200.0
2,StpA-3,stpa + sta,42295,42330,1.77,"b0041,b0042,b0043,b0044,b0035,b0036,b0037,b0038,b0039,b0040","fixA,fixB,fixC,fixX,caiE,caiD,caiC,caiB,caiA,caiT",fixA,fixA,-0.11608300907911803,42312.5
3,StpA-4,stpa + sta,83966,83978,1.38,"b0076,b0071,b0072,b0073,b0074,b0075","leuO,leuD,leuC,leuB,leuA,leuL",leuL,leuL,-3.0344827586206895,83972.0
4,StpA-5,stpa + sta,84148,84186,1.91,"b0076,b0071,b0072,b0073,b0074,b0075","leuO,leuD,leuC,leuB,leuA,leuL",leuO,leuO,-0.21164021164021163,84167.0
5,StpA-6,stpa + sta,84243,84275,1.46,b0076,leuO,leuO,leuO,-0.11428571428571428,84259.0
6,StpA-7,stpa + sta,156123,156153,1.3,"b0139,b0140","htrE,yadV",yadV,yadV,0.08502024291497975,156138.0
7,StpA-8,stpa + sta,156226,156266,1.28,"b0139,b0140","htrE,yadV",yadV,yadV,-0.06072874493927125,156246.0
8,StpA-9,stpa + sta,156257,156277,1.35,"b0139,b0140","htrE,yadV",yadV,yadV,-0.08906882591093117,156267.0
9,StpA-10,stpa + sta,157031,157079,1.58,b0141,yadN,yadN,yadN,-0.294017094017094,157055.0
10,StpA-11,stpa + sta,157158,157203,2.26,b0141,yadN,yadN,yadN,-0.5085470085470085,157180.5
11,StpA-12,stpa + sta,157201,157228,2.19,b0141,yadN,yadN,yadN,-0.5666666666666667,157214.5
12,StpA-13,stpa + sta,237093,237128,1.49,b0217,yafT,yafT,yafT,-0.28435114503816794,237110.5
13,StpA-14,stpa + sta,237152,237181,1.39,b0217,yafT,yafT,yafT,-0.21310432569974555,237166.5
14,StpA-15,stpa + sta,237286,237296,2.44,b0217,yafT,yafT,yafT,-0.054707379134860054,237291.0
15,StpA-16,stpa + sta,237392,237424,2.35,b0217,yafT,yafT,yafT,0.09414758269720101,237408.0
16,StpA-17,stpa + sta,237529,237553,1.38,b0217,yafT,yafT,yafT,0.2633587786259542,237541.0
17,StpA-18,stpa + sta,238137,238174,1.66,,,yafF,yafF,-3.478021978021978,238155.5
18,StpA-19,stpa + sta,238226,238263,1.33,,,ykfM,ykfM,1.0239583333333333,238244.5
19,StpA-20,stpa + sta,238373,238404,2.86,b4586,ykfM,ykfM,ykfM,0.7239583333333334,238388.5
20,StpA-21,stpa + sta,238458,238481,2.84,b4586,ykfM,ykfM,ykfM,0.5552083333333333,238469.5
21,StpA-22,stpa + sta,238553,238564,3.3,b4586,ykfM,ykfM,ykfM,0.3697916666666667,238558.5
22,StpA-23,stpa + sta,238586,238626,2.33,b4586,ykfM,ykfM,ykfM,0.2708333333333333,238606.0
23,StpA-24,stpa + sta,238790,238819,1.33,"b4503,b4586,b0218","yafF,ykfM,yafU",yafF,yafF,-1.1007326007326008,238804.5
24,StpA-25,stpa + sta,260062,260097,1.01,"b0242,b0243,b0241","proB,proA,phoE",phoE,phoE,0.019412878787878788,260079.5
25,StpA-26,stpa + sta,294550,294589,1.56,"b0278,b0279","yagL,yagM",yagM,yagM,0.26842105263157895,294569.5
26,StpA-27,stpa + sta,294757,294770,1.22,"b0278,b0279","yagL,yagM",yagM,yagM,0.04152046783625731,294763.5
27,StpA-28,stpa + sta,294841,294886,1.18,"b0278,b0279","yagL,yagM",yagM,yagM,-0.07543859649122807,294863.5
