,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,mixed-TFs-pool1b-M9+glu-1,mixed-tfs-pool1b + M9+glu,29599,29645,137.06,"b0032,b0033","carA,carB",carA,carA,-0.024369016536118365,29622.0
1,mixed-TFs-pool1b-M9+glu-2,mixed-tfs-pool1b + M9+glu,45768,45799,3.05,b0045,yaaU,yaaU,yaaU,-0.016891891891891893,45783.5
2,mixed-TFs-pool1b-M9+glu-3,mixed-tfs-pool1b + M9+glu,121786,121831,72.96,"b0113,b0114,b0115,b0116,b0112","pdhR,aceE,aceF,lpd,aroP",aroP,aroP,-0.1874090247452693,121808.5
3,mixed-TFs-pool1b-M9+glu-4,mixed-tfs-pool1b + M9+glu,257535,257581,4.02,"b0240_1,b0240_2","crl_1,crl_2",frsA,frsA,0.8289156626506025,257558.0
4,mixed-TFs-pool1b-M9+glu-5,mixed-tfs-pool1b + M9+glu,262883,262927,2.51,,,phoE,phoE,-2.65625,262905.0
5,mixed-TFs-pool1b-M9+glu-6,mixed-tfs-pool1b + M9+glu,290345,290352,56.9,"b4688,b0273","ykgS,argF",argF,argF,-0.04328358208955224,290348.5
6,mixed-TFs-pool1b-M9+glu-7,mixed-tfs-pool1b + M9+glu,297191,297235,2.67,b0281,intF,intF,intF,-0.0835117773019272,297213.0
7,mixed-TFs-pool1b-M9+glu-8,mixed-tfs-pool1b + M9+glu,316877,316926,23.69,b0300,ykgA,ykgA,ykgA,0.39108187134502925,316901.5
8,mixed-TFs-pool1b-M9+glu-9,mixed-tfs-pool1b + M9+glu,331513,331525,4.35,,,yahA,yahA,-0.7814508723599632,331519.0
9,mixed-TFs-pool1b-M9+glu-10,mixed-tfs-pool1b + M9+glu,451809,451842,3.56,"b0428,b0429,b0430,b0431,b0432","cyoE,cyoD,cyoC,cyoB,cyoA",cyoA,cyoA,-0.22732067510548523,451825.5
10,mixed-TFs-pool1b-M9+glu-11,mixed-tfs-pool1b + M9+glu,645245,645265,2.58,b0611,rna,citT,citT,0.9050546448087432,645255.0
11,mixed-TFs-pool1b-M9+glu-12,mixed-tfs-pool1b + M9+glu,742661,742690,87.93,"b0710,b0711,b0712,b0713,b0714,b0709","ybgI,ybgJ,ybgK,ybgL,nei,dtpD",dtpD,dtpD,-0.08063427800269905,742675.5
