,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,FlhC-LB-1,flhc + LB,228956,228958,1.22,b0207,dkgB,dkgB,dkgB,-0.2599502487562189,228957.0
1,FlhC-LB-2,flhc + LB,262798,262828,1.4,,,phoE,phoE,-2.569128787878788,262813.0
2,FlhC-LB-3,flhc + LB,1130892,1130939,17.49,"b1073,b1074,b1075,b1076,b1077,b1078,b1079,b1080,b1081,b1070,b1071,b1072","flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgN,flgM,flgA",flgA,flgA,-0.07954545454545454,1130915.5
3,FlhC-LB-4,flhc + LB,1130910,1130951,16.1,"b1073,b1074,b1075,b1076,b1077,b1078,b1079,b1080,b1081,b1070,b1071,b1072","flgB,flgC,flgD,flgE,flgF,flgG,flgH,flgI,flgJ,flgN,flgM,flgA",flgA,flgA,-0.10227272727272728,1130930.5
4,FlhC-LB-5,flhc + LB,1329161,1329206,4.61,"b1272,b1270,b1271","sohB,btuR,yciK",yciK,yciK,-0.09420289855072464,1329183.5
5,FlhC-LB-6,flhc + LB,1746525,1746540,1.86,"b1667,b1664","ydhR,ydhQ",ydhR,ydhR,-0.5441176470588235,1746532.5
6,FlhC-LB-7,flhc + LB,1966223,1966273,15.2,"b1878,b1879,b1880","flhE,flhA,flhB",flhB,flhB,-0.04960835509138381,1966248.0
7,FlhC-LB-8,flhc + LB,1966267,1966314,14.75,"b1878,b1879,b1880","flhE,flhA,flhB",flhB,flhB,-0.0865970409051349,1966290.5
8,FlhC-LB-9,flhc + LB,1988152,1988193,16.8,"b1904,b4537,b4663","yecR,yecJ,azuC",yecR,yecR,-0.14969135802469136,1988172.5
9,FlhC-LB-10,flhc + LB,1992027,1992032,1.23,b1908,yecA,yecA,yecA,-0.6163663663663663,1992029.5
10,FlhC-LB-11,flhc + LB,2001790,2001858,5.6,"b1920,b1921,b1922","fliY,fliZ,fliA",fliA,fliA,-0.04861111111111111,2001824.0
11,FlhC-LB-12,flhc + LB,2001827,2001874,6.99,"b1920,b1921,b1922","fliY,fliZ,fliA",fliA,fliA,-0.08541666666666667,2001850.5
12,FlhC-LB-13,flhc + LB,2013046,2013087,12.28,"b1938,b1939,b1940,b1941,b1942,b1943,b1937","fliF,fliG,fliH,fliI,fliJ,fliK,fliE",fliE,fliE,-0.16666666666666666,2013066.5
13,FlhC-LB-14,flhc + LB,2013068,2013112,14.55,"b1938,b1939,b1940,b1941,b1942,b1943,b1937","fliF,fliG,fliH,fliI,fliJ,fliK,fliE",fliE,fliE,-0.24126984126984127,2013090.0
14,FlhC-LB-15,flhc + LB,2019499,2019581,22.02,"b1944,b1945,b1946,b1947,b1948,b1949,b1950","fliL,fliM,fliN,fliO,fliP,fliQ,fliR",fliK,fliK,1.023936170212766,2019540.0
15,FlhC-LB-16,flhc + LB,2019525,2019572,21.33,"b1944,b1945,b1946,b1947,b1948,b1949,b1950","fliL,fliM,fliN,fliO,fliP,fliQ,fliR",fliL,fliL,-0.14731182795698924,2019548.5
16,FlhC-LB-17,flhc + LB,2518067,2518094,1.64,"b2398,b2399,b2395","yfeC,yfeD,yfeA",yfeA,yfeA,-0.11347031963470319,2518080.5
17,FlhC-LB-18,flhc + LB,2521027,2521053,1.57,b2400,gltX,gltX,gltX,-0.2598870056497175,2521040.0
18,FlhC-LB-19,flhc + LB,2521121,2521134,1.25,b2400,gltX,gltX,gltX,-0.321680790960452,2521127.5
19,FlhC-LB-20,flhc + LB,2728219,2728268,1.18,,,kgtP,kgtP,-1.9226327944572748,2728243.5
20,FlhC-LB-21,flhc + LB,2728740,2728763,2.28,,,kgtP,kgtP,-2.3137028483448807,2728751.5
21,FlhC-LB-22,flhc + LB,2729097,2729127,2.06,,,kgtP,kgtP,-2.5912240184757507,2729112.0
22,FlhC-LB-23,flhc + LB,2729727,2729769,1.87,,,kgtP,kgtP,-3.0808314087759814,2729748.0
23,FlhC-LB-24,flhc + LB,2729916,2729941,2.32,,,kgtP,kgtP,-3.2197844495765975,2729928.5
24,FlhC-LB-25,flhc + LB,2730216,2730248,1.52,,,kgtP,kgtP,-3.45342571208622,2730232.0
25,FlhC-LB-26,flhc + LB,2730558,2730599,1.35,,,kgtP,kgtP,-3.7201693610469593,2730578.5
26,FlhC-LB-27,flhc + LB,2730858,2730891,1.13,,,kgtP,kgtP,-3.948036951501155,2730874.5
27,FlhC-LB-28,flhc + LB,2731200,2731250,1.57,,,bamD,bamD,-6.666666666666667,2731225.0
28,FlhC-LB-29,flhc + LB,2818470,2818485,1.59,,,yqaB,yqaB,-1.718694885361552,2818477.5
29,FlhC-LB-30,flhc + LB,3322414,3322450,2.14,b3175,secG,secG,secG,0.21921921921921922,3322432.0
30,FlhC-LB-31,flhc + LB,3424381,3424386,1.69,,,yrdA,yrdA,-8.741441441441442,3424383.5
31,FlhC-LB-32,flhc + LB,3424448,3424482,1.39,,,yrdA,yrdA,-8.594594594594595,3424465.0
32,FlhC-LB-33,flhc + LB,3425062,3425100,1.87,,,yrdA,yrdA,-7.484684684684685,3425081.0
33,FlhC-LB-34,flhc + LB,3425117,3425154,1.41,,,yrdA,yrdA,-7.386486486486486,3425135.5
34,FlhC-LB-35,flhc + LB,3425308,3425326,1.64,,,yrdA,yrdA,-7.059459459459459,3425317.0
35,FlhC-LB-36,flhc + LB,3425474,3425517,2.23,,,yrdA,yrdA,-6.737837837837838,3425495.5
36,FlhC-LB-37,flhc + LB,3425818,3425869,1.2,,,yrdA,yrdA,-6.110810810810811,3425843.5
37,FlhC-LB-38,flhc + LB,3426696,3426726,2.07,,,yrdA,yrdA,-4.5477477477477475,3426711.0
38,FlhC-LB-39,flhc + LB,3427332,3427374,1.79,,,yrdA,yrdA,-3.390990990990991,3427353.0
39,FlhC-LB-40,flhc + LB,3427592,3427599,1.43,,,yrdA,yrdA,-2.954054054054054,3427595.5
40,FlhC-LB-41,flhc + LB,3427821,3427854,1.48,,,yrdA,yrdA,-2.518018018018018,3427837.5
41,FlhC-LB-42,flhc + LB,3428163,3428167,1.57,,,yrdA,yrdA,-1.927927927927928,3428165.0
