,index,condition,binding_peak_start,binding_peak_end,binding_peak_strength,target_locus,target_genes,closest_gene,gene,normalized_dist,binding_peak_center
0,PuuR-putrescine-1,puur + putrescine,297,318,2.55,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,-0.0119821283509342,307.5
1,PuuR-putrescine-2,puur + putrescine,754,774,1.31,"b0002,b0003,b0004","thrA,thrB,thrC",thrA,thrA,0.1734362307067425,764.0
2,PuuR-putrescine-3,puur + putrescine,89588,89623,1.5,"b0081,b0082,b0083,b0084,b0085,b0086,b0087,b0088,b0089,b0090,b0091,b0092,b0093,b0094,b0095,b0096","mraZ,rsmH,ftsL,ftsI,murE,murF,mraY,murD,ftsW,murG,murC,ddlB,ftsQ,ftsA,ftsZ,lpxC",mraZ,mraZ,-0.06222707423580786,89605.5
3,PuuR-putrescine-4,puur + putrescine,169872,169916,3.49,"b0151,b0152,b0153","fhuC,fhuD,fhuB",fhuC,fhuC,0.14554579673776663,169894.0
4,PuuR-putrescine-5,puur + putrescine,223587,223624,4.21,"b0201,b0202,b0203,b0204,b0205","rrsH,ileV,alaV,rrlH,rrfH",rrsH,rrsH,-0.10739779364049319,223605.5
5,PuuR-putrescine-6,puur + putrescine,226259,226307,2.94,,,rrlH,rrlH,0.18050292800551154,226283.0
6,PuuR-putrescine-7,puur + putrescine,226573,226624,3.3,,,rrlH,rrlH,0.2891836031691354,226598.5
7,PuuR-putrescine-8,puur + putrescine,226943,226978,2.68,,,rrlH,rrlH,0.4138821908370651,226960.5
8,PuuR-putrescine-9,puur + putrescine,227625,227654,2.49,,,rrlH,rrlH,0.6477781605235963,227639.5
9,PuuR-putrescine-10,puur + putrescine,227942,227964,2.13,,,rrlH,rrlH,0.7557698932139166,227953.0
10,PuuR-putrescine-11,puur + putrescine,780653,780662,2.31,"b0744,b0745,b0746,b0747","valT,lysW,valZ,lysY",valT,valT,-1.4333333333333333,780657.5
11,PuuR-putrescine-12,puur + putrescine,1146896,1146924,1.09,"b1088,b1089,b1090,b1091,b1092,b1093,b1094,b1095,b1087","yceD,rpmF,plsX,fabH,fabD,fabG,acpP,fabF,yceF",yceD,yceD,0.22264875239923224,1146910.0
12,PuuR-putrescine-13,puur + putrescine,1800507,1800534,1.51,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",infC,infC,0.21678966789667897,1800520.5
13,PuuR-putrescine-14,puur + putrescine,1800522,1800524,1.49,"b1712,b1713,b1714,b1715,b1716,b1717,b1718","ihfA,pheT,pheS,pheM,rplT,rpmI,infC",infC,infC,0.21217712177121772,1800523.0
14,PuuR-putrescine-15,puur + putrescine,1923147,1923169,1.12,"b4432,b1838,b4433","ryeA,pphA,sdsR",sdsR,sdsR,0.47572815533980584,1923158.0
15,PuuR-putrescine-16,puur + putrescine,2563311,2563355,6.49,"b2448,b2449","yffQ,yffR",yffQ,yffQ,-0.6870026525198939,2563333.0
16,PuuR-putrescine-17,puur + putrescine,2726645,2726684,7.18,"b2588,b2589","rrfG,rrlG",rrlG,rrlG,0.8678952807440579,2726664.5
17,PuuR-putrescine-18,puur + putrescine,2727310,2727323,3.3,,,rrlG,rrlG,0.6433000344471237,2727316.5
18,PuuR-putrescine-19,puur + putrescine,2727413,2727448,3.88,,,rrlG,rrlG,0.6040303134688254,2727430.5
19,PuuR-putrescine-20,puur + putrescine,2727624,2727637,4.6,,,rrlG,rrlG,0.5351360661384774,2727630.5
20,PuuR-putrescine-21,puur + putrescine,2728081,2728091,5.06,,,rrlG,rrlG,0.3782294178436101,2728086.0
